hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.01,placebo-effect,,10,-0.00687980251573128,-0.0009371004634666918,4,-0.016376442940294125,-0.0009595817041456739,two-sided,0.0,0.275390625,,0.03,false,true,true
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.01,placebo-effect,,10,0.0009828045650555812,0.002800255616704564,6,-0.003807324924450124,0.004137182828782741,two-sided,0.0,0.4921875,,0.03,false,true,true
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.05,placebo-effect,,10,-0.009233908912475742,-0.007890144418836204,3,-0.018195759792504426,-0.002617232041675836,two-sided,0.0,0.064453125,,0.03,false,true,true
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.05,placebo-effect,,10,-0.0008034973536678979,0.0014166438571028561,5,-0.008166050573435828,0.006224315219855321,two-sided,0.0,0.6953125,,0.03,false,true,true
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.1,placebo-effect,,10,-0.0036525571567673776,-0.0018570753831451126,3,-0.013210137523369182,0.002862637147581002,two-sided,0.0,0.556640625,,0.03,false,true,true
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.1,placebo-effect,,10,-0.005480999911688661,-0.004744131676354846,1,-0.009419574168464671,0.00024290177155927487,two-sided,0.0,0.048828125,,0.03,false,true,true
H-CTRL-1,primary-set,fedavg,own-domain,0.01,placebo-effect,,10,-0.008962609417122108,-0.008426647976768314,3,-0.01809494436293533,-0.001957909936953136,two-sided,0.0,0.083984375,,0.03,false,true,true
H-CTRL-1,primary-set,fedavg,federation-wide,0.01,placebo-effect,,10,-0.0013301773844278137,-0.0017536376385473007,4,-0.00787014612238305,0.0033016246623871768,two-sided,0.0,0.76953125,,0.03,false,true,true
H-CTRL-1,primary-set,fedavg,own-domain,0.05,placebo-effect,,10,-0.00884868950605706,-0.003379749801225934,4,-0.042855970069727994,0.00852081933487507,two-sided,0.0,0.921875,,0.03,false,false,false
H-CTRL-1,primary-set,fedavg,federation-wide,0.05,placebo-effect,,10,-0.0019426252930317411,0.003306471520184262,5,-0.014920968777428946,0.007764617067402305,two-sided,0.0,0.845703125,,0.03,false,true,true
H-CTRL-1,primary-set,fedavg,own-domain,0.1,placebo-effect,,10,0.001729966677443484,0.005305464978417385,6,-0.00986021383995394,0.013914316783245256,two-sided,0.0,0.845703125,,0.03,false,true,true
H-CTRL-1,primary-set,fedavg,federation-wide,0.1,placebo-effect,,10,-0.008341367836074625,-0.013605738816935081,2,-0.016819792386438253,0.005435818395142552,two-sided,0.0,0.16015625,,0.03,false,true,true
H-CTRL-1,replication-set,fedavg,own-domain,0.01,placebo-effect,,10,-0.006077304060033798,-0.0009596585241535491,4,-0.030598661155720727,0.003289626074746502,two-sided,0.0,0.845703125,,0.03,false,false,false
H-CTRL-1,replication-set,fedavg,federation-wide,0.01,placebo-effect,,10,0.0031828058891132855,0.0035160270408852307,7,-0.0011775951544379581,0.007514518079113954,two-sided,0.0,0.193359375,,0.03,false,true,true
H-CTRL-1,replication-set,fedavg,own-domain,0.05,placebo-effect,,10,-0.010164945845897689,-0.0071544115546113285,3,-0.03247295076645129,0.00845119611236887,two-sided,0.0,0.322265625,,0.03,false,false,false
H-CTRL-1,replication-set,fedavg,federation-wide,0.05,placebo-effect,,10,0.0003524657185727476,0.001710133556496185,6,-0.011217527584837749,0.008199980880310907,two-sided,0.0,0.76953125,,0.03,false,true,true
H-CTRL-1,replication-set,fedavg,own-domain,0.1,placebo-effect,,10,-0.011670748581512258,-0.012443877732207342,4,-0.021937522285562387,-0.0017473405869405324,two-sided,0.0,0.083984375,,0.03,false,true,true
H-CTRL-1,replication-set,fedavg,federation-wide,0.1,placebo-effect,,10,-0.002756249023040358,-0.0041471549521812645,4,-0.009258823492306655,0.0048681042577263575,two-sided,0.0,0.556640625,,0.03,false,true,true
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.01,ctk-minus-placebo-effect,,10,0.052445573274826886,0.04339537939490344,10,0.031247674968124316,0.08115046903105616,greater,0.03,0.1611328125,,0.03,true,false,true
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.01,ctk-minus-placebo-effect,,10,0.05563447360881346,0.05404210487617635,10,0.03657608246942063,0.07437330535052371,greater,0.03,0.0419921875,,0.03,true,false,true
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.05,ctk-minus-placebo-effect,,10,0.07743374966834171,0.06852086772760929,10,0.04915436267910941,0.11085288664442786,greater,0.03,0.0068359375,,0.03,true,false,true
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.05,ctk-minus-placebo-effect,,10,0.09535409156782304,0.0939767501428038,10,0.07906957635815468,0.11560582457752047,greater,0.03,0.0009765625,,0.03,true,false,true
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.1,ctk-minus-placebo-effect,,10,0.1304967942436958,0.11981252957277827,10,0.095496802653211,0.16773488940843745,greater,0.03,0.0009765625,,0.03,true,false,true
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.1,ctk-minus-placebo-effect,,10,0.1411571701560157,0.1446100526077989,10,0.11722006598875283,0.16453887308113915,greater,0.03,0.0009765625,,0.03,true,false,true
H-CTRL-1,primary-set,fedavg,own-domain,0.01,ctk-minus-placebo-effect,,10,0.07536710453501072,0.052645930454090356,10,0.04451146902244106,0.11999719524092625,greater,0.03,0.0966796875,,0.03,true,false,true
H-CTRL-1,primary-set,fedavg,federation-wide,0.01,ctk-minus-placebo-effect,,10,0.06437388654822711,0.05228239258507704,10,0.040527529762231784,0.09515224345977005,greater,0.03,0.0244140625,,0.03,true,false,true
H-CTRL-1,primary-set,fedavg,own-domain,0.05,ctk-minus-placebo-effect,,10,0.1046603301899888,0.07302416680253035,10,0.06517344985486723,0.15546666132857873,greater,0.03,0.0048828125,,0.03,true,false,true
H-CTRL-1,primary-set,fedavg,federation-wide,0.05,ctk-minus-placebo-effect,,10,0.13864468669467328,0.13981585937300395,10,0.11360103782863208,0.1651701156455251,greater,0.03,0.0009765625,,0.03,true,false,true
H-CTRL-1,primary-set,fedavg,own-domain,0.1,ctk-minus-placebo-effect,,10,0.09802811728146513,0.07726293480774726,10,0.06715676983597965,0.13577262189781247,greater,0.03,0.001953125,,0.03,true,false,true
H-CTRL-1,primary-set,fedavg,federation-wide,0.1,ctk-minus-placebo-effect,,10,0.15706662125209925,0.16416096976562736,10,0.13504244756041633,0.17456295542012523,greater,0.03,0.0009765625,,0.03,true,false,true
H-CTRL-1,replication-set,fedavg,own-domain,0.01,ctk-minus-placebo-effect,,10,0.029649812246422814,0.017939806835534006,9,0.0039953043281681045,0.059799893779158245,greater,0.03,0.5771484375,,0.03,false,false,true
H-CTRL-1,replication-set,fedavg,federation-wide,0.01,ctk-minus-placebo-effect,,10,0.046732188726294435,0.04706609005721325,10,0.030864060809727603,0.06389588989851258,greater,0.03,0.052734375,,0.03,true,false,true
H-CTRL-1,replication-set,fedavg,own-domain,0.05,ctk-minus-placebo-effect,,10,0.04677994943573488,0.03862637404578062,9,0.02538719858420975,0.07623010611039065,greater,0.03,0.1376953125,,0.03,false,false,true
H-CTRL-1,replication-set,fedavg,federation-wide,0.05,ctk-minus-placebo-effect,,10,0.0539082683454555,0.03763325807962656,9,0.030750281960001062,0.07933778804192257,greater,0.03,0.052734375,,0.03,true,false,true
H-CTRL-1,replication-set,fedavg,own-domain,0.1,ctk-minus-placebo-effect,,10,0.1689252394727699,0.1741900324643492,10,0.11488563026014406,0.2128707459947085,greater,0.03,0.001953125,,0.03,true,false,true
H-CTRL-1,replication-set,fedavg,federation-wide,0.1,ctk-minus-placebo-effect,,10,0.12644504734125944,0.13608731561708284,10,0.08639309369137156,0.16216606082566276,greater,0.03,0.001953125,,0.03,true,false,true
descriptive,pooled-family-sets,fedavg,own-domain,0.01,ctk-mean-aggregation,,10,0.045565770759095604,0.032743448162020364,10,0.025318083098618625,0.07432195879866375,greater,0.0,0.0009765625,,0.03,false,false,true
descriptive,pooled-family-sets,fedavg,federation-wide,0.01,ctk-mean-aggregation,,10,0.05661727817386904,0.05975940723874716,10,0.03766446938607676,0.07341405681538597,greater,0.0,0.0009765625,,0.03,true,false,true
descriptive,pooled-family-sets,fedavg,own-domain,0.05,ctk-mean-aggregation,,10,0.06819984075586598,0.05083267514352574,9,0.04123652658662935,0.10363955682147431,greater,0.0,0.001953125,,0.03,true,false,true
descriptive,pooled-family-sets,fedavg,federation-wide,0.05,ctk-mean-aggregation,,10,0.09455059421415515,0.09093316140257829,10,0.07637582396434414,0.11555495149509121,greater,0.0,0.0009765625,,0.03,true,false,true
descriptive,pooled-family-sets,fedavg,own-domain,0.1,ctk-mean-aggregation,,10,0.12684423708692844,0.1175024001435272,10,0.09430210988753868,0.16476835246300295,greater,0.0,0.0009765625,,0.03,true,false,true
