client,family,placebo_family,need,reallocated,hidden_peer_fit,placebo_peer_fit,centroid_distance,nearest_known_distance,placebo_rank,known_families,experiment,seed,salt
anzhi,adwo,kuguo,291,0,2489,2396,3.0937177033850456,1.2907903437624098,19,157,placebo-robust-primary,320,0
play-early,airpush,youmi,176,0,1640,1713,2.51761414630743,2.159057168909208,3,157,placebo-robust-primary,320,0
appchina,dowgin,dnotua,1611,1584,15373,9202,5.154625024315709,1.0459154663270434,124,157,placebo-robust-primary,320,0
anzhi,gappusin,inmobi,366,282,3127,3417,7.326351833679394,1.256048144020172,145,157,placebo-robust-primary,320,0
play-early,hiddad,utchi,27,16,584,599,5.503940064183309,2.9571274114018733,102,157,placebo-robust-primary,320,0
play-early,leadbolt,ewind,48,6,402,412,2.749423709518956,2.112281195736065,12,157,placebo-robust-primary,320,0
appchina,revmob,smsreg,58,0,1799,1799,4.639100727569019,2.7259809948477396,57,157,placebo-robust-primary,320,0
anzhi,adwo,kuguo,263,0,2344,2139,3.0279404616064722,1.3384944547800526,18,155,placebo-robust-primary,321,0
play-early,airpush,youmi,155,0,1493,1921,2.3999349579639233,2.2278868598107877,3,155,placebo-robust-primary,321,0
appchina,dowgin,dnotua,1606,1577,16636,9205,5.149052058252733,1.0249770331711523,115,155,placebo-robust-primary,321,0
play-early,gappusin,smsreg,452,0,3975,3547,2.46034283546455,1.2883657181956416,24,155,placebo-robust-primary,321,0
anzhi,hiddad,domob,25,17,1012,830,5.956706194507951,3.3026168771343727,84,155,placebo-robust-primary,321,0
anzhi,leadbolt,frmy,96,28,2128,1921,4.234552922961066,2.2800538907780035,86,155,placebo-robust-primary,321,0
play-late,revmob,zdtad,58,46,1554,1524,4.645120770514065,2.4609383596796164,63,155,placebo-robust-primary,321,0
play-early,adwo,youmi,343,0,2823,1773,1.896932445519287,1.2254574846162665,6,152,placebo-robust-primary,322,0
anzhi,airpush,inmobi,280,50,5906,3149,6.720622852258147,2.2689742829103974,135,152,placebo-robust-primary,322,0
anzhi,dowgin,domob,89,0,832,869,3.120253134124638,0.9983780311721863,43,152,placebo-robust-primary,322,0
play-early,gappusin,smsreg,468,0,3860,3321,2.4278614067163113,1.2640254110960667,24,152,placebo-robust-primary,322,0
appchina,hiddad,plankton,34,21,1011,677,5.4783568805179375,3.038131125824878,47,152,placebo-robust-primary,322,0
play-late,leadbolt,frmy,72,28,2146,1881,4.265389136881058,2.1454990168346093,83,152,placebo-robust-primary,322,0
play-late,revmob,zdtad,53,44,1561,1485,4.505305798679966,2.28769080987498,62,152,placebo-robust-primary,322,0
play-early,adwo,youmi,333,0,2608,1847,1.8748509372282274,1.338365065836489,4,148,placebo-robust-primary,323,0
appchina,airpush,dnotua,195,0,5812,9205,4.497222359464913,2.014110289197622,91,148,placebo-robust-primary,323,0
play-early,dowgin,kuguo,1658,0,17074,10459,1.019850771282875,1.019850771282875,1,148,placebo-robust-primary,323,0
play-early,gappusin,smsreg,497,0,4194,3397,2.330966008434418,1.2798789336532996,19,148,placebo-robust-primary,323,0
play-late,hiddad,autoins,17,0,345,322,4.124605652763082,2.6847285590989984,13,148,placebo-robust-primary,323,0
play-late,leadbolt,frmy,108,43,2313,1881,4.246568116429408,2.1696642941319797,82,148,placebo-robust-primary,323,0
appchina,revmob,zdtad,53,51,1831,1576,4.80974988029828,2.720959856880149,63,148,placebo-robust-primary,323,0
appchina,adwo,ewind,42,0,497,511,3.2170500650481513,1.4088457160395784,21,153,placebo-robust-primary,324,0
appchina,airpush,inmobi,211,18,5583,2923,6.7818099115622905,2.21634479801766,133,153,placebo-robust-primary,324,0
appchina,dowgin,kuguo,1673,1,17860,8857,1.0049227300419048,1.0049227300419048,1,153,placebo-robust-primary,324,0
appchina,gappusin,fakeapp,114,108,1116,747,3.9730872004169795,1.2528907745487807,88,153,placebo-robust-primary,324,0
appchina,hiddad,dnotua,23,0,1130,815,5.45524804124491,3.543552462856921,43,153,placebo-robust-primary,324,0
appchina,leadbolt,smsreg,79,0,2063,2138,3.5813426214844033,2.23183509418929,54,153,placebo-robust-primary,324,0
appchina,revmob,zdtad,57,54,1997,1649,5.029341938658786,2.9643552442320074,67,153,placebo-robust-primary,324,0
appchina,adwo,ewind,43,0,454,495,3.0736802009115287,1.2989658176055705,19,152,placebo-robust-primary,325,0
play-early,airpush,zdtad,154,120,1531,1447,3.720855031032682,2.141897573267198,59,152,placebo-robust-primary,325,0
appchina,dowgin,dnotua,1614,1588,16225,8630,5.201303632894101,1.0124240905863962,112,152,placebo-robust-primary,325,0
anzhi,gappusin,smsreg,393,0,3227,2202,2.589073501199958,1.2598611014460788,29,152,placebo-robust-primary,325,0
appchina,hiddad,frla,36,4,920,644,6.0575224506898815,2.866845260086089,126,152,placebo-robust-primary,325,0
anzhi,leadbolt,kuguo,115,27,2294,2190,3.1387687461456197,2.13297983773209,20,152,placebo-robust-primary,325,0
play-late,revmob,inmobi,59,0,1974,1928,5.974011157506351,2.9995663353407087,102,152,placebo-robust-primary,325,0
anzhi,adwo,kuguo,294,0,2486,2683,3.0565082168724858,1.3629351486606747,17,153,placebo-robust-primary,326,0
anzhi,airpush,dnotua,289,115,6470,9276,4.231152185529119,1.8113191102141322,92,153,placebo-robust-primary,326,0
anzhi,dowgin,domob,95,0,853,847,3.134003698984424,1.0492143535695726,48,153,placebo-robust-primary,326,0
anzhi,gappusin,inmobi,377,304,3357,3588,7.332915410585418,1.2615706381520972,144,153,placebo-robust-primary,326,0
play-early,hiddad,utchi,30,20,829,768,6.313089185581672,3.423576243896311,114,153,placebo-robust-primary,326,0
anzhi,leadbolt,frmy,94,23,2249,1921,4.224735432736434,2.3039065587932113,88,153,placebo-robust-primary,326,0
appchina,revmob,smsreg,55,0,1835,2035,5.018439010703538,3.320285820091877,57,153,placebo-robust-primary,326,0
appchina,adwo,ewind,40,0,521,503,3.221486762112559,1.3553779494940528,23,159,placebo-robust-primary,327,0
anzhi,airpush,dnotua,340,144,6587,8620,4.292014885370098,2.1410069893170225,90,159,placebo-robust-primary,327,0
play-early,dowgin,kuguo,1737,0,17887,10968,0.9809548551085384,0.9809548551085384,1,159,placebo-robust-primary,327,0
appchina,gappusin,plankton,82,79,1040,710,2.8529435496963367,1.2425802670452577,47,159,placebo-robust-primary,327,0
play-late,hiddad,kyview,19,0,420,418,4.749689450581328,2.9291384134252323,42,159,placebo-robust-primary,327,0
play-early,leadbolt,ginmaster,27,0,373,356,2.739095845267234,2.236995292049722,8,159,placebo-robust-primary,327,0
appchina,revmob,inmobi,48,0,1447,1652,5.415723759649838,2.1713722515011513,100,159,placebo-robust-primary,327,0
play-early,adwo,youmi,325,0,2801,1767,1.9820043729445622,1.2165387516363364,6,152,placebo-robust-primary,328,0
appchina,airpush,inmobi,197,18,5932,3407,6.103468621066061,2.2685105485276678,134,152,placebo-robust-primary,328,0
play-early,dowgin,kuguo,1783,0,18173,10506,1.0312295401831273,1.0312295401831273,1,152,placebo-robust-primary,328,0
play-early,gappusin,smsreg,433,0,3897,3506,2.3547104634487095,1.260724640893397,18,152,placebo-robust-primary,328,0
play-late,hiddad,tapcore,16,6,339,353,7.127760345539799,2.9162183118262477,142,152,placebo-robust-primary,328,0
play-late,leadbolt,frmy,100,39,2093,1881,4.2083082105216,2.170105765434728,79,152,placebo-robust-primary,328,0
appchina,revmob,zdtad,46,44,1449,1554,4.313427675214297,2.0701333979644283,57,152,placebo-robust-primary,328,0
anzhi,adwo,kuguo,327,0,2520,2405,3.052136264614131,1.3523887365948455,17,150,placebo-robust-primary,329,0
play-late,airpush,smsreg,324,0,6624,3587,3.4618971088557244,2.2858454278871285,45,150,placebo-robust-primary,329,0
appchina,dowgin,dnotua,1637,1622,15670,9235,5.165752369092957,1.039883583156777,108,150,placebo-robust-primary,329,0
appchina,gappusin,fakeapp,87,82,1042,912,4.423861617071239,1.1927731891131568,87,150,placebo-robust-primary,329,0
play-early,hiddad,feiwo,18,14,639,566,4.935290844050697,2.666141769191344,50,150,placebo-robust-primary,329,0
anzhi,leadbolt,frmy,79,26,2258,1921,4.223298875489126,2.1118447584261806,78,150,placebo-robust-primary,329,0
play-late,revmob,youmi,74,0,1836,1855,4.234283627492593,2.821025672373952,14,150,placebo-robust-primary,329,0
play-early,dnotua,ewind,16,13,424,412,4.634247734559671,0.46085647852315176,35,156,placebo-robust-replication,320,0
play-early,domob,hiddad,104,60,1041,584,5.155067932641236,1.541953459935088,115,156,placebo-robust-replication,320,0
appchina,inmobi,leadbolt,86,0,3321,2032,6.28947626721463,4.016696700376027,11,156,placebo-robust-replication,320,0
appchina,kuguo,airpush,864,712,7975,6096,3.0540110729624894,1.0459154663270434,45,156,placebo-robust-replication,320,0
play-late,smsreg,adwo,374,0,3313,2911,3.415403814407064,1.1883804608966708,62,156,placebo-robust-replication,320,0
anzhi,utchi,igexin,30,0,275,275,5.046880353335979,3.0459651512136956,96,156,placebo-robust-replication,320,0
play-early,youmi,wooboo,191,3,1713,601,1.5506376857960715,1.2730452070256488,4,156,placebo-robust-replication,320,0
appchina,zdtad,gappusin,123,0,1292,1052,2.6111343667163416,1.713469726386806,17,156,placebo-robust-replication,320,0
play-early,dnotua,baiduprotect,19,13,432,442,5.327675159249867,0.5950818161583454,73,155,placebo-robust-replication,321,0
anzhi,domob,dowgin,113,0,830,783,3.0663289657714596,1.4471133271522718,25,155,placebo-robust-replication,321,0
appchina,inmobi,frmy,89,0,3359,1920,7.893575049087597,3.9645142047874393,105,155,placebo-robust-replication,321,0
appchina,kuguo,airpush,825,658,8239,5765,2.9904563520635055,1.0249770331711523,45,155,placebo-robust-replication,321,0
play-late,smsreg,gappusin,372,0,3736,4063,2.46034283546455,1.1718308185542554,18,155,placebo-robust-replication,321,0
anzhi,utchi,wooboo,65,0,408,420,3.705590347722096,3.107224081058066,16,155,placebo-robust-replication,321,0
play-early,youmi,zdtad,229,186,1921,1522,2.9390554401325786,1.2883657181956416,51,155,placebo-robust-replication,321,0
anzhi,dnotua,airpush,274,0,8673,5906,4.3063792291365495,0.5813532036976076,12,152,placebo-robust-replication,322,0
anzhi,domob,dowgin,95,0,869,832,3.120253134124638,1.537142491513774,26,152,placebo-robust-replication,322,0
play-early,inmobi,fakeapp,13,6,199,230,7.291614098083791,4.062150726591577,36,152,placebo-robust-replication,322,0
anzhi,kuguo,leadbolt,282,50,2357,2162,3.05250180999074,0.9983780311721863,45,152,placebo-robust-replication,322,0
play-early,smsreg,adwo,373,1,3321,2823,3.3929286404577708,1.2294133102265075,59,152,placebo-robust-replication,322,0
appchina,utchi,baiduprotect,32,0,352,313,4.678606547021884,3.0874737837439845,68,152,placebo-robust-replication,322,0
anzhi,youmi,revmob,162,112,1612,1587,3.7250775157782328,1.2640254110960667,76,152,placebo-robust-replication,322,0
appchina,dnotua,airpush,276,0,9205,5812,4.497222359464913,0.6130755769099121,21,148,placebo-robust-replication,323,0
anzhi,domob,hiddad,91,60,816,836,5.216910725577758,1.5741670280961524,108,148,placebo-robust-replication,323,0
appchina,inmobi,fakeapp,41,0,1289,870,6.3234768944275705,4.897793033922265,27,148,placebo-robust-replication,323,0
play-early,kuguo,gappusin,1091,0,10459,4194,1.7767493231161964,1.019850771282875,5,148,placebo-robust-replication,323,0
anzhi,smsreg,revmob,212,156,1893,1873,4.556768734676489,1.2338211011815599,103,148,placebo-robust-replication,323,0
anzhi,utchi,kyview,33,0,294,293,4.133903778789549,3.068145609217737,43,148,placebo-robust-replication,323,0
play-early,youmi,zdtad,239,189,1847,1590,2.9592032801286434,1.2982128677683935,46,148,placebo-robust-replication,323,0
anzhi,dnotua,dowgin,33,0,817,834,4.385371124266399,1.951863670787194,44,152,placebo-robust-replication,324,0
appchina,domob,autoins,26,0,313,298,3.857017229926557,1.557853192486729,56,152,placebo-robust-replication,324,0
play-early,inmobi,plankton,11,0,191,137,7.396823383488285,4.150579536546418,38,152,placebo-robust-replication,324,0
appchina,kuguo,airpush,860,699,8857,5583,2.9385832339043034,1.0049227300419048,41,152,placebo-robust-replication,324,0
appchina,smsreg,leadbolt,177,133,2138,2063,3.5813426214844033,1.1261805764387485,68,152,placebo-robust-replication,324,0
anzhi,utchi,wooboo,69,0,632,613,3.590986561990567,3.027615858571047,10,152,placebo-robust-replication,324,0
appchina,youmi,anydown,42,34,425,480,3.5289224302903497,1.2528907745487807,69,152,placebo-robust-replication,324,0
appchina,zdtad,revmob,143,136,1649,1997,5.029341938658786,1.7198921916003957,106,152,placebo-robust-replication,324,0
play-early,dnotua,igexin,19,13,454,458,6.603806493050617,0.4538697155045306,114,152,placebo-robust-replication,325,0
appchina,domob,baiduprotect,22,0,253,246,4.715648072699572,1.5245484783583219,92,152,placebo-robust-replication,325,0
play-late,inmobi,revmob,82,0,1928,1974,5.974011157506351,4.83503463624265,20,152,placebo-robust-replication,325,0
appchina,kuguo,airpush,810,634,8220,6135,3.1065393585018994,1.0124240905863962,45,152,placebo-robust-replication,325,0
