status,reason,experiment,seed,salt
completed,,placebo-robust-primary,320,0
completed,,placebo-robust-primary,321,0
completed,,placebo-robust-primary,322,0
completed,,placebo-robust-primary,323,0
completed,,placebo-robust-primary,324,0
completed,,placebo-robust-primary,325,0
completed,,placebo-robust-primary,326,0
completed,,placebo-robust-primary,327,0
completed,,placebo-robust-primary,328,0
completed,,placebo-robust-primary,329,0
completed,,placebo-robust-replication,320,0
completed,,placebo-robust-replication,321,0
completed,,placebo-robust-replication,322,0
completed,,placebo-robust-replication,323,0
completed,,placebo-robust-replication,324,0
completed,,placebo-robust-replication,325,0
completed,,placebo-robust-replication,326,0
completed,,placebo-robust-replication,327,0
completed,,placebo-robust-replication,328,0
completed,,placebo-robust-replication,329,0
