hypothesis,scope,learner,population,alpha,met,onset_level
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.01,true,
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.01,true,
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.05,true,
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.05,true,
H-CTRL-1,pooled-family-sets,fedavg,federation-wide,0.1,true,
H-CTRL-2,pooled-family-sets,fedavg,federation-wide,0.1,false,
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.01,true,
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.01,false,
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.05,true,
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.05,true,
H-CTRL-1,pooled-family-sets,fedavg,own-domain,0.1,true,
H-CTRL-2,pooled-family-sets,fedavg,own-domain,0.1,false,
H-CTRL-1,primary-set,fedavg,federation-wide,0.01,true,
H-CTRL-2,primary-set,fedavg,federation-wide,0.01,true,
H-CTRL-1,primary-set,fedavg,federation-wide,0.05,true,
H-CTRL-2,primary-set,fedavg,federation-wide,0.05,true,
H-CTRL-1,primary-set,fedavg,federation-wide,0.1,true,
H-CTRL-2,primary-set,fedavg,federation-wide,0.1,true,
H-CTRL-1,primary-set,fedavg,own-domain,0.01,true,
H-CTRL-2,primary-set,fedavg,own-domain,0.01,false,
H-CTRL-1,primary-set,fedavg,own-domain,0.05,false,
H-CTRL-2,primary-set,fedavg,own-domain,0.05,true,
H-CTRL-1,primary-set,fedavg,own-domain,0.1,true,
H-CTRL-2,primary-set,fedavg,own-domain,0.1,false,
H-CTRL-1,replication-set,fedavg,federation-wide,0.01,true,
H-CTRL-2,replication-set,fedavg,federation-wide,0.01,false,
H-CTRL-1,replication-set,fedavg,federation-wide,0.05,true,
H-CTRL-2,replication-set,fedavg,federation-wide,0.05,false,
H-CTRL-1,replication-set,fedavg,federation-wide,0.1,true,
H-CTRL-2,replication-set,fedavg,federation-wide,0.1,false,
H-CTRL-1,replication-set,fedavg,own-domain,0.01,false,
H-CTRL-2,replication-set,fedavg,own-domain,0.01,false,
H-CTRL-1,replication-set,fedavg,own-domain,0.05,false,
H-CTRL-2,replication-set,fedavg,own-domain,0.05,false,
H-CTRL-1,replication-set,fedavg,own-domain,0.1,true,
H-CTRL-2,replication-set,fedavg,own-domain,0.1,false,
