set,population,alpha,cells,outcome,predictor,spearman_rho,p_value,evidence_class
primary-set,federation-wide,0.01,70,placebo_eff,centroid_distance,-0.027331583656658557,0.8222928310809914,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,placebo_eff,placebo_rank,-0.10735788427784641,0.3763681800650277,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,placebo_eff,nearest_known_distance,0.028346456801400043,0.8158080256668385,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,placebo_eff,fit_ratio,0.07503062145950826,0.5370241839746143,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,placebo_eff,centroid-distance-to-known-malware,0.056482939848715635,0.642338057400359,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,placebo_eff,max-jaccard-to-known-family,-0.051129056405714426,0.6742304527605512,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,trim_minus_mean,top_share,0.14521053717859375,0.23036756006436063,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,trim_minus_mean,n_peers,-0.057000660164580545,0.6392868230835606,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,trim_minus_mean,n_peers30,0.08890210750673694,0.46424999884805196,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,trim_minus_mean,peer_rows,0.18602860785043038,0.12309893907074922,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,med_minus_mean,top_share,-0.11719829940382587,0.33392865743945643,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,med_minus_mean,n_peers,-0.0040657889109804255,0.9733520523780614,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,med_minus_mean,n_peers30,0.27117679039967996,0.023164823663788647,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,70,med_minus_mean,peer_rows,0.16505109192636938,0.17211558412742814,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,placebo_eff,centroid_distance,-0.1208860428014323,0.3188344895323167,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,placebo_eff,placebo_rank,-0.10955739754023769,0.3666106733417935,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,placebo_eff,nearest_known_distance,-0.07553409274479422,0.5342881762267091,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,placebo_eff,fit_ratio,0.2839221040004113,0.017221998642244787,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,placebo_eff,centroid-distance-to-known-malware,-0.2145994087363681,0.07442590218720478,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,placebo_eff,max-jaccard-to-known-family,0.22718166317259755,0.05858092639502299,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,trim_minus_mean,top_share,0.09877342492305122,0.41592574709945335,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,trim_minus_mean,n_peers,0.06617421951664691,0.5862477733359982,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,trim_minus_mean,n_peers30,0.0598750036674438,0.6224561086913318,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,trim_minus_mean,peer_rows,-0.08398656220148129,0.48940688418948175,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,med_minus_mean,top_share,0.1765657947546921,0.14369422828893508,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,med_minus_mean,n_peers,0.07304336177801309,0.5478903012292534,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,med_minus_mean,n_peers30,0.028667781012966215,0.8137573841345486,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,med_minus_mean,peer_rows,-0.01637723635703563,0.8929569172313332,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,placebo_eff,centroid_distance,-0.16104986938276913,0.182895954255134,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,placebo_eff,placebo_rank,-0.17738378825496795,0.1418179446347202,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,placebo_eff,nearest_known_distance,-0.19301837344212583,0.10939364699128583,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,placebo_eff,fit_ratio,0.05781277362458379,0.6345125707296843,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,placebo_eff,centroid-distance-to-known-malware,-0.22038495272446512,0.06676033904446617,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,placebo_eff,max-jaccard-to-known-family,0.1794941343633876,0.13706233406413262,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,trim_minus_mean,top_share,0.1476776640302845,0.22245908959300972,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,trim_minus_mean,n_peers,-0.0860016987866159,0.47900788246047465,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,trim_minus_mean,n_peers30,0.0540169764972348,0.6569518640935691,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,trim_minus_mean,peer_rows,0.017637023769115297,0.8847770290491365,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,med_minus_mean,top_share,0.1454729974819651,0.2295170652566818,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,med_minus_mean,n_peers,-0.1362127511522531,0.2608571003293473,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,med_minus_mean,n_peers30,0.171366958746964,0.15605651718586952,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,med_minus_mean,peer_rows,0.16499715688765598,0.17225773869945504,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,placebo_eff,centroid_distance,-0.12348265341844987,0.32325188254479065,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,placebo_eff,placebo_rank,-0.0548753740071395,0.6616605186167034,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,placebo_eff,nearest_known_distance,-0.10789044240109867,0.38853353254588285,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,placebo_eff,fit_ratio,-0.008168361569799268,0.9480997732701434,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,placebo_eff,centroid-distance-to-known-malware,-0.08259830201961083,0.5096783195657086,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,placebo_eff,max-jaccard-to-known-family,0.28332172731355054,0.02115582382221106,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,trim_minus_mean,top_share,-0.03633028066957756,0.7721185114373429,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,trim_minus_mean,n_peers,0.03937979760735892,0.7535725820490208,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,trim_minus_mean,n_peers30,0.12871680255957155,0.3030040115781713,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,trim_minus_mean,peer_rows,0.02841262633465424,0.8208431540953424,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,med_minus_mean,top_share,-0.17833940346523672,0.15195294674833468,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,med_minus_mean,n_peers,0.14666675931179488,0.23994355048109217,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,med_minus_mean,n_peers30,0.15291741246638138,0.22027582355049047,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,med_minus_mean,peer_rows,-0.0410080052946956,0.7437262875043682,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,placebo_eff,centroid_distance,-0.06356283877869659,0.612131146530492,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,placebo_eff,placebo_rank,-0.1730774539013827,0.16460918839237643,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,placebo_eff,nearest_known_distance,-0.003212789670677429,0.9795746442632904,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,placebo_eff,fit_ratio,0.19039453558191013,0.12570430132834787,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,placebo_eff,centroid-distance-to-known-malware,-0.1915284613480316,0.12342503832070638,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,placebo_eff,max-jaccard-to-known-family,0.12920589003270713,0.30115503369130114,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,trim_minus_mean,top_share,-0.21309181985204975,0.08581836456139809,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,trim_minus_mean,n_peers,0.22481946058057117,0.06954627438495682,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,trim_minus_mean,n_peers30,0.09020927178639493,0.47132083398378755,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,trim_minus_mean,peer_rows,-0.15110884580457462,0.2258465651517342,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,med_minus_mean,top_share,-0.042805538172140396,0.7329034081036157,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,med_minus_mean,n_peers,0.17707328019800148,0.1549300507826257,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,med_minus_mean,n_peers30,-0.19813494881193938,0.11076691375510475,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,med_minus_mean,peer_rows,-0.13884365066010004,0.26621780577556875,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,placebo_eff,centroid_distance,-0.1729189505504826,0.1650020955422671,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,placebo_eff,placebo_rank,-0.15214986313766396,0.22262815589367416,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,placebo_eff,nearest_known_distance,-0.19829476428595788,0.11047360408866728,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,placebo_eff,fit_ratio,0.03291883247283136,0.7930167756720004,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,placebo_eff,centroid-distance-to-known-malware,-0.21919125036787715,0.07701633388876764,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,placebo_eff,max-jaccard-to-known-family,0.23199778765644263,0.06087397687880633,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,trim_minus_mean,top_share,0.02550419347296452,0.8389230385154995,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,trim_minus_mean,n_peers,-0.06615877635124873,0.5976479509930015,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,trim_minus_mean,n_peers30,0.0406434895820786,0.7459271428291483,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,trim_minus_mean,peer_rows,0.058271555276088655,0.6421101287103346,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,med_minus_mean,top_share,0.18461500275631995,0.13782183211107854,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,med_minus_mean,n_peers,-0.05222370216058884,0.6770840986414105,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,med_minus_mean,n_peers30,0.11393565433686781,0.36234638889396725,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,med_minus_mean,peer_rows,0.09633113458577533,0.4416339548328499,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,placebo_eff,centroid_distance,0.1883439120178211,0.11054377083134077,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,placebo_eff,placebo_rank,0.11800988471709602,0.320050488029623,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,placebo_eff,nearest_known_distance,0.32380575404957634,0.005196995561266632,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,placebo_eff,fit_ratio,0.10210426650682043,0.390025176907738,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,placebo_eff,centroid-distance-to-known-malware,0.05477403847237086,0.6453310660773045,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,placebo_eff,max-jaccard-to-known-family,0.35406076761770916,0.002118546972528227,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,trim_minus_mean,top_share,-0.1267357448490735,0.2853145740610274,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,trim_minus_mean,n_peers,0.1981957429171817,0.09278681874562292,D-post-hoc-diagnostic
