set,population,alpha,client,seeds,placebo_eff_mean,placebo_eff_lo,placebo_eff_hi,ctk_minus_pl_mean,ctk_minus_pl_lo,ctk_minus_pl_hi,evidence_class
primary-set,federation-wide,0.01,anzhi,7,0.002641015185324467,-0.0037646788240922736,0.009820012605713583,0.05465627668980685,0.034504883152380275,0.0772776087257385,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,appchina,10,-0.002686590696282242,-0.014832463251871108,0.01239868901133396,0.0006871641062531408,-0.0424257314703771,0.031767909038335415,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,play-early,9,-0.003767054580916642,-0.022395528187033192,0.013894780900883521,0.04380090326472647,-0.0006537223033095366,0.07487563278014231,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,play-late,7,-0.015550487428856846,-0.05843075713407266,0.01251984345015292,0.25299647433498623,0.12948068661811973,0.3512587529763283,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,anzhi,7,0.0032633538423722025,-0.0030085119109835483,0.008930702035154578,0.19330859799574743,0.1244920287097393,0.2565916780223355,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,appchina,10,0.0001955775569769202,-0.002902478159978001,0.003626155222764877,0.05925496127631251,0.012780991874794066,0.10292143786003799,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,play-early,9,-0.012729507010488025,-0.0478255663402565,0.004618748867087234,0.08789586707017559,0.0721722477786509,0.10583309473721254,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,play-late,7,-0.010152985489340858,-0.07230426997426623,0.02916492241109952,0.2915914533768826,0.12541946475331855,0.42964742440870457,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,anzhi,7,-0.02407238025080883,-0.05817302612299584,-0.004715586986113056,0.23129946109979532,0.16190844547091893,0.28991097449491227,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,appchina,10,0.0001626294958777308,-0.011814786587334645,0.018544473857636388,0.1205475488310607,0.0617968956504476,0.18490169958087233,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,play-early,9,-0.012087413675235945,-0.032638248468752636,0.0012316476144411533,0.0752221548591873,0.05268833391666419,0.09955382437392815,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,play-late,7,-0.004215420042057554,-0.04811296832109266,0.026792425707490214,0.2501188029349097,0.1296935418558382,0.36128003693906247,D-post-hoc-diagnostic
primary-set,own-domain,0.01,anzhi,7,-0.001573410109568207,-0.017514348799328453,0.018471752525813647,0.05766352697328901,0.01934456784167841,0.08914019165358611,D-post-hoc-diagnostic
primary-set,own-domain,0.01,appchina,10,-0.017487103228536503,-0.0566830705871525,0.0073586812410476495,0.03755568378277725,0.0066973060808288385,0.08256790694875987,D-post-hoc-diagnostic
primary-set,own-domain,0.01,play-early,9,-0.01794701840227237,-0.03156988942170693,-0.005839622153098113,0.046338069314417356,-0.011296436075637144,0.0940018223125372,D-post-hoc-diagnostic
primary-set,own-domain,0.01,play-late,7,-0.012803696137784369,-0.03854914304105206,0.013391599794353667,0.28115739153066166,0.1274932340583655,0.4738627568839598,D-post-hoc-diagnostic
primary-set,own-domain,0.05,anzhi,7,0.0019261336721033279,-0.024024749942247188,0.02916489614308232,0.08950134619954218,0.03677528541749747,0.16758533927755073,D-post-hoc-diagnostic
primary-set,own-domain,0.05,appchina,10,0.014265727129115686,-0.0038065369389508955,0.0636526527643827,0.02384587183218187,-0.006538725156511374,0.05394090797132921,D-post-hoc-diagnostic
primary-set,own-domain,0.05,play-early,9,-0.024414054610683866,-0.06962903718936807,0.0021911527815907817,0.07281728660626531,0.045782934719428084,0.09682199780526415,D-post-hoc-diagnostic
