set,population,alpha,family,cells,placebo_eff,ctk_minus_pl,ctk_mean,ctk_trim,ctk_med,trim_minus_mean,med_minus_mean,n_peers,n_peers30,top_share,peer_rows,evidence_class
primary-set,federation-wide,0.01,adwo,10,0.018562624723702497,0.03424681389510018,0.05280943861880268,0.05453773900055022,0.04102324981958483,0.0017283003817475406,-0.011786188799217846,2.0,1.3,0.9520111165114754,230.1,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,airpush,10,-0.01259424584974676,0.09706921256866978,0.08447496671892303,0.09292989894249391,0.09897083776116818,0.008454932223570896,0.014495871042245156,3.0,1.4,0.726611019476956,232.1,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,dowgin,10,0.00025354632835723615,-0.025287513928150297,-0.02503396759979306,0.03545066436632994,-0.01043745241205346,0.06048463196612299,0.0145965151877396,1.9,1.3,0.9825029206541748,1350.3,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,gappusin,10,-0.009238754385277296,0.029768998920093753,0.020530244534816455,0.01407486908265437,0.04654661046635727,-0.006455375452162087,0.02601636593154081,2.0,1.4,0.8998663504040959,326.9,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,hiddad,10,-0.00872313771135005,0.0038223191690200686,-0.004900818542329981,-0.008137110493945748,0.00203580878665012,-0.0032362919516157667,0.006936627328980099,3.0,0.0,0.6322705924729414,24.5,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,leadbolt,10,0.0054616751181580025,0.1566424285484733,0.1621041036666313,0.1417977590707804,0.19460874706899534,-0.020306344595850907,0.03250464340236403,3.0,1.2,0.6999405778994723,81.8,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,revmob,10,-0.0030329499148383657,0.15435494666438293,0.15132199674954455,0.1596539421525766,0.19074582361107334,0.008331945403032065,0.03942382686152875,2.7,1.0,0.9102904065143536,56.1,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,adwo,10,0.01220381612582765,0.13021684616635654,0.1424206622921842,0.12966080504909255,0.10632510130916997,-0.012759857243091649,-0.03609556098301422,2.0,1.3,0.9520111165114754,230.1,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,airpush,10,-0.008443567074833198,0.12402783240455821,0.11558426532972502,0.12316593003820164,0.11772993420210413,0.007581664708476638,0.002145668872379125,3.0,1.4,0.726611019476956,232.1,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,dowgin,10,-0.008691073011888196,-0.012389659941840913,-0.021080732953729107,-0.03852640423253153,0.013507374412694617,-0.01744567127880242,0.034588107366423725,1.9,1.3,0.9825029206541748,1350.3,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,gappusin,10,0.011465063553992561,0.08886423522215577,0.10032929877614834,0.08373536757072916,0.10124709659211428,-0.016593931205419153,0.0009177978159659511,2.0,1.4,0.8998663504040959,326.9,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,hiddad,10,-0.014832023137324818,0.04069950093948148,0.025867477802156657,0.017329073400589347,0.007609529722498148,-0.008538404401567312,-0.018257948079658512,3.0,0.0,0.6322705924729414,24.5,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,leadbolt,10,0.002069516595036508,0.31090742958706946,0.31297694618210603,0.310812856190425,0.3749598403367508,-0.0021640899916810286,0.06198289415464475,3.0,1.2,0.6999405778994723,81.8,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,revmob,10,-0.007370110102032759,0.28818662248493276,0.28081651238289995,0.32571769592557365,0.3700265960525286,0.04490118354267365,0.08921008366962863,2.7,1.0,0.9102904065143536,56.1,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,adwo,10,-0.00016400813941701563,0.07761088959259842,0.0774468814531814,0.06398697498255482,0.09926180491413847,-0.013459906470626592,0.02181492346095707,2.0,1.3,0.9520111165114754,230.1,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,airpush,10,-0.008186108285189241,0.14841679182280793,0.14023068353761867,0.13649843782003107,0.13832824340592786,-0.0037322457175876012,-0.001902440131690819,3.0,1.4,0.726611019476956,232.1,D-post-hoc-diagnostic
