set,population,family,placebo_family,n,placebo_eff,centroid_distance,placebo_rank,evidence_class
primary-set,federation-wide,hiddad,feiwo,1,-0.09964412811387902,4.935290844050697,50.0,D-post-hoc-diagnostic
primary-set,federation-wide,revmob,inmobi,2,-0.05181739879414299,5.694867458578095,101.0,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,utchi,2,-0.03245956637123831,5.908514624882491,108.0,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,frla,1,-0.030651340996168563,6.0575224506898815,126.0,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,smsreg,1,-0.02966540186271127,3.4618971088557244,45.0,D-post-hoc-diagnostic
primary-set,federation-wide,adwo,youmi,3,-0.027111550208617108,1.917929251897359,5.333333333333333,D-post-hoc-diagnostic
primary-set,federation-wide,leadbolt,kuguo,1,-0.02481389578163773,3.1387687461456197,20.0,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,zdtad,1,-0.020562316407889303,3.720855031032682,59.0,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,autoins,1,-0.0185185185185186,4.124605652763082,13.0,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,dnotua,4,-0.01463023941148725,5.167683271138875,114.75,D-post-hoc-diagnostic
primary-set,federation-wide,revmob,youmi,1,-0.008064516129032251,4.234283627492593,14.0,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,dnotua,1,-0.007142857142857173,5.45524804124491,43.0,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,kuguo,4,-0.007129501736935134,1.0092394741541115,1.0,D-post-hoc-diagnostic
primary-set,federation-wide,leadbolt,frmy,6,-0.007120845167762707,4.233808782503115,82.66666666666667,D-post-hoc-diagnostic
primary-set,federation-wide,leadbolt,smsreg,1,-0.006451612903225823,3.5813426214844033,54.0,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,youmi,2,-0.006365910844438438,2.4587745521356767,3.0,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,inmobi,3,-0.006238293215731753,6.535300461628833,134.0,D-post-hoc-diagnostic
primary-set,federation-wide,revmob,smsreg,2,-0.0035661838271952503,4.828769869136279,57.0,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,dnotua,3,-0.0009204170472197534,4.340129810121376,91.0,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,inmobi,2,-0.0003174829665037737,7.329633622132405,144.5,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,domob,1,0.0,5.956706194507951,84.0,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,plankton,1,0.0,5.4783568805179375,47.0,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,domob,2,0.00006411723740379349,3.127128416554531,45.5,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,fakeapp,2,0.0022075380374166342,4.19847440874411,87.5,D-post-hoc-diagnostic
primary-set,federation-wide,revmob,zdtad,5,0.009026116070276227,4.660589212673079,62.4,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,plankton,1,0.015097052480230078,2.8529435496963367,47.0,D-post-hoc-diagnostic
