set,population,alpha,n,slope,slope_lo,slope_hi,intercept,spearman_rho,p_value,evidence_class
primary-set,federation-wide,0.01,70,-0.0038959395160495865,-0.024046177931142936,0.015628542917835185,-0.0001592179775349316,-0.02137499289624873,0.8605799303724196,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,70,-0.009519708552279578,-0.023667934679873655,0.00499379837337594,0.0009186081101688975,-0.09027415652550133,0.45735593179519324,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,70,0.002201790517371621,-0.012466155915536197,0.019993273056159607,-0.009003135635010557,-0.02638635486713958,0.8283433292489594,D-post-hoc-diagnostic
primary-set,own-domain,0.01,66,0.002486791469178416,-0.011314751792718823,0.016673029510412628,-0.009411186501814255,-0.03828910923203805,0.760190385343077,D-post-hoc-diagnostic
primary-set,own-domain,0.05,66,-0.037168847790312515,-0.06746847577664228,-0.012701190031183697,0.0011536434438758417,-0.21634373859109313,0.08103170311715868,D-post-hoc-diagnostic
primary-set,own-domain,0.1,66,-0.012716347025508947,-0.03827061059546279,0.02029185881228605,0.005898555655884181,-0.18118894793231582,0.1454085350160207,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,73,0.004652975647696827,-0.008803306946501013,0.019895432535408798,0.0016958990460981425,0.0120175835051991,0.9196221517055657,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,73,0.02898301716604224,0.005395094919178905,0.05460087943361868,-0.009707262007770215,0.041410057078565224,0.7279526115118298,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,73,0.0037245991531453023,-0.014846717428876463,0.020521915931113546,-0.004111012341309657,0.027142297410781505,0.8196903616146771,D-post-hoc-diagnostic
replication-set,own-domain,0.01,60,0.01477089107572585,-0.004205154939849533,0.03851801918654029,-0.009891763405132974,0.04979281256200748,0.7055683848538056,D-post-hoc-diagnostic
replication-set,own-domain,0.05,60,0.01607980671893779,-0.011855657670931665,0.04603156250017346,-0.014276781328906845,0.014367981969658926,0.9132355582770924,D-post-hoc-diagnostic
replication-set,own-domain,0.1,60,0.01924691616263627,-0.0010289742683317945,0.04318240651880845,-0.01752270780129827,0.10571487873807801,0.4214578802960217,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,143,0.0008923825671085014,-0.013957671295743173,0.015507917745917713,0.0007296042358567885,-0.011035568734354743,0.8959240531726805,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,143,0.010859825375185293,-0.006959951820784674,0.030369669588344115,-0.004389513975236075,-0.006443620042209986,0.9391175758768459,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.1,143,0.0033398018991998993,-0.009837087444113022,0.016142606618430904,-0.006607058753238084,0.010160550656545178,0.9041352103330847,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.01,126,0.008865343740764607,-0.004050256967436393,0.02168532787880842,-0.009629815998431667,-0.012948524200320593,0.8855760460467845,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.05,126,-0.010852307114707185,-0.03478873186977227,0.013323759020940275,-0.005725669184532814,-0.09077119740113497,0.31209392978611206,D-post-hoc-diagnostic
pooled-family-sets,own-domain,0.1,126,0.0016665000956975406,-0.015979320328134317,0.02016551470408114,-0.004523177526480298,-0.03837317576555457,0.6696691012602469,D-post-hoc-diagnostic
