set,population,alpha,stratum,seeds,cells,mean,ci_low,ci_high,equiv,ctkpl_mean,ctkpl_lo,beyond,evidence_class
primary-set,federation-wide,0.01,realloc,10,36,-0.006216273266147439,-0.01814379107233339,0.0018718791867852196,true,0.08186089693922079,0.04855498616413092,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,norealloc,10,34,0.0019864430943706255,-0.010933130260643149,0.009558671622175302,true,0.05400337866677962,0.010461372700349766,false,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,diff(re-no),10,,-0.008202716360518064,-0.02054371259345536,0.01117215738381213,,,,,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,realloc,10,36,-0.007529284924318888,-0.028299831313580246,0.007105367921661436,true,0.15316459375635536,0.10561389446643454,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,norealloc,10,34,0.0031269770378395496,-0.006880144678553125,0.010217539783584587,true,0.1297172615937548,0.09678377011329248,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,diff(re-no),10,,-0.010656261962158436,-0.023585340887821122,0.002533364862109281,,,,,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,realloc,10,36,-0.011125696245330169,-0.02581709652015264,0.012775647762505143,true,0.19657954492711316,0.15695192838613795,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,norealloc,10,34,-0.003066086155465251,-0.012835168516784576,0.008982834019905623,true,0.12292637503661161,0.08164397328502412,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,diff(re-no),10,,-0.008059610089864914,-0.0292805000609579,0.009505117055499682,,,,,D-post-hoc-diagnostic
primary-set,own-domain,0.01,realloc,10,32,-0.01033333313204294,-0.022478560339065333,-0.0031026554499598673,true,0.11229132757466846,0.06044448892583989,true,D-post-hoc-diagnostic
primary-set,own-domain,0.01,norealloc,10,34,-0.005794253706911058,-0.018650164562001983,0.005644270402287252,true,0.04829693852886256,-0.004778314910740739,false,D-post-hoc-diagnostic
primary-set,own-domain,0.01,diff(re-no),10,,-0.004539079425131878,-0.022076638682464803,0.009184779955192266,,,,,D-post-hoc-diagnostic
primary-set,own-domain,0.05,realloc,10,32,-0.04448174723436428,-0.14584526530386815,-0.007500123015337274,false,0.13050040252780185,0.05783865915561186,true,D-post-hoc-diagnostic
primary-set,own-domain,0.05,norealloc,10,34,0.016463973990903224,-0.006184364871759205,0.04599947792916011,false,0.09431100389893521,0.049482227664560716,true,D-post-hoc-diagnostic
primary-set,own-domain,0.05,diff(re-no),10,,-0.060945721225267514,-0.14828414157340725,-0.0174613463998295,,,,,D-post-hoc-diagnostic
