set,population,alpha,contrast,n,mean,median,pos,ci_low,ci_high,gate,evidence_class
primary-set,federation-wide,0.01,placebo_eff,10,-0.0013301773844278195,-0.0017536376385472899,4,-0.008063066527020874,0.0032429550119866335,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,ctk_minus_pl,10,0.0643738865482271,0.05228239258507703,10,0.04041917712253869,0.0957191387559759,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,ctk_mean,10,0.06304370916379928,0.05689021127741853,10,0.04158632998444094,0.08925805859414458,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,ctk_trim,10,0.07004396601734852,0.0626732129561858,10,0.05168294672448054,0.10917233307191751,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,ctk_med,10,0.08049908930025367,0.06696854989144871,10,0.05022721823175909,0.1324207364681,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,trim_minus_mean,10,0.007000256853549247,-0.0012097587043640732,5,-0.008189163992371329,0.027492973779685202,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,med_minus_mean,10,0.017455380136454375,0.009177693962599938,6,0.0015379248902788055,0.04663897728982343,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,placebo_eff,10,-0.0019426252930317502,0.003306471520184309,5,-0.015063810000524981,0.007725977470790639,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,ctk_minus_pl,10,0.1386446866946733,0.1398158593730039,10,0.11332277338312328,0.16625746203537894,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,ctk_mean,10,0.1367020614016416,0.1252755255858954,10,0.11611842197079017,0.16610257912090917,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,ctk_trim,10,0.13598504627743996,0.13487208464008543,10,0.10368644658318725,0.17085070286200404,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,ctk_med,10,0.15591506751826578,0.15378281227265833,10,0.14202846467931945,0.17150124883074666,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,trim_minus_mean,10,-0.0007170151242016108,0.009715229924448508,6,-0.026577240171956465,0.019829384580293687,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,med_minus_mean,10,0.019213006116624208,0.013576444614333053,7,-0.0012043658950789443,0.04061752714089462,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,placebo_eff,10,-0.008341367836074573,-0.013605738816935,2,-0.017082376637200337,0.00519466917528145,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,ctk_minus_pl,10,0.15706662125209928,0.1641609697656274,10,0.13602072336008475,0.17557747675382165,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,ctk_mean,10,0.14872525341602466,0.15198012276691014,10,0.1292975029065851,0.16213849488956183,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,ctk_trim,10,0.15213345294224742,0.15289850070993416,10,0.13867831761882093,0.16586194452748607,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,ctk_med,10,0.16118357040092332,0.15797174687434856,10,0.14291073327914164,0.18229705315052036,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,trim_minus_mean,10,0.003408199526222712,0.005638998648506124,6,-0.011213591269701784,0.01579461539178464,true,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,med_minus_mean,10,0.012458316984898618,0.01956597761670994,7,-0.014715018438300129,0.032771512773535225,true,D-post-hoc-diagnostic
primary-set,own-domain,0.01,placebo_eff,10,-0.008962609417122102,-0.008426647976768323,3,-0.017861287349141518,-0.0018242520353103553,true,D-post-hoc-diagnostic
primary-set,own-domain,0.01,ctk_minus_pl,10,0.07536710453501075,0.052645930454090384,10,0.044718023477797575,0.12037998937373606,true,D-post-hoc-diagnostic
primary-set,own-domain,0.01,ctk_mean,10,0.06640449511788865,0.04697322016767271,10,0.03671903376982282,0.10755640211723824,true,D-post-hoc-diagnostic
primary-set,own-domain,0.01,ctk_trim,10,0.04680306250864354,0.05316118931378201,9,0.02709179087020587,0.06483290041848194,false,D-post-hoc-diagnostic
