set,population,alpha,stratum,cells,ctk_mean,ctk_trim,ctk_med,trim_minus_mean,med_minus_mean,evidence_class
primary-set,federation-wide,0.01,dominant(60-90%),29,0.11602357842044918,0.1143683508442486,0.14651505623283437,-0.001655227576200573,0.03049147781238521,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,single-peer(>=90%),32,0.006306626567639302,0.028375470474133923,0.011536352537126312,0.02206884390649462,0.005229725969487009,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,spread(<60%),9,0.09406264634538514,0.07537559906210026,0.11298181545305742,-0.01868704728328487,0.018919169107672298,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,dominant(60-90%),29,0.19804109076332685,0.19950737077503183,0.20047870538867554,0.0014662800117049607,0.002437614625348698,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,single-peer(>=90%),32,0.0881268705781612,0.08798963298318492,0.13099235452419677,-0.00013723759497628017,0.04286548394603558,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,spread(<60%),9,0.1117658674974748,0.10195235905366197,0.10093521391474634,-0.009813508443812853,-0.01083065358272848,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,dominant(60-90%),29,0.18748058685805113,0.18144482795314248,0.17746095070871737,-0.0060357589049086485,-0.010019636149333754,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,single-peer(>=90%),32,0.12173478662918255,0.13478810329904342,0.15677242316440157,0.013053316669860864,0.035037636535219005,D-post-hoc-diagnostic
primary-set,federation-wide,0.1,spread(<60%),9,0.1198130609004893,0.11935804330519963,0.12441831291677527,-0.00045501759528966527,0.004605252016285989,D-post-hoc-diagnostic
primary-set,own-domain,0.01,dominant(60-90%),25,0.12542262539857688,0.10162316787022802,0.1312376290900249,-0.023799457528348857,0.005815003691448023,D-post-hoc-diagnostic
primary-set,own-domain,0.01,single-peer(>=90%),32,-0.0009035855932372663,0.003067721032182562,-0.01054709803698295,0.003971306625419829,-0.009643512443745682,D-post-hoc-diagnostic
primary-set,own-domain,0.01,spread(<60%),9,0.13540380044506078,0.046616340024066956,0.13880016929529307,-0.08878746042099384,0.0033963688502322933,D-post-hoc-diagnostic
primary-set,own-domain,0.05,dominant(60-90%),25,0.16551010770752594,0.18419269740216707,0.16926165234139037,0.018682589694641122,0.003751544633864452,D-post-hoc-diagnostic
primary-set,own-domain,0.05,single-peer(>=90%),32,0.05008744672375475,0.030493923034668316,0.061340906703206105,-0.019593523689086435,0.011253459979451357,D-post-hoc-diagnostic
primary-set,own-domain,0.05,spread(<60%),9,0.04664432514924549,0.06693481896915109,0.11694054800713818,0.020290493819905595,0.07029622285789269,D-post-hoc-diagnostic
primary-set,own-domain,0.1,dominant(60-90%),25,0.1630689326044662,0.15638607042007802,0.11980390685871015,-0.006682862184388231,-0.04326502574575606,D-post-hoc-diagnostic
primary-set,own-domain,0.1,single-peer(>=90%),32,0.058152648142777846,0.06228265118551203,0.08054591980779553,0.004130003042734191,0.022393271665017686,D-post-hoc-diagnostic
primary-set,own-domain,0.1,spread(<60%),9,0.06880043492946719,0.05551006409088577,0.13913304613019983,-0.013290370838581422,0.07033261120073263,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,dominant(60-90%),22,0.09557972423589743,0.10376760357781319,0.08812930907912281,0.008187879341915743,-0.007450415156774622,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,single-peer(>=90%),46,0.019204138983063664,0.013390628797872211,-0.004851494050911068,-0.005813510185191454,-0.024055633033974733,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,spread(<60%),5,0.13667709583825438,0.12698558497895238,0.11398138962028884,-0.009691510859301988,-0.02269570621796555,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,dominant(60-90%),22,0.1052838014096794,0.10371943359733159,0.10743712690554542,-0.0015643678123478074,0.0021533254958660468,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,single-peer(>=90%),46,0.02486869067593921,0.0039159271837708115,0.09238103388377894,-0.0209527634921684,0.06751234320783973,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,spread(<60%),5,0.08907899759621352,0.0944922217696603,0.09201396966755922,0.005413224173446784,0.0029349720713456985,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,dominant(60-90%),22,0.07516287472527057,0.08047135826820981,0.08218593609548937,0.005308483542939232,0.0070230613702188,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,single-peer(>=90%),46,0.15276128794899443,0.13930019063982776,0.12495472022107752,-0.01346109730916668,-0.027806567727916922,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,spread(<60%),5,0.05442157317482408,0.04979960612692724,0.049068090643941284,-0.004621967047896835,-0.005353482530882791,D-post-hoc-diagnostic
replication-set,own-domain,0.01,dominant(60-90%),17,0.040235412067370274,0.08218554964051954,0.062427768233117735,0.04195013757314926,0.02219235616574746,D-post-hoc-diagnostic
replication-set,own-domain,0.01,single-peer(>=90%),39,0.016995230244390837,0.018390538646283046,0.000391376606698562,0.0013953084018922034,-0.016603853637692276,D-post-hoc-diagnostic
replication-set,own-domain,0.01,spread(<60%),4,-0.005180948529023864,0.028195174705892695,0.027194447863728818,0.03337612323491656,0.03237539639275268,D-post-hoc-diagnostic
replication-set,own-domain,0.05,dominant(60-90%),17,0.07970999638347005,0.08184229439519056,0.051900056352605604,0.002132298011720505,-0.027809940030864448,D-post-hoc-diagnostic
