set,population,alpha,stratum,contrast,seeds,mean,ci_low,ci_high,evidence_class
primary-set,federation-wide,0.01,single>=0.9,ctk_mean,10,0.012706553807022092,-0.00911286980344303,0.0432896150984041,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,single>=0.9,ctk_trim,10,0.03385255240701261,0.015522284148749156,0.0678844496777364,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,single>=0.9,ctk_med,10,0.0000823435095949771,-0.0341914630859743,0.036510491792113346,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,single>=0.9,trim_minus_mean,10,0.02114599859999052,0.004567201293828579,0.04563646912252918,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,single>=0.9,med_minus_mean,10,-0.012624210297427118,-0.06666079307308075,0.021740344373292645,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,multi<0.9,ctk_mean,10,0.10360535306816025,0.0801843733789407,0.12946445287286876,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,multi<0.9,ctk_trim,10,0.09642144733208224,0.07436102533494432,0.12755174983839268,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,multi<0.9,ctk_med,10,0.12681451592786624,0.089892568424913,0.1887061270394861,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,multi<0.9,trim_minus_mean,10,-0.007183905736078007,-0.030731794501595674,0.014545142043464814,D-post-hoc-diagnostic
primary-set,federation-wide,0.01,multi<0.9,med_minus_mean,10,0.023209162859706013,0.0026393771318097238,0.058379177621520756,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,single>=0.9,ctk_mean,10,0.07897789096703957,0.039219027919181984,0.10068069538801325,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,single>=0.9,ctk_trim,10,0.0989690993080989,0.061085648065546644,0.15474931772631512,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,single>=0.9,ctk_med,10,0.11751010779410906,0.08007443595041219,0.15222983651159233,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,single>=0.9,trim_minus_mean,10,0.01999120834105933,-0.032101091889275714,0.11815443781732667,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,single>=0.9,med_minus_mean,10,0.03853221682706949,-0.000025412402003523243,0.06755321601284592,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,multi<0.9,ctk_mean,10,0.16617727961935072,0.13456735760834548,0.19905320097915596,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,multi<0.9,ctk_trim,10,0.1637848540481246,0.13272266735033728,0.2014275498892827,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,multi<0.9,ctk_med,10,0.16748310007640949,0.12852284191822097,0.19672566891181148,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,multi<0.9,trim_minus_mean,10,-0.002392425571226116,-0.015132862000226415,0.004350051872988989,D-post-hoc-diagnostic
primary-set,federation-wide,0.05,multi<0.9,med_minus_mean,10,0.0013058204570587603,-0.014309621042919564,0.01438740160371638,D-post-hoc-diagnostic
