set,population,client,seeds,dose,mean_ctk,ci_low,ci_high,evidence_class
primary-set,federation-wide,anzhi,10,10,0.022664304443114867,0.007492624632660545,0.06248683613157255,D-post-hoc-diagnostic
primary-set,federation-wide,anzhi,10,25,0.04334670192366627,0.02622094108345526,0.08753639863206171,D-post-hoc-diagnostic
primary-set,federation-wide,anzhi,10,50,0.05545483743737721,0.042122971586653804,0.07336430089634495,D-post-hoc-diagnostic
primary-set,federation-wide,anzhi,10,100,0.11800702801437221,0.08668893655510793,0.15865663145345937,D-post-hoc-diagnostic
primary-set,federation-wide,anzhi,10,200,0.1527484693397309,0.1134988524302236,0.19000899880925898,D-post-hoc-diagnostic
primary-set,federation-wide,appchina,8,10,0.04037973715915055,0.017030639063172853,0.10819982483062934,D-post-hoc-diagnostic
primary-set,federation-wide,appchina,8,25,0.04959031363168379,0.013912254387153114,0.13974295570370088,D-post-hoc-diagnostic
primary-set,federation-wide,appchina,8,50,0.06510929183024354,0.02418884826800114,0.16468463372212216,D-post-hoc-diagnostic
primary-set,federation-wide,appchina,8,100,0.09193944662175578,0.03430655853873416,0.189453435819622,D-post-hoc-diagnostic
primary-set,federation-wide,appchina,8,200,0.1150039022261513,0.052386914056343666,0.20574837370489094,D-post-hoc-diagnostic
primary-set,federation-wide,play-early,8,10,0.06368414496985864,0.020576224147422217,0.134408331543106,D-post-hoc-diagnostic
primary-set,federation-wide,play-early,8,25,0.11219055386415584,0.043140463449165486,0.2011378974710672,D-post-hoc-diagnostic
primary-set,federation-wide,play-early,8,50,0.16600649789807465,0.07760230309088216,0.27501857466455554,D-post-hoc-diagnostic
primary-set,federation-wide,play-early,8,100,0.21118444481718374,0.10252698561370382,0.3431942669859915,D-post-hoc-diagnostic
primary-set,federation-wide,play-early,8,200,0.2500908905992529,0.13158242450569196,0.3968913574864616,D-post-hoc-diagnostic
primary-set,federation-wide,play-late,8,10,0.12872786044369555,0.08311948508615474,0.20028615898265292,D-post-hoc-diagnostic
primary-set,federation-wide,play-late,8,25,0.24346119196235086,0.1500866842041497,0.3381651676259634,D-post-hoc-diagnostic
primary-set,federation-wide,play-late,8,50,0.35142147615877406,0.23948893196348991,0.47433274197121056,D-post-hoc-diagnostic
primary-set,federation-wide,play-late,8,100,0.41209875332199164,0.29246975097885686,0.5438757706304618,D-post-hoc-diagnostic
primary-set,federation-wide,play-late,8,200,0.44499525884310254,0.3219317705426426,0.5749826589413827,D-post-hoc-diagnostic
primary-set,own-domain,anzhi,9,10,0.01932562314604215,0.010661503281244994,0.027427933587887456,D-post-hoc-diagnostic
primary-set,own-domain,anzhi,9,25,0.04055526833918645,0.02402826118982402,0.06936806959095795,D-post-hoc-diagnostic
primary-set,own-domain,anzhi,9,50,0.04880058233140974,0.03116864126131913,0.0847078485118162,D-post-hoc-diagnostic
primary-set,own-domain,anzhi,9,100,0.05575432225428166,0.03433503115448032,0.0931628960344695,D-post-hoc-diagnostic
primary-set,own-domain,anzhi,9,200,0.07302794870695534,0.046186457368253,0.11212275193907123,D-post-hoc-diagnostic
primary-set,own-domain,appchina,8,10,0.018035186854169404,-0.0025656898845751955,0.047711253233641816,D-post-hoc-diagnostic
primary-set,own-domain,appchina,8,25,0.018675432105307012,-0.004772440460718095,0.05395304379262868,D-post-hoc-diagnostic
primary-set,own-domain,appchina,8,50,0.028820072767387336,-0.0034537998447941214,0.06700132475831827,D-post-hoc-diagnostic
primary-set,own-domain,appchina,8,100,0.050050156652730854,0.0008056747822409137,0.1256540850633244,D-post-hoc-diagnostic
primary-set,own-domain,appchina,8,200,0.037093072502253216,-0.006579176540239479,0.10373135550220466,D-post-hoc-diagnostic
primary-set,own-domain,play-early,8,10,0.06160192843813228,0.010444977895499655,0.14128770869527849,D-post-hoc-diagnostic
primary-set,own-domain,play-early,8,25,0.11570695129682428,0.040889091088129804,0.21445362110193453,D-post-hoc-diagnostic
primary-set,own-domain,play-early,8,50,0.18353156225208667,0.09440437169054368,0.2942857838987253,D-post-hoc-diagnostic
primary-set,own-domain,play-early,8,100,0.20094052939695023,0.10177797688653932,0.34168365174784276,D-post-hoc-diagnostic
primary-set,own-domain,play-early,8,200,0.21189716650007195,0.08451201708059895,0.3839359372274074,D-post-hoc-diagnostic
primary-set,own-domain,play-late,8,10,0.11154580294367801,0.05013633112819597,0.21498307307206654,D-post-hoc-diagnostic
primary-set,own-domain,play-late,8,25,0.20734595045945514,0.11341893140234818,0.3284262104938146,D-post-hoc-diagnostic
primary-set,own-domain,play-late,8,50,0.3121560627026019,0.20342448149472556,0.42282679505302,D-post-hoc-diagnostic
primary-set,own-domain,play-late,8,100,0.4920539591165577,0.366570372502096,0.6298747048986819,D-post-hoc-diagnostic
primary-set,own-domain,play-late,8,200,0.5952639240781348,0.4262831784582356,0.7049994938379536,D-post-hoc-diagnostic
replication-set,federation-wide,anzhi,10,10,0.01625587588437938,0.005593130767490003,0.03517069841610796,D-post-hoc-diagnostic
replication-set,federation-wide,anzhi,10,25,0.015828691391710132,0.005904539218961443,0.03349571034866753,D-post-hoc-diagnostic
replication-set,federation-wide,anzhi,10,50,0.029673599499500797,0.017101748113695255,0.04895210450857479,D-post-hoc-diagnostic
replication-set,federation-wide,anzhi,10,100,0.0810348622569286,0.040269616527562585,0.1546059660672507,D-post-hoc-diagnostic
replication-set,federation-wide,anzhi,10,200,0.13774345270405958,0.06637605792941347,0.25665267593024177,D-post-hoc-diagnostic
replication-set,federation-wide,appchina,10,10,0.013863424538700644,-0.002907526431694919,0.03646511350425877,D-post-hoc-diagnostic
replication-set,federation-wide,appchina,10,25,0.013523584152081958,-0.002698713647547653,0.03848488712252005,D-post-hoc-diagnostic
replication-set,federation-wide,appchina,10,50,0.02169548657471897,-0.01480217977869664,0.05934000682468993,D-post-hoc-diagnostic
replication-set,federation-wide,appchina,10,100,0.04338821231543431,0.0004752757249173763,0.09106160126062146,D-post-hoc-diagnostic
replication-set,federation-wide,appchina,10,200,0.05135775750421475,0.015382975222435098,0.0890450741491826,D-post-hoc-diagnostic
replication-set,federation-wide,play-early,9,10,0.01670954064188475,-0.004118707349972099,0.036820466967743284,D-post-hoc-diagnostic
replication-set,federation-wide,play-early,9,25,0.039753226584758085,0.017773176227734305,0.07792735978248382,D-post-hoc-diagnostic
replication-set,federation-wide,play-early,9,50,0.06651888327221801,0.03693130952380874,0.09594907559073344,D-post-hoc-diagnostic
replication-set,federation-wide,play-early,9,100,0.09566427731511992,0.0586430348508943,0.12365653435566096,D-post-hoc-diagnostic
replication-set,federation-wide,play-early,9,200,0.12070562183411788,0.07009287357070236,0.14887250366294436,D-post-hoc-diagnostic
replication-set,federation-wide,play-late,6,10,0.020989975204462292,0.005481481090426565,0.0432904677188767,D-post-hoc-diagnostic
replication-set,federation-wide,play-late,6,25,0.05264822221012853,0.020632870469168747,0.14063857306684546,D-post-hoc-diagnostic
replication-set,federation-wide,play-late,6,50,0.08684561286490372,0.03848427066650135,0.16727542425075517,D-post-hoc-diagnostic
replication-set,federation-wide,play-late,6,100,0.10767544167580649,0.05049486843187412,0.21318718217938787,D-post-hoc-diagnostic
replication-set,federation-wide,play-late,6,200,0.13824040475470936,0.08284175610320725,0.24802350784670613,D-post-hoc-diagnostic
replication-set,own-domain,anzhi,10,10,0.010919294764633814,0.0005983644476444231,0.022471481419931487,D-post-hoc-diagnostic
replication-set,own-domain,anzhi,10,25,0.008281220381019536,-0.008337008290419794,0.023817549059072445,D-post-hoc-diagnostic
replication-set,own-domain,anzhi,10,50,0.022974830557633205,0.009907978287669887,0.035316792831543396,D-post-hoc-diagnostic
replication-set,own-domain,anzhi,10,100,0.1039720104109775,0.03664590268990234,0.2240973192663095,D-post-hoc-diagnostic
replication-set,own-domain,anzhi,10,200,0.22367193694923224,0.09618652013427016,0.4990983868941563,D-post-hoc-diagnostic
replication-set,own-domain,appchina,10,10,0.009096462433313295,-0.005914354857625972,0.03167612394201295,D-post-hoc-diagnostic
replication-set,own-domain,appchina,10,25,0.024397616028105217,0.001441663381787782,0.05230244063024566,D-post-hoc-diagnostic
replication-set,own-domain,appchina,10,50,0.046891932795483864,0.01252392739786835,0.09612603146122273,D-post-hoc-diagnostic
replication-set,own-domain,appchina,10,100,0.07547228824071733,0.027370851500731742,0.14686331985201007,D-post-hoc-diagnostic
replication-set,own-domain,appchina,10,200,0.07047961298238951,0.02897052155812118,0.12268151050280594,D-post-hoc-diagnostic
replication-set,own-domain,play-early,8,10,-0.011876192787959663,-0.05956102510503283,0.011596530413240574,D-post-hoc-diagnostic
replication-set,own-domain,play-early,8,25,0.0017419846577497906,-0.04854336043360437,0.03541666666666665,D-post-hoc-diagnostic
