set,learner,population,alpha,role,dose,n,mean_ctk,ci_low,ci_high,positive_seeds,evidence_class
primary-set,fedavg,federation-wide,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,10,10,0.01653046460950456,0.008145079467699467,0.03247225998448891,9,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,25,10,0.0434272048475402,0.027747211347584178,0.06882811481739548,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,50,10,0.07680691488169632,0.05580110074856154,0.10304493839902926,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,100,10,0.10735183368546723,0.0795400028912101,0.13497481310226003,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,200,10,0.13663471938025015,0.10159636187070104,0.16714161334341052,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,natural,10,0.10105862150539499,0.08032008251847228,0.1279135602891062,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,10,10,0.04585640370944796,0.03271217935858567,0.06268199553335316,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,25,10,0.08171365556753232,0.06539666738866158,0.10483270945720725,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,50,10,0.11707997647077135,0.09629304888424275,0.1401673893825555,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,100,10,0.164837282470248,0.1403827139916437,0.18492904284101297,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,200,10,0.200352423326894,0.17516852785978132,0.23812341915294868,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,natural,10,0.14311199465070581,0.11908573813049717,0.16457200336346406,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,10,10,0.05015596238556027,0.0354594531557265,0.07456183010290482,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,25,10,0.09561851594738793,0.07700659439162884,0.11879376637606662,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,50,10,0.12705261443918353,0.10423305513152145,0.14721072255372883,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,100,10,0.17501643724090749,0.14845981306706757,0.19845048308380586,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,200,10,0.21504806836301188,0.18181641918495264,0.24517274398325367,10,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,natural,10,0.15655941746245106,0.1281407213542431,0.18090222300005687,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,10,10,0.025988305663160054,0.012965344898882705,0.04257347529477163,9,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,25,10,0.05711695558877232,0.03705528308204115,0.08030368810826262,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,50,10,0.09087833815814252,0.06695609077631716,0.11133197715175022,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,100,10,0.14035749989372112,0.10676127457734189,0.18022168872519945,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,200,10,0.16577527204931614,0.13135544424501194,0.22424001825733106,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,natural,10,0.1192499980883978,0.08826435294868791,0.15007425658191823,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,10,10,0.04039793545876004,0.02549738124851327,0.05844424619012138,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,25,10,0.07091161552055042,0.04826870296021332,0.08966601594028333,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,50,10,0.1042990557516142,0.08213634790312681,0.12367294428432402,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,100,10,0.14481717043662917,0.11597816931945457,0.16331785777410382,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,200,10,0.16930811636661747,0.137201740050368,0.1885216015229628,10,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,natural,10,0.1018920927217131,0.0699029059335877,0.1281087412763912,10,D-post-hoc-diagnostic
