set,population,family,dose,seeds,mean_ctk,ci_low,ci_high,evidence_class
primary-set,federation-wide,adwo,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,federation-wide,adwo,10,10,0.0008371176220747789,-0.015318117801454874,0.020897926105961674,D-post-hoc-diagnostic
primary-set,federation-wide,adwo,100,10,0.07142843811104822,0.051469255560323376,0.08933663840794834,D-post-hoc-diagnostic
primary-set,federation-wide,adwo,200,10,0.11014735757699667,0.07282725878010171,0.152633143952898,D-post-hoc-diagnostic
primary-set,federation-wide,adwo,25,10,0.021453889540070836,0.006015618399471097,0.03620017456084045,D-post-hoc-diagnostic
primary-set,federation-wide,adwo,50,10,0.04169258367399843,0.020041482336182796,0.05833771137623572,D-post-hoc-diagnostic
primary-set,federation-wide,adwo,natural,10,0.08671466690827345,0.05265862661841736,0.11590045865704621,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,10,10,0.019304095136294268,0.009491998874547264,0.031968144218123024,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,100,10,0.11728985286060581,0.09449512345055597,0.14916084486972472,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,200,10,0.15205214984635082,0.1257944634548714,0.18486905030533846,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,25,10,0.037041232769183544,0.03033250514786872,0.04596831568728243,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,50,10,0.07561538333997522,0.06032188671216167,0.10999437461802763,D-post-hoc-diagnostic
primary-set,federation-wide,airpush,natural,10,0.15280424608532814,0.13609321564499582,0.1938761800570727,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,10,10,0.0018977677760511403,-0.006580734098129367,0.011246684007048573,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,100,10,-0.0024299127679212494,-0.028896166743617807,0.023447841192171876,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,200,10,-0.008725875734433175,-0.035984471256552596,0.019185646997239264,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,25,10,-0.0014956296996141648,-0.023396527822269135,0.00836570453043718,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,50,10,-0.00008746726487334211,-0.020912640816152808,0.017238266019500535,D-post-hoc-diagnostic
primary-set,federation-wide,dowgin,natural,10,-0.01267511936315523,-0.03226503615534994,0.011568529447539666,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,10,10,0.015531863179035732,0.004484320374721152,0.03369536808465589,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,100,10,0.0387318133161087,0.029099146178023384,0.050230597337625034,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,200,10,0.062245166281420614,0.03582046863127982,0.08238944576858769,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,25,10,0.019638962083036955,0.007441538401685023,0.0362049414942887,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,50,10,0.025253185639634374,0.014706508481796762,0.04123874958685893,D-post-hoc-diagnostic
primary-set,federation-wide,gappusin,natural,10,0.05972571978558303,0.03114960862485281,0.09425755095764074,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,0,10,0.0,,,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,10,10,0.029926849717727744,0.011760189736246918,0.06709593752740026,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,100,10,0.14927278962289897,0.10146421945509368,0.2717589312275384,D-post-hoc-diagnostic
primary-set,federation-wide,hiddad,200,10,0.19321232222491683,0.14052157759055897,0.33109759178974835,D-post-hoc-diagnostic
