set,population,family,seeds,ctk10,ctk25,ctk50,ctk100,ctk200,ctk_top_ci_low,ctk_top_ci_high,natural_ctk,onset_mean,onset_ci,response_class,evidence_class,local_recall,full_recall,confirmatory_ctk,novelty_fl,novelty_dose_runs
primary-set,federation-wide,adwo,10,0.0008371176220747789,0.021453889540070836,0.04169258367399843,0.07142843811104822,0.11014735757699667,0.07282725878010171,0.152633143952898,0.08671466690827345,50,25,late(50-200),D-post-hoc-diagnostic,0.6705764866003978,0.6956617752744149,0.10111359357579727,2.0631458838286605,1.8654624726333537
primary-set,federation-wide,airpush,10,0.019304095136294268,0.037041232769183544,0.07561538333997522,0.11728985286060581,0.15205214984635082,0.1257944634548714,0.18486905030533846,0.15280424608532814,25,10,early(<=25),D-post-hoc-diagnostic,0.6687575746696975,0.8550146619363173,0.08412510690178553,2.5482840362252213,2.603613747578473
primary-set,federation-wide,dowgin,10,0.0018977677760511403,-0.0014956296996141648,-0.00008746726487334211,-0.0024299127679212494,-0.008725875734433175,-0.035984471256552596,0.019185646997239264,-0.01267511936315523,,,nonresponsive,D-post-hoc-diagnostic,0.6581931303677816,0.761818585154667,0.0031534969522572843,1.88928102476,1.6228890408979395
primary-set,federation-wide,gappusin,10,0.015531863179035732,0.019638962083036955,0.025253185639634374,0.0387318133161087,0.062245166281420614,0.03582046863127982,0.08238944576858769,0.05972571978558303,100,10,late(50-200),D-post-hoc-diagnostic,0.3205176965951385,0.35878424298051753,0.028790209397913703,1.590757471258689,1.5008083520989597
primary-set,federation-wide,hiddad,10,0.029926849717727744,0.050849173293886905,0.06150455019598546,0.14927278962289897,0.19321232222491683,0.14052157759055897,0.33109759178974835,0.026495214779321596,25,10,early(<=25),D-post-hoc-diagnostic,0.29777874331702675,0.31935426972207903,0.0292301117035615,4.189897997223157,4.944354258920096
primary-set,federation-wide,leadbolt,10,0.10176163820819442,0.17507488933341853,0.24369093796148616,0.3228306319889106,0.3877951388993016,0.34595767715328823,0.4459582265758351,0.3053294145884703,10,10,early(<=25),D-post-hoc-diagnostic,0.3042107840395382,0.6452579664889423,0.2765368777414715,2.7129486906531946,2.5641189761583196
primary-set,federation-wide,revmob,10,0.15173549432675768,0.2694330716527437,0.3718906617491933,0.45673736416008504,0.5057407041937049,0.3737471203530581,0.6097979040979626,0.38338981977111936,10,10,early(<=25),D-post-hoc-diagnostic,0.2597512004745667,0.5574376074356527,0.34265171650613085,3.319853285343657,3.296251723034351
replication-set,federation-wide,dnotua,10,0.021257587166823907,-0.003090402939685927,-0.02452626308583452,-0.02362196791530083,0.02564236028138738,-0.00189608745702852,0.10515160407425879,0.07128885975359403,,,nonresponsive,D-post-hoc-diagnostic,0.5910279083060355,0.5430228205201051,0.0073332664786372485,2.419425397719887,2.937460549944849
replication-set,federation-wide,domob,10,0.030684269686745192,0.08286225257952158,0.11827772295236319,0.15285950232823198,0.1945556531928188,0.14273197742806706,0.25731164749466784,0.11705248118258382,10,10,early(<=25),D-post-hoc-diagnostic,0.5505912038003664,0.5856714128555771,0.12807802931296036,1.9483153647151088,1.8108557050944731
replication-set,federation-wide,inmobi,10,0.05057698489008947,0.08051776769374627,0.126151685855451,0.15247670041380715,0.21081007300246096,0.12759386308703852,0.3155821668610211,0.20473171215433278,10,10,early(<=25),D-post-hoc-diagnostic,0.497737322095675,0.8956622566436991,0.1661434561868355,5.429826268613129,5.823558239410739
replication-set,federation-wide,kuguo,10,0.004159278493147728,-0.009929586599488333,-0.014929854089063499,-0.01447520694342191,-0.013335998666755916,-0.055197849078482894,0.02933830438230051,0.028453247604564476,,,nonresponsive,D-post-hoc-diagnostic,0.5798519341145998,0.6080207249145912,0.02704597136908938,1.7011989592555143,1.5658350825158425
replication-set,federation-wide,smsreg,10,0.005303669953610768,0.001247186378957893,0.022004023244630147,0.030428860196488994,0.0671197766257399,0.045450755126279704,0.08166350314856466,0.06232320260005354,100,50,late(50-200),D-post-hoc-diagnostic,0.5620403379451778,0.6827244388336529,0.04894348464006031,2.8506119287438962,2.143476517358532
replication-set,federation-wide,utchi,9,0.020818019210036266,0.02231952071153777,0.05025394009332557,0.3173147707286576,0.31256563226250894,0.10890398178521599,0.6107217344922725,0.09757719873048523,50,25,late(50-200),D-post-hoc-diagnostic,0.008383844986024748,0.22126024878708606,0.11599508096421467,3.097476337956543,3.1906860354059656
replication-set,federation-wide,youmi,10,0.0021474177344725023,0.014199678024385176,0.03115159344407405,0.04651885289864185,0.07865897807613997,0.03690793524730388,0.12771642776163805,0.06025558263984594,50,50,late(50-200),D-post-hoc-diagnostic,0.34619755987116396,0.35406062984769354,0.05895756201758836,1.5419646522965145,1.4867856739271725
replication-set,federation-wide,zdtad,8,-0.006055011547845296,-0.01692333285066016,-0.01976374599573126,-0.027514880433802014,-0.0190364534227426,-0.0416643218700914,0.010386859600619566,0.00531993647134163,,,nonresponsive,D-post-hoc-diagnostic,0.775727465016983,0.6742709614422719,-0.019049802236100772,2.0145477351709147,1.9508927187668736
primary-set,own-domain,adwo,10,0.017257921402876845,0.030639441431461932,0.05453718027480544,0.0687296486066034,0.09052066618618235,0.05963948595619013,0.12284086870307362,0.07919950493648391,25,25,early(<=25),D-post-hoc-diagnostic,0.6705764866003978,0.6956617752744149,0.10111359357579727,2.0631458838286605,1.8654624726333537
primary-set,own-domain,airpush,10,0.023632861709063608,0.027430504781525332,0.04662461832098532,0.11283566577161326,0.12406380963931984,0.043518974473287515,0.34937127707195537,0.07508208500843268,50,10,late(50-200),D-post-hoc-diagnostic,0.6687575746696975,0.8550146619363173,0.08412510690178553,2.5482840362252213,2.603613747578473
primary-set,own-domain,dowgin,10,-0.0016971426205638963,-0.006454300345959058,-0.01796974449010086,-0.016744323044828657,-0.036084755503947546,-0.09137516938317493,0.006924038872081535,-0.0294614106712822,,,nonresponsive,D-post-hoc-diagnostic,0.6581931303677816,0.761818585154667,0.0031534969522572843,1.88928102476,1.6228890408979395
primary-set,own-domain,gappusin,10,0.018202141381888165,0.03021130271598413,0.03691008736472349,0.027027783195115708,0.038643254684505045,0.01859391803124099,0.06304587099761155,0.039738363006205146,25,10,early(<=25),D-post-hoc-diagnostic,0.3205176965951385,0.35878424298051753,0.028790209397913703,1.590757471258689,1.5008083520989597
primary-set,own-domain,hiddad,5,0.01378510378510378,0.017362637362637368,0.055396825396825375,0.039865689865689856,0.03902930402930401,-0.05865079365079366,0.1335164835164835,-0.02964590964590964,50,50,nonresponsive,D-post-hoc-diagnostic,0.29777874331702675,0.31935426972207903,0.0292301117035615,4.189897997223157,4.944354258920096
primary-set,own-domain,leadbolt,9,0.1227157141020817,0.2513959289556842,0.31917135005022057,0.3679165567836479,0.4944259185370036,0.3611147269922182,0.6148570135773561,0.3279777604751755,10,10,early(<=25),D-post-hoc-diagnostic,0.3042107840395382,0.6452579664889423,0.2765368777414715,2.7129486906531946,2.5641189761583196
primary-set,own-domain,revmob,9,0.08842871333292789,0.15789241622574954,0.25710890145756043,0.41021001844756627,0.4360680330028989,0.267099396276972,0.6158730158730159,0.23127115895315128,10,10,early(<=25),D-post-hoc-diagnostic,0.2597512004745667,0.5574376074356527,0.34265171650613085,3.319853285343657,3.296251723034351
replication-set,own-domain,dnotua,2,-0.02083333333333337,-0.02083333333333337,-0.02083333333333337,-0.02083333333333337,-0.02083333333333337,,,-0.02083333333333337,,,nonresponsive,D-post-hoc-diagnostic,0.5910279083060355,0.5430228205201051,0.0073332664786372485,2.419425397719887,2.937460549944849
