set,learner,population,alpha,role,segment,n,increment,ci_low,ci_high,per10,per10_low,per10_high,evidence_class
primary-set,fedavg,federation-wide,0.01,secondary,0->10,10,0.01653046460950456,0.008145079467699467,0.03247225998448891,0.01653046460950456,0.008145079467699467,0.03247225998448891,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,10->25,10,0.026896740238035642,0.01632180839780812,0.03949118303898919,0.017931160158690427,0.010881205598538746,0.026327455359326127,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,25->50,10,0.03337971003415613,0.02199551437823374,0.0550973409261508,0.013351884013662453,0.008798205751293496,0.02203893637046032,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,50->100,10,0.030544918803770894,0.022018943054986917,0.04117106384017156,0.006108983760754179,0.004403788610997383,0.008234212768034313,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.01,secondary,100->200,10,0.029282885694782945,0.019124443386675134,0.04202968399551672,0.0029282885694782946,0.0019124443386675134,0.004202968399551673,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,0->10,10,0.04585640370944796,0.03271217935858567,0.06268199553335316,0.04585640370944796,0.03271217935858567,0.06268199553335316,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,10->25,10,0.035857251858084374,0.024683895781839122,0.05588924891804733,0.02390483457205625,0.01645593052122608,0.03725949927869822,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,25->50,10,0.03536632090323903,0.025146440554234494,0.05460922368127402,0.014146528361295613,0.010058576221693798,0.02184368947250961,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,50->100,10,0.04775730599947665,0.03856973974012615,0.061797964839011364,0.00955146119989533,0.00771394794802523,0.012359592967802273,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.05,PRIMARY,100->200,10,0.03551514085664602,0.0199888228859241,0.059310815031187424,0.003551514085664602,0.0019988822885924104,0.005931081503118742,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,0->10,10,0.05015596238556027,0.0354594531557265,0.07456183010290482,0.05015596238556027,0.0354594531557265,0.07456183010290482,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,10->25,10,0.045462553561827664,0.03243697252523021,0.06587294611356856,0.03030836904121844,0.021624648350153472,0.043915297409045706,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,25->50,10,0.0314340984917956,0.01876639873989576,0.04979178935083654,0.01257363939671824,0.007506559495958304,0.019916715740334618,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,50->100,10,0.04796382280172395,0.03446483237846353,0.07328784569573739,0.00959276456034479,0.006892966475692707,0.014657569139147479,D-post-hoc-diagnostic
primary-set,fedavg,federation-wide,0.1,secondary,100->200,10,0.04003163112210439,0.030929386335578554,0.05830098014188512,0.0040031631122104385,0.0030929386335578554,0.005830098014188512,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,0->10,10,0.025988305663160054,0.012965344898882705,0.04257347529477163,0.025988305663160054,0.012965344898882705,0.04257347529477163,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,10->25,10,0.031128649925612272,0.021129263838867332,0.042308984957173626,0.020752433283741514,0.01408617589257822,0.02820598997144908,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,25->50,10,0.03376138256937018,0.022084803930619117,0.05007627597080175,0.013504553027748074,0.008833921572247647,0.0200305103883207,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,50->100,10,0.04947916173557864,0.03179416918268407,0.09101144152925068,0.009895832347115729,0.006358833836536815,0.018202288305850137,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.01,secondary,100->200,10,0.025417772155594966,0.012929269572378098,0.04346593076361854,0.0025417772155594967,0.0012929269572378099,0.0043465930763618545,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,0->10,10,0.04039793545876004,0.02549738124851327,0.05844424619012138,0.04039793545876004,0.02549738124851327,0.05844424619012138,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,10->25,10,0.03051368006179036,0.015024492678635912,0.04830516662631504,0.020342453374526906,0.01001632845242394,0.03220344441754336,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,25->50,10,0.033387440231063804,0.027224190665488934,0.040010377103993584,0.013354976092425523,0.010889676266195573,0.016004150841597436,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,50->100,10,0.04051811468501497,0.02285775760836522,0.0633064023017611,0.008103622937002994,0.004571551521673044,0.01266128046035222,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.05,secondary,100->200,10,0.024490945929988305,0.005987322849115269,0.051435643471446406,0.0024490945929988308,0.0005987322849115269,0.005143564347144641,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.1,secondary,0->10,10,0.03185703628118774,0.014225870423214566,0.05489028928900412,0.03185703628118774,0.014225870423214566,0.05489028928900412,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.1,secondary,10->25,10,0.03214840601706079,0.018501319933733038,0.049609163746990065,0.021432270678040523,0.012334213289155358,0.03307277583132671,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.1,secondary,25->50,10,0.01975492117194122,0.010195165912660337,0.03201740472085535,0.007901968468776489,0.004078066365064135,0.01280696188834214,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.1,secondary,50->100,10,0.05333963536122003,0.02970190180243179,0.09846185557156276,0.010667927072244007,0.005940380360486358,0.019692371114312553,D-post-hoc-diagnostic
primary-set,fedavg,own-domain,0.1,secondary,100->200,10,0.023206543354936014,0.010340823064569675,0.03156633039391513,0.0023206543354936013,0.0010340823064569676,0.0031566330393915133,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.01,secondary,0->10,10,0.04512526849464326,0.016221308445380056,0.06571633342841783,0.04512526849464326,0.016221308445380056,0.06571633342841783,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.01,secondary,10->25,10,0.022446401850978227,0.00719137981844522,0.04937379634770512,0.01496426790065215,0.004794253212296813,0.03291586423180341,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.01,secondary,25->50,10,0.035390866851444255,0.02233260932598003,0.057417911018019435,0.014156346740577704,0.008933043730392012,0.022967164407207776,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.01,secondary,50->100,10,0.03679790868788674,0.020711887283861547,0.055950874041689254,0.007359581737577348,0.004142377456772309,0.011190174808337852,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.01,secondary,100->200,10,0.02987608159509077,0.016179835651380148,0.043338268593452675,0.002987608159509077,0.0016179835651380149,0.0043338268593452675,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,0->10,10,0.054437948247804346,0.03741614875886295,0.07096094607548381,0.054437948247804346,0.03741614875886295,0.07096094607548381,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,10->25,10,0.0440264625713397,0.019647377197592693,0.07755877260554284,0.029350975047559798,0.013098251465061795,0.05170584840369522,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,25->50,10,0.0411400770359461,0.020693091658914878,0.05521892606866345,0.01645603081437844,0.00827723666356595,0.022087570427465383,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,50->100,10,0.05657046488028934,0.03666603517163004,0.08350857949159138,0.01131409297605787,0.007333207034326009,0.016701715898318276,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,100->200,10,0.02040246347468143,-0.00833740468996063,0.044355589227301116,0.002040246347468143,-0.000833740468996063,0.004435558922730112,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,0->10,10,0.05568843169780309,0.03355641146021032,0.07170126753106539,0.05568843169780309,0.03355641146021032,0.07170126753106539,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,10->25,10,0.05700710727144552,0.028622532257257596,0.09089246870257728,0.03800473818096368,0.019081688171505063,0.06059497913505152,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,25->50,10,0.0358199136345466,0.019179165031583633,0.05200367857901028,0.01432796545381864,0.007671666012633454,0.020801471431604115,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,50->100,10,0.043825751750580386,0.03083446944414828,0.05401786342047114,0.008765150350116078,0.006166893888829656,0.01080357268409423,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,100->200,10,0.03461602692192375,0.020450166195136933,0.04888182473315281,0.003461602692192375,0.0020450166195136936,0.004888182473315281,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,0->10,10,0.05127328434865709,0.017281025206227034,0.10727598024616965,0.05127328434865709,0.017281025206227034,0.10727598024616965,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,10->25,10,0.012857237414965458,-0.008547030067764357,0.038794452421156506,0.008571491609976972,-0.005698020045176238,0.025862968280771004,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,25->50,10,0.050807561043598,0.013692999521859157,0.0850598704894401,0.020323024417439203,0.0054771998087436635,0.03402394819577604,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,50->100,10,0.04440351250518944,0.019649511155242216,0.07583986828685954,0.008880702501037887,0.003929902231048443,0.015167973657371908,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,100->200,10,0.024092203879807716,-0.018206106090742104,0.05485227402101629,0.0024092203879807718,-0.0018206106090742106,0.005485227402101629,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,0->10,10,0.04589336320084075,0.030150842102473048,0.08057244598457938,0.04589336320084075,0.030150842102473048,0.08057244598457938,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,10->25,10,0.025581432390822834,-0.010285737141239593,0.054535266963473925,0.017054288260548556,-0.006857158094159728,0.03635684464231595,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,25->50,10,0.04194281741536817,0.00766462285098269,0.06687955372018746,0.01677712696614727,0.0030658491403930763,0.026751821488074985,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,50->100,10,0.03727118716202135,0.011394691285580252,0.05985700557052798,0.007454237432404271,0.0022789382571160506,0.011971401114105596,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,100->200,10,0.028392778670985275,0.010663225971421306,0.05442648418890491,0.002839277867098528,0.0010663225971421306,0.005442648418890491,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,0->10,10,0.05027069188016181,0.02176673455063721,0.08619841464645783,0.05027069188016181,0.02176673455063721,0.08619841464645783,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,10->25,10,0.03870696777099532,0.014682943996629989,0.061153126686238506,0.025804645180663544,0.009788629331086658,0.040768751124159,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,25->50,10,0.035749012386954236,0.0017961154476277437,0.07143449060396925,0.014299604954781695,0.0007184461790510975,0.028573796241587703,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,50->100,10,0.022800282871084383,0.004968720633473477,0.04755762529982471,0.004560056574216877,0.0009937441266946955,0.009511525059964943,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,100->200,10,0.018189787878334293,0.0006370537166759031,0.041026262072161035,0.0018189787878334293,0.00006370537166759031,0.0041026262072161035,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,0->10,10,0.005541573879543939,0.0016545602472527372,0.008523874831515663,0.005541573879543939,0.0016545602472527372,0.008523874831515663,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,10->25,10,0.010314429793804081,0.006973382051222675,0.012879572604382878,0.00687628652920272,0.004648921367481783,0.008586381736255252,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,25->50,10,0.004958462332702562,0.001122422396360637,0.00856735616806285,0.0019833849330810247,0.00044896895854425477,0.00342694246722514,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,50->100,10,0.011270489139875824,0.003311437268699289,0.021912558975729773,0.002254097827975165,0.0006622874537398579,0.004382511795145955,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,100->200,10,0.014071740968285456,0.007912653494605001,0.024905295459776912,0.0014071740968285458,0.0007912653494605002,0.0024905295459776914,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,0->10,10,0.016973962755151794,0.007795909951918983,0.027747134711787642,0.016973962755151794,0.007795909951918983,0.027747134711787642,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,10->25,10,0.005189402979579603,-0.010426776379112813,0.01392020917170543,0.003459601986386402,-0.006951184252741875,0.00928013944780362,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,25->50,10,0.014390625672112706,0.002139235515233204,0.02459457345168437,0.0057562502688450826,0.0008556942060932816,0.009837829380673749,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,50->100,10,0.04107411015528591,0.0183050538462573,0.07057986160288762,0.008214822031057183,0.00366101076925146,0.014115972320577526,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,100->200,10,0.028685713938187002,0.009219822433567736,0.05649287184771169,0.0028685713938187,0.0009219822433567737,0.00564928718477117,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,0->10,10,0.054867091482704286,0.023509441187019746,0.09133944015794115,0.054867091482704286,0.023509441187019746,0.09133944015794115,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,10->25,10,0.010263080779246921,-0.009014094357628687,0.027684770593031073,0.00684205385283128,-0.006009396238419125,0.018456513728687382,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,25->50,10,0.024880162468422624,0.009094608816166375,0.052131729134722055,0.009952064987369051,0.00363784352646655,0.020852691653888825,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,50->100,10,0.035125543018656086,0.01198098856904541,0.08004393390464212,0.007025108603731217,0.0023961977138090822,0.016008786780928427,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.1,secondary,100->200,10,0.01301741777690767,-0.020116859771418583,0.027867531161131078,0.0013017417776907672,-0.0020116859771418583,0.002786753116113108,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,0->10,10,0.004755858237113574,-0.0029324026001485513,0.012745867858578251,0.004755858237113574,-0.0029324026001485513,0.012745867858578251,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,10->25,10,0.005438234075567419,0.0004230533222239332,0.012443583938868144,0.0036254893837116124,0.0002820355481492888,0.008295722625912095,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,25->50,10,-0.0013956650485141512,-0.009661539013595394,0.00983295894324026,-0.0005582660194056605,-0.003864615605438158,0.003933183577296104,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,50->100,10,0.017483232395770664,0.009887078855958242,0.025832476493396428,0.003496646479154133,0.0019774157711916485,0.005166495298679286,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.01,secondary,100->200,10,0.008690094739644253,0.00035996565666748494,0.02475443247860695,0.0008690094739644253,0.000035996565666748494,0.002475443247860695,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,0->10,10,0.012342620605001632,0.0015727064763325952,0.021569069285644712,0.012342620605001632,0.0015727064763325952,0.021569069285644712,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,10->25,10,0.005068845788426058,-0.013857480580813267,0.019829554863143712,0.0033792305256173717,-0.009238320387208844,0.013219703242095808,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,25->50,10,0.021753530594606905,0.0065945351234752685,0.03745265144757248,0.008701412237842763,0.0026378140493901075,0.014981060579028994,D-post-hoc-diagnostic
replication-set,fedavg,own-domain,0.05,secondary,50->100,10,0.06090795603587418,0.020073055831290404,0.11875401239047614,0.012181591207174837,0.004014611166258081,0.02375080247809523,D-post-hoc-diagnostic
