family,unstable,novelty,ctk,ctk_sd,seed_count,rank_novelty,rank_ctk,rank_product,loo_rho,influence,influence_rank,leverage,cook_like,eligible_seeds,measured_seeds,pairs,clients,total_trials,mean_trials,evidence_class
inmobi,false,6.061382409421004,0.1657711510822196,0.04120953175119364,10,32.0,29.0,193.75,0.3403225806451613,0.051539589442815226,1,0.6222596172418712,0.11615561682976511,10,10,10,"appchina,play-late",4824,482.4,D-post-hoc-diagnostic
feiwo,true,1.609450193647335,-0.0372175542876515,0.09223025054167883,8,3.0,2.0,195.75,0.3487903225806452,0.04307184750733134,2,0.6191128986299672,0.08112324365076028,8,8,8,appchina,1654,206.75,D-post-hoc-diagnostic
anydown,true,2.6048588521005778,0.1536201235072737,0.12773531203072142,6,24.0,28.0,86.25,0.3641129032258065,0.027749266862170052,3,0.42904781930456193,0.033671412331968846,6,6,6,play-late,910,151.66666666666666,D-post-hoc-diagnostic
revmob,false,3.083869284940873,0.2845868555724275,0.131743662192789,10,25.0,32.0,131.75,0.36653225806451617,0.025329912023460355,4,0.5524271728019903,0.028055994568842776,10,10,10,"appchina,play-late",6298,629.8,D-post-hoc-diagnostic
utchi,true,3.1937605805164937,0.1740681704413943,0.2985067057385665,8,26.0,30.0,128.25,0.36774193548387096,0.02412023460410556,5,0.5158616881005993,0.025440249208878444,8,8,8,"anzhi,appchina",3482,435.25,D-post-hoc-diagnostic
leadbolt,false,2.548219130907952,0.24048741830231912,0.06198963398726456,10,22.0,31.0,79.75,0.3705645161290323,0.02129765395894423,6,0.4846269506022132,0.019834526573105804,10,10,10,"anzhi,appchina,play-early,play-late",7991,799.1,D-post-hoc-diagnostic
igexin,false,2.3747388885525162,0.14496411277475657,0.09038933989361189,10,19.0,27.0,26.25,0.37580645161290327,0.016055718475073255,7,0.33729739288942034,0.01127243643635047,10,10,10,"anzhi,appchina,play-early",1602,160.2,D-post-hoc-diagnostic
wooboo,false,1.844845989625338,0.0009646757749334045,0.03480252178299994,10,8.0,6.0,89.25,0.3774193548387097,0.014442815249266827,8,0.42216425269082175,0.009121410847528752,10,10,10,anzhi,2173,217.3,D-post-hoc-diagnostic
kyview,false,1.8099823374531823,0.0036162144981627233,0.06730270837838391,10,7.0,7.0,90.25,0.3774193548387097,0.014442815249266827,9,0.4198446513295126,0.009121410847528752,10,10,10,"anzhi,appchina,play-early",1496,149.6,D-post-hoc-diagnostic
youmi,false,1.533335415019837,0.026799457637744127,0.048525622328755014,10,1.0,11.0,85.25,0.3774193548387097,0.014442815249266827,10,0.5139651313562039,0.009121410847528752,10,10,10,"anzhi,appchina,play-early",7001,700.1,D-post-hoc-diagnostic
airpush,false,2.5540352875937486,0.1039587534486927,0.059280742899794986,10,23.0,24.0,48.75,0.3778225806451614,0.014039589442815137,11,0.3101473943949876,0.00861920325061925,10,10,10,"anzhi,appchina,play-early,play-late",26066,2606.6,D-post-hoc-diagnostic
ginmaster,false,1.640884849967415,0.024339974112179884,0.03087328300852159,10,4.0,10.0,81.25,0.3798387096774194,0.01202346041055713,12,0.44028133761266786,0.006321458067848495,10,10,10,"anzhi,appchina",1409,140.9,D-post-hoc-diagnostic
admogo,false,1.8601673280083877,0.03023236085499399,0.0381383468680858,10,10.0,12.0,29.25,0.38024193548387103,0.011620234604105495,13,0.24705294220065463,0.005904567591649547,10,10,10,"anzhi,appchina,play-early",2065,206.5,D-post-hoc-diagnostic
utilcode,false,5.13401245218008,0.07768025711297302,0.0600322557184234,10,31.0,22.0,79.75,0.38024193548387103,0.011620234604105495,14,0.4846269506022132,0.005904567591649547,10,10,10,"anzhi,appchina,play-late",1029,102.9,D-post-hoc-diagnostic
umpay,true,1.906638566024467,-0.0077868852459016535,0.08172299684205181,2,12.0,4.0,56.25,0.3834677419354839,0.008394428152492639,15,0.4151665704870757,0.003081346506321048,2,2,2,anzhi,141,70.5,D-post-hoc-diagnostic
baiduprotect,false,1.9972334171440214,-0.04415096624386119,0.05056326083316464,10,13.0,1.0,54.25,0.38508064516129037,0.0067815249266861555,16,0.4965702681897095,0.002011004446498669,10,10,10,"anzhi,appchina,play-early",1645,164.5,D-post-hoc-diagnostic
