statistic,seed,n,value,ci_low,ci_high,evidence_class
rho-all-families,,32,0.3918621700879765,0.06006865793033296,0.6468705697316444,D-post-hoc-diagnostic
rho-stable-families,,27,0.27350427350427353,-0.10967087592223657,0.5829046273527019,D-post-hoc-diagnostic
jackknife-se,,32,0.15122404375637574,,,D-post-hoc-diagnostic
jackknife-bias-corrected-rho,,32,0.40443319281524737,,,D-post-hoc-diagnostic
leave-one-out-rho-min,,32,0.3403225806451613,,,D-post-hoc-diagnostic
leave-one-out-rho-median,,32,0.3852822580645162,,,D-post-hoc-diagnostic
leave-one-out-rho-max,,32,0.4629032258064517,,,D-post-hoc-diagnostic
weighted-rho-seed-count,,32,0.3623265488851322,,,D-post-hoc-diagnostic
weighted-rho-sqrt-total-trials,,32,0.4352709955090897,,,D-post-hoc-diagnostic
weighted-rho-inverse-variance,,32,0.3623265488851322,,,D-post-hoc-diagnostic
per-seed-rho,300,29,0.4320729186610115,,,D-post-hoc-diagnostic
per-seed-rho,301,31,0.372013309683694,,,D-post-hoc-diagnostic
per-seed-rho,302,30,0.21690767519466073,,,D-post-hoc-diagnostic
per-seed-rho,303,29,0.08671018664120642,,,D-post-hoc-diagnostic
per-seed-rho,304,30,0.26896551724137935,,,D-post-hoc-diagnostic
per-seed-rho,305,31,0.13225806451612906,,,D-post-hoc-diagnostic
per-seed-rho,306,31,0.3127646766555869,,,D-post-hoc-diagnostic
per-seed-rho,307,29,-0.06059113300492609,,,D-post-hoc-diagnostic
per-seed-rho,308,29,0.22216748768472902,,,D-post-hoc-diagnostic
per-seed-rho,309,32,0.20315366235737592,,,D-post-hoc-diagnostic
seed-pair-rank-rho-min,,45,0.1678096142986013,,,D-post-hoc-diagnostic
seed-pair-rank-rho-median,,45,0.5416358709041637,,,D-post-hoc-diagnostic
seed-pair-rank-rho-mean,,45,0.5097339122263267,,,D-post-hoc-diagnostic
seed-pair-rank-rho-max,,45,0.7849593996731806,,,D-post-hoc-diagnostic
seed-pair-negative-count,,45,0.0,,,D-post-hoc-diagnostic
kendall-w,,27,0.5796611721611722,,,D-post-hoc-diagnostic
kendall-implied-mean-rho,,27,0.532956857956858,,,D-post-hoc-diagnostic
kendall-chi2,,27,150.71190476190478,,,D-post-hoc-diagnostic
kendall-p,,27,1.5576828562816192e-19,,,D-post-hoc-diagnostic
variance-between-families,,32,0.005818840864885347,,,D-post-hoc-diagnostic
mean-within-family-variance,,32,0.007701916103914919,,,D-post-hoc-diagnostic
mean-error-variance-of-mean,,32,0.0009693552286084788,,,D-post-hoc-diagnostic
variance-reliability,,32,0.8334109402341289,,,D-post-hoc-diagnostic
split-half-rank-reliability,,32,0.8578063925866427,,,D-post-hoc-diagnostic
disattenuated-rho-variance-reliability,,32,0.4292435130903047,,,D-post-hoc-diagnostic
disattenuated-rho-rank-reliability,,32,0.423095786211203,,,D-post-hoc-diagnostic
