reading,arm,group,representation,seeds,level,r0,diff,pos,ci_low,ci_high,evidence_class
calibrated,central__full-exposure,adwo,call-graph,10,0.5078660227863246,0.4347345265620534,0.07313149622427127,6,-0.01681465360315928,0.17072621589149037,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,adwo,call-graph,10,0.5217174518393713,0.4470717905781177,0.07464566126125358,7,-0.017967354446726556,0.18384551489839218,D-post-hoc-diagnostic
calibrated,central__full-exposure,adwo,mcndroid-static,10,0.7629787303790756,0.4347345265620534,0.32824420381702224,9,0.19627403673325203,0.44778855584709615,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,adwo,mcndroid-static,10,0.7667857923175431,0.4470717905781177,0.31971400173942544,9,0.1838817789856586,0.4154072038012589,D-post-hoc-diagnostic
calibrated,central__full-exposure,adwo,report-json,10,0.2599770520361222,0.4347345265620534,-0.1747574745259312,2,-0.26302452433922396,-0.06864175351805127,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,adwo,report-json,10,0.26525617709577065,0.4470717905781177,-0.18181561348234704,1,-0.25021136227894375,-0.10648786211129768,D-post-hoc-diagnostic
calibrated,central__full-exposure,contrast-macro,call-graph,10,0.7538570643881038,0.7181963019586665,0.03566076242943739,5,-0.014665162547771213,0.08033602094871461,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,contrast-macro,call-graph,10,0.7299003861566075,0.7043955811929454,0.025504804963662097,6,-0.025135093027039868,0.07842176152625141,D-post-hoc-diagnostic
calibrated,central__full-exposure,contrast-macro,mcndroid-static,10,0.6890382675165474,0.7181963019586665,-0.029158034442119042,3,-0.05035828089101975,-0.009503516029438283,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,contrast-macro,mcndroid-static,10,0.6763908981902167,0.7043955811929454,-0.028004683002728605,3,-0.05576518813817127,-0.008455559817120331,D-post-hoc-diagnostic
calibrated,central__full-exposure,contrast-macro,report-json,10,0.4575250729421619,0.7181963019586665,-0.26067122901650464,0,-0.2866978140863273,-0.21879485380751337,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,contrast-macro,report-json,10,0.4417323945243223,0.7043955811929454,-0.2626631866686231,0,-0.2852197973099557,-0.23475067720224618,D-post-hoc-diagnostic
calibrated,central__full-exposure,gappusin,call-graph,10,0.7259509223056216,0.698741474018804,0.027209448286817713,4,-0.019371040798395606,0.11768843464524867,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,gappusin,call-graph,10,0.7226881042536291,0.6960672418835216,0.026620862370107558,5,-0.016329463881399883,0.10398899175257548,D-post-hoc-diagnostic
calibrated,central__full-exposure,gappusin,mcndroid-static,10,0.844343268533704,0.698741474018804,0.1456017945149,9,0.05140225382098128,0.2816215492980293,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,gappusin,mcndroid-static,10,0.8336641878828983,0.6960672418835216,0.13759694599937683,9,0.04707279197938519,0.2523967197764955,D-post-hoc-diagnostic
calibrated,central__full-exposure,gappusin,report-json,10,0.6157116331208667,0.698741474018804,-0.08302984089793732,3,-0.15088241490406173,0.02286590090216039,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,gappusin,report-json,10,0.6277292511665766,0.6960672418835216,-0.06833799071694482,3,-0.14178013592824568,0.02754309145968992,D-post-hoc-diagnostic
calibrated,central__full-exposure,hiddad,call-graph,10,0.3540381291754976,0.40861135417033206,-0.05457322499483443,2,-0.10294148454889825,-0.02303204523374829,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,hiddad,call-graph,10,0.35528461981391846,0.45551970337209313,-0.10023508355817468,2,-0.24055586821204789,-0.041144699937430695,D-post-hoc-diagnostic
calibrated,central__full-exposure,hiddad,mcndroid-static,10,0.42188144757654616,0.40861135417033206,0.013270093406214097,3,-0.045840143843392814,0.15869830169073987,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,hiddad,mcndroid-static,10,0.4178618525497589,0.45551970337209313,-0.037657850822334235,3,-0.15984480312877675,0.09378825288569237,D-post-hoc-diagnostic
