representation,seed,arm,client,family,n_benign,n_pos,threshold,cal_recall,cal_fpr,eq_recall,stored_recall,stored_fpr,stored_trials,evidence_class
lamda-static,330,central__full-exposure,anzhi,dowgin,1748,3468,8.284242630004883,0.7168396770472895,0.05263157894736842,0.7093425605536332,0.7168396770472895,0.05263157894736842,3468,D-post-hoc-diagnostic
lamda-static,330,central__full-exposure,play-late,airpush,43008,1168,-5.699414253234863,0.9460616438356164,0.05629185267857143,0.9452054794520548,0.9460616438356164,0.05629185267857143,1168,D-post-hoc-diagnostic
lamda-static,330,central__full-exposure,anzhi,gappusin,1748,494,8.284242630004883,0.3319838056680162,0.05263157894736842,0.3299595141700405,0.3319838056680162,0.05263157894736842,494,D-post-hoc-diagnostic
lamda-static,330,central__full-exposure,play-early,adwo,31037,328,-0.39763787388801575,0.9847560975609756,0.05760866063085994,0.9847560975609756,0.9847560975609756,0.05760866063085994,328,D-post-hoc-diagnostic
lamda-static,330,central__full-exposure,anzhi,leadbolt,1748,477,8.284242630004883,0.4339622641509434,0.05263157894736842,0.4276729559748428,0.4339622641509434,0.05263157894736842,477,D-post-hoc-diagnostic
lamda-static,330,central__full-exposure,appchina,revmob,2118,520,6.160232067108154,0.27884615384615385,0.05335221907459868,0.24615384615384617,0.27884615384615385,0.05335221907459868,520,D-post-hoc-diagnostic
lamda-static,330,central__full-exposure,anzhi,hiddad,1748,274,8.284242630004883,0.17883211678832117,0.05263157894736842,0.17883211678832117,0.17883211678832117,0.05263157894736842,274,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present,anzhi,dowgin,1748,3468,4.334325790405273,0.6611880046136102,0.04576659038901602,0.6874279123414071,0.6611880046136102,0.04576659038901602,3468,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present,play-late,airpush,43008,1168,-1.6088807582855225,0.9178082191780822,0.055408296130952384,0.9152397260273972,0.9178082191780822,0.055408296130952384,1168,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present,anzhi,gappusin,1748,494,4.334325790405273,0.27125506072874495,0.04576659038901602,0.291497975708502,0.27125506072874495,0.04576659038901602,494,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present,play-early,adwo,31037,328,-0.21257635951042175,0.9237804878048781,0.05332345265328479,0.9115853658536586,0.9237804878048781,0.05332345265328479,328,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present,anzhi,leadbolt,1748,477,4.334325790405273,0.4339622641509434,0.04576659038901602,0.46331236897274636,0.4339622641509434,0.04576659038901602,477,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present,appchina,revmob,2118,520,3.002810478210449,0.17307692307692307,0.04579792256846081,0.17307692307692307,0.17307692307692307,0.04579792256846081,520,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present,anzhi,hiddad,1748,274,4.334325790405273,0.2591240875912409,0.04576659038901602,0.2664233576642336,0.2591240875912409,0.04576659038901602,274,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere,anzhi,dowgin,1748,3468,4.099623680114746,0.6326412918108419,0.05091533180778032,0.6294694348327566,0.6326412918108419,0.05091533180778032,3468,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere,play-late,airpush,43008,1168,-1.3152477741241455,0.5590753424657534,0.05426897321428571,0.5436643835616438,0.5590753424657534,0.05426897321428571,1168,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere,anzhi,gappusin,1748,494,4.099623680114746,0.15991902834008098,0.05091533180778032,0.15384615384615385,0.15991902834008098,0.05091533180778032,494,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere,play-early,adwo,31037,328,-0.7486363053321838,0.8170731707317073,0.06054064503656926,0.7530487804878049,0.8170731707317073,0.06054064503656926,328,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere,anzhi,leadbolt,1748,477,4.099623680114746,0.0859538784067086,0.05091533180778032,0.0859538784067086,0.0859538784067086,0.05091533180778032,477,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere,appchina,revmob,2118,520,2.326457977294922,0.1076923076923077,0.049575070821529746,0.1076923076923077,0.1076923076923077,0.049575070821529746,520,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere,anzhi,hiddad,1748,274,4.099623680114746,0.20437956204379562,0.05091533180778032,0.20437956204379562,0.20437956204379562,0.05091533180778032,274,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure,play-early,dowgin,30926,3444,0.0706329196691513,0.9779326364692218,0.048276531074177065,0.9782229965156795,0.9779326364692218,0.048276531074177065,3444,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure,play-late,airpush,44704,1229,-4.292716979980469,0.9462978030919447,0.04641642806012885,0.951179820992677,0.9462978030919447,0.04641642806012885,1229,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure,anzhi,gappusin,3232,485,7.678019046783447,0.2536082474226804,0.02629950495049505,0.4845360824742268,0.2536082474226804,0.02629950495049505,485,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure,anzhi,adwo,3232,314,7.678019046783447,0.15286624203821655,0.02629950495049505,0.3184713375796178,0.15286624203821655,0.02629950495049505,314,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure,play-early,leadbolt,30926,528,0.0706329196691513,0.9299242424242424,0.048276531074177065,0.9318181818181818,0.9299242424242424,0.048276531074177065,528,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure,appchina,revmob,2046,525,5.623430252075195,0.1523809523809524,0.06158357771260997,0.11238095238095239,0.1523809523809524,0.06158357771260997,525,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure,anzhi,hiddad,3232,476,7.678019046783447,0.0861344537815126,0.02629950495049505,0.5630252100840336,0.0861344537815126,0.02629950495049505,476,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present,play-early,dowgin,30926,3444,-0.06253477931022644,0.9529616724738676,0.05480825195628274,0.945993031358885,0.9529616724738676,0.05480825195628274,3444,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present,play-late,airpush,44704,1229,-2.7744994163513184,0.8665581773799838,0.05115873299928418,0.8665581773799838,0.8665581773799838,0.05115873299928418,1229,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present,anzhi,gappusin,3232,485,4.781454563140869,0.21237113402061855,0.029084158415841586,0.43917525773195876,0.21237113402061855,0.029084158415841586,485,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present,anzhi,adwo,3232,314,4.781454563140869,0.34394904458598724,0.029084158415841586,0.5636942675159236,0.34394904458598724,0.029084158415841586,314,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present,play-early,leadbolt,30926,528,-0.06253477931022644,0.8125,0.05480825195628274,0.7803030303030303,0.8125,0.05480825195628274,528,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present,appchina,revmob,2046,525,3.376516103744507,0.21714285714285714,0.05083088954056696,0.21714285714285714,0.21714285714285714,0.05083088954056696,525,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present,anzhi,hiddad,3232,476,4.781454563140869,0.5819327731092437,0.029084158415841586,0.5945378151260504,0.5819327731092437,0.029084158415841586,476,D-post-hoc-diagnostic
lamda-static,331,fedavg__family-absent-everywhere,play-early,dowgin,30926,3444,-1.0748947858810425,0.9323461091753774,0.052253767056845375,0.9285714285714286,0.9323461091753774,0.052253767056845375,3444,D-post-hoc-diagnostic
lamda-static,331,fedavg__family-absent-everywhere,play-late,airpush,44704,1229,-2.710664987564087,0.6916192026037429,0.05176270579813887,0.6891781936533767,0.6916192026037429,0.05176270579813887,1229,D-post-hoc-diagnostic
lamda-static,331,fedavg__family-absent-everywhere,anzhi,gappusin,3232,485,3.5387847423553467,0.15257731958762888,0.028465346534653466,0.27422680412371137,0.15257731958762888,0.028465346534653466,485,D-post-hoc-diagnostic
lamda-static,331,fedavg__family-absent-everywhere,anzhi,adwo,3232,314,3.5387847423553467,0.24203821656050956,0.028465346534653466,0.3980891719745223,0.24203821656050956,0.028465346534653466,314,D-post-hoc-diagnostic
lamda-static,331,fedavg__family-absent-everywhere,play-early,leadbolt,30926,528,-1.0748947858810425,0.4034090909090909,0.052253767056845375,0.39204545454545453,0.4034090909090909,0.052253767056845375,528,D-post-hoc-diagnostic
