representation,seed,arm,n_scores,nonfinite,min,max,abs_gt_1e3,abs_gt_1e4,evidence_class
lamda-static,330,central__family-absent-everywhere__dose-all,224980,0,-108.89446258544922,50.61712646484375,0,0,D-post-hoc-diagnostic
lamda-static,330,central__full-exposure__dose-all,224980,0,-106.27953338623047,41.213321685791016,0,0,D-post-hoc-diagnostic
lamda-static,330,central__peer-present__dose-all,224980,0,-105.52359771728516,47.13146209716797,0,0,D-post-hoc-diagnostic
lamda-static,330,fedavg__family-absent-everywhere__dose-all,224980,0,-134.11656188964844,85.17183685302734,0,0,D-post-hoc-diagnostic
lamda-static,330,fedavg__full-exposure__dose-all,224980,0,-154.6989288330078,83.53765869140625,0,0,D-post-hoc-diagnostic
lamda-static,330,fedavg__peer-present__dose-all,224980,0,-146.04176330566406,82.2343978881836,0,0,D-post-hoc-diagnostic
lamda-static,330,local__peer-present__dose-all,224980,0,-27.071590423583984,23.189382553100586,0,0,D-post-hoc-diagnostic
lamda-static,331,central__family-absent-everywhere__dose-all,228027,0,-121.93998718261719,45.7777214050293,0,0,D-post-hoc-diagnostic
lamda-static,331,central__full-exposure__dose-all,228027,0,-114.40355682373047,33.98927688598633,0,0,D-post-hoc-diagnostic
lamda-static,331,central__peer-present__dose-all,228027,0,-126.1630859375,37.24988555908203,0,0,D-post-hoc-diagnostic
lamda-static,331,fedavg__family-absent-everywhere__dose-all,228027,0,-130.28256225585938,72.65718841552734,0,0,D-post-hoc-diagnostic
lamda-static,331,fedavg__full-exposure__dose-all,228027,0,-141.0487060546875,78.04271697998047,0,0,D-post-hoc-diagnostic
lamda-static,331,fedavg__peer-present__dose-all,228027,0,-142.8250732421875,76.16829681396484,0,0,D-post-hoc-diagnostic
lamda-static,331,local__peer-present__dose-all,228027,0,-26.298553466796875,22.575593948364258,0,0,D-post-hoc-diagnostic
lamda-static,332,central__family-absent-everywhere__dose-all,224773,0,-65.8388671875,62.404056549072266,0,0,D-post-hoc-diagnostic
lamda-static,332,central__full-exposure__dose-all,224773,0,-64.64994049072266,49.11980056762695,0,0,D-post-hoc-diagnostic
lamda-static,332,central__peer-present__dose-all,224773,0,-72.27114868164062,59.15522766113281,0,0,D-post-hoc-diagnostic
lamda-static,332,fedavg__family-absent-everywhere__dose-all,224773,0,-64.67168426513672,85.8943862915039,0,0,D-post-hoc-diagnostic
lamda-static,332,fedavg__full-exposure__dose-all,224773,0,-74.31302642822266,85.93059539794922,0,0,D-post-hoc-diagnostic
lamda-static,332,fedavg__peer-present__dose-all,224773,0,-78.5463638305664,82.23504638671875,0,0,D-post-hoc-diagnostic
lamda-static,332,local__peer-present__dose-all,224773,0,-21.601360321044922,27.389867782592773,0,0,D-post-hoc-diagnostic
lamda-static,333,central__family-absent-everywhere__dose-all,226664,0,-85.91197967529297,54.858436584472656,0,0,D-post-hoc-diagnostic
lamda-static,333,central__full-exposure__dose-all,226664,0,-98.047607421875,69.78099822998047,0,0,D-post-hoc-diagnostic
lamda-static,333,central__peer-present__dose-all,226664,0,-96.76378631591797,68.45816802978516,0,0,D-post-hoc-diagnostic
lamda-static,333,fedavg__family-absent-everywhere__dose-all,226664,0,-95.10807800292969,71.72760772705078,0,0,D-post-hoc-diagnostic
lamda-static,333,fedavg__full-exposure__dose-all,226664,0,-100.52574920654297,76.0240249633789,0,0,D-post-hoc-diagnostic
