experiment,seed,client,family,population,trials,peer_support,target_support_peer_present,target_support_full,centroid-distance-to-known-malware,nearest-known-family-distance,max-jaccard-to-known-family,fraction-active-features-known,distance-to-benign-centroid,learner,local_recall,peer_recall,absent_recall,full_recall,central_full_recall,ctk,pooling,total,headroom,residual_gap,evidence_class
controlled-exposure,100,play-early,airpush,own-domain,2012,193,0,179,3.4851187591887043,2.0991970287522332,0.6842105263157895,0.7291666666666666,3.5695988211341505,fedavg,0.6794234592445328,0.7445328031809145,0.5879721669980119,0.8976143141153081,0.8991053677932406,0.1565606361829026,-0.09145129224652093,0.06510934393638168,0.21819085487077527,0.1530815109343936,C-post-confirmatory-evidence-preserving
controlled-exposure,100,play-early,airpush,federation-wide,2433,193,0,179,3.4851187591887043,2.0991970287522332,0.6842105263157895,0.7291666666666666,3.5695988211341505,fedavg,0.717632552404439,0.7792848335388409,0.6473489519112207,0.9079325935059597,0.9103986847513358,0.13193588162762027,-0.07028360049321836,0.06165228113440191,0.19030004110152066,0.12864775996711875,C-post-confirmatory-evidence-preserving
controlled-exposure,100,play-late,revmob,own-domain,18,60,0,0,5.150450689927201,3.7406211281164725,0.45145631067961167,0.49295774647887325,5.838510013955065,fedavg,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.6111111111111112,0.7777777777777778,0.33333333333333337,-0.1111111111111111,0.22222222222222227,0.27777777777777785,0.05555555555555558,C-post-confirmatory-evidence-preserving
controlled-exposure,100,play-late,revmob,federation-wide,600,60,0,0,5.150450689927201,3.7406211281164725,0.45145631067961167,0.49295774647887325,5.838510013955065,fedavg,0.5183333333333333,0.645,0.25166666666666665,0.74,0.86,0.39333333333333337,-0.26666666666666666,0.1266666666666667,0.22166666666666668,0.09499999999999997,C-post-confirmatory-evidence-preserving
controlled-exposure,100,anzhi,dowgin,own-domain,6190,107,0,1590,2.08556945685487,1.3005105720572308,0.7654320987654321,0.7464788732394366,2.0183812589522474,fedavg,0.8331179321486268,0.7066235864297253,0.6609046849757674,0.718578352180937,0.8134087237479806,0.04571890145395796,-0.17221324717285946,-0.1264943457189015,-0.11453957996768982,0.011954765751211682,C-post-confirmatory-evidence-preserving
controlled-exposure,100,anzhi,dowgin,federation-wide,6428,107,0,1590,2.08556945685487,1.3005105720572308,0.7654320987654321,0.7464788732394366,2.0183812589522474,fedavg,0.8204729309271935,0.693528313627878,0.6459240821406347,0.7042626011200995,0.7968263845675171,0.047604231487243354,-0.17454884878655885,-0.1269446172993155,-0.116210329807094,0.010734287492221495,C-post-confirmatory-evidence-preserving
controlled-exposure,100,anzhi,adwo,own-domain,152,296,0,30,3.813113461888963,1.883897404966985,0.7572815533980582,0.5402298850574713,3.411052194722788,fedavg,0.5197368421052632,0.5263157894736842,0.4342105263157895,0.5657894736842105,0.4934210526315789,0.09210526315789469,-0.08552631578947367,0.006578947368421018,0.046052631578947345,0.03947368421052633,C-post-confirmatory-evidence-preserving
controlled-exposure,100,anzhi,adwo,federation-wide,846,296,0,30,3.813113461888963,1.883897404966985,0.7572815533980582,0.5402298850574713,3.411052194722788,fedavg,0.6430260047281324,0.5460992907801419,0.3817966903073286,0.5921985815602837,0.4444444444444444,0.16430260047281325,-0.2612293144208038,-0.09692671394799057,-0.05082742316784872,0.046099290780141855,C-post-confirmatory-evidence-preserving
controlled-exposure,100,appchina,gappusin,own-domain,1080,113,0,368,2.652702759539863,1.306466877398803,0.6904761904761905,0.7323943661971831,1.6813163749483737,fedavg,0.20277777777777778,0.2814814814814815,0.2111111111111111,0.4185185185185185,0.5027777777777778,0.07037037037037039,0.008333333333333331,0.07870370370370372,0.21574074074074073,0.137037037037037,C-post-confirmatory-evidence-preserving
controlled-exposure,100,appchina,gappusin,federation-wide,1429,113,0,368,2.652702759539863,1.306466877398803,0.6904761904761905,0.7323943661971831,1.6813163749483737,fedavg,0.2330300909727082,0.2960111966410077,0.2330300909727082,0.3946815955213436,0.4688593421973408,0.06298110566829954,0.0,0.06298110566829954,0.1616515045486354,0.09867039888033585,C-post-confirmatory-evidence-preserving
controlled-exposure,100,appchina,leadbolt,own-domain,91,78,0,23,3.981286916447268,2.0182842283527456,0.704225352112676,0.36936936936936937,2.6161230405295353,fedavg,0.3956043956043956,0.5494505494505495,0.32967032967032966,0.6153846153846154,0.6153846153846154,0.21978021978021983,-0.06593406593406592,0.1538461538461539,0.21978021978021983,0.06593406593406592,C-post-confirmatory-evidence-preserving
controlled-exposure,100,appchina,leadbolt,federation-wide,842,78,0,23,3.981286916447268,2.0182842283527456,0.704225352112676,0.36936936936936937,2.6161230405295353,fedavg,0.19121140142517815,0.48812351543942994,0.15795724465558195,0.5783847980997625,0.5190023752969121,0.33016627078384797,-0.0332541567695962,0.29691211401425177,0.3871733966745844,0.09026128266033256,C-post-confirmatory-evidence-preserving
controlled-exposure,100,appchina,hiddad,own-domain,10,45,0,5,5.729453977641854,4.820659845493026,0.4078014184397163,0.20233463035019456,5.056905652441987,fedavg,0.5,0.6,0.6,0.6,0.6,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.0,C-post-confirmatory-evidence-preserving
controlled-exposure,100,appchina,hiddad,federation-wide,337,45,0,5,5.729453977641854,4.820659845493026,0.4078014184397163,0.20233463035019456,5.056905652441987,fedavg,0.4035608308605341,0.24629080118694363,0.2195845697329377,0.2997032640949555,0.19584569732937684,0.02670623145400594,-0.18397626112759644,-0.1572700296735905,-0.10385756676557861,0.05341246290801188,C-post-confirmatory-evidence-preserving
controlled-exposure,101,play-early,airpush,own-domain,1351,170,0,210,3.6107089350448907,2.4148124748939077,0.6065573770491803,0.7010309278350515,3.5512908551086424,fedavg,0.7202072538860104,0.7490747594374537,0.6772760917838638,0.8911917098445595,0.8778682457438934,0.07179866765358989,-0.042931162102146536,0.02886750555144335,0.17098445595854916,0.1421169504071058,C-post-confirmatory-evidence-preserving
