experiment,learner,population,family,ctk,ctk_lo,ctk_hi,ctk_seeds,ctk_pos,evidence_class
controlled-exposure,fedavg,own-domain,airpush,0.11011483788809047,0.03520270173165316,0.21752525766682682,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,federation-wide,airpush,0.08412510690178553,0.053859566199535046,0.11638133163018972,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,own-domain,revmob,0.3013923849478769,0.17149036200101703,0.4406484871599289,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,federation-wide,revmob,0.3426517165061308,0.24763112224634148,0.4596930939569904,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,own-domain,dowgin,-0.03479757651368558,-0.09968422108714224,0.01248143835603891,10,2,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,federation-wide,dowgin,0.0031534969522572843,-0.01305019967322465,0.018292043139066183,10,7,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,own-domain,adwo,0.06956954190388746,0.03858477658911765,0.09719003850549841,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,federation-wide,adwo,0.10111359357579727,0.056157248953619156,0.1462417626534746,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,own-domain,gappusin,0.020709329411731148,-0.0007478470874014144,0.04302506271074752,10,4,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,federation-wide,gappusin,0.028790209397913703,0.009119686276429832,0.04846147983584235,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,own-domain,leadbolt,0.30620917511472284,0.154777545180771,0.4719418488398752,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,federation-wide,leadbolt,0.2765368777414715,0.22053732047277774,0.326354924715288,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,own-domain,hiddad,-0.008899434478283036,-0.03273710193297176,0.01118585732165206,10,2,C-post-confirmatory-evidence-preserving
controlled-exposure,fedavg,federation-wide,hiddad,0.0292301117035615,0.014014682193558583,0.045068599332796506,10,9,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,dnotua,0.0038269854965282068,-0.06071428571428572,0.057404802991084296,10,3,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,dnotua,0.0073332664786372485,-0.015255151849677004,0.037084511165115415,10,3,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,inmobi,0.1983957395645918,0.11453413133980726,0.28653196130476316,10,9,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,inmobi,0.1661434561868355,0.09139623483538162,0.24817374695086486,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,smsreg,0.0017997207203841708,-0.08761499988336499,0.06295701565471468,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,smsreg,0.04894348464006031,0.012278741020149154,0.08373043830284628,10,9,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,kuguo,0.004035086780306363,-0.04818228683487098,0.06322157547158022,10,4,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,kuguo,0.02704597136908938,-0.005949064199411712,0.06042729296021119,10,7,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,youmi,0.02757755169101721,-0.000608205002882422,0.05819287284194875,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,youmi,0.05895756201758837,0.013855539243090556,0.11029042331453924,10,7,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,zdtad,0.11111111111111112,0.02777777777777778,0.22222222222222224,6,3,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,zdtad,-0.019049802236100772,-0.04138821665694472,0.0064091826564711685,6,1,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,domob,0.04757350240341253,0.0027939131409231988,0.1044000116675169,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,domob,0.12807802931296036,0.05038085618209838,0.2178656144573889,10,8,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,own-domain,utchi,0.11290451139805517,-0.09756097560975611,0.4362745098039216,6,1,C-post-confirmatory-evidence-preserving
replication-family-set,fedavg,federation-wide,utchi,0.11599508096421467,-0.007532956685499058,0.32360951229806983,6,3,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,own-domain,adwo,0.014928276638053933,-0.035714285714285726,0.05680115849395788,8,4,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,federation-wide,adwo,0.025051093293642718,-0.0008975503425881205,0.05135284485727427,8,6,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,own-domain,dowgin,-0.062278131076802176,-0.09877260500076818,-0.02811051578048775,10,0,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,federation-wide,dowgin,-0.0045028018864579685,-0.015491450788022524,0.005427320498927929,10,4,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,own-domain,gappusin,0.043216593978422355,-0.0074903270833503515,0.09966411670501485,10,5,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,federation-wide,gappusin,0.09902898187963945,0.043504063177923706,0.1536430050646656,10,9,C-post-confirmatory-evidence-preserving
