experiment,population,family,ctk,ctk_lo,ctk_hi,ctk_seeds,ctk_pos,pooling,pooling_lo,pooling_hi,local_recall,local_recall_lo,local_recall_hi,full_recall,full_recall_lo,full_recall_hi,headroom,headroom_lo,headroom_hi,peer_recall,peer_recall_lo,peer_recall_hi,absent_recall,absent_recall_lo,absent_recall_hi,full_central,full_linear,full_trees,n_classes_poor,n_classes,low_headroom,exposure_limited,representation_limited,pooling_responsive,negative_transfer_sensitive,exposure_limited_ci,negative_transfer_sensitive_ci,pooling_responsive_ci,n_labels,labels,evidence_class
controlled-exposure,federation-wide,adwo,0.10111359357579727,0.057645177511062906,0.1454898047028608,10,9,-0.10706161432181646,-0.2100005019635454,-0.016102598212082996,0.6705764866003978,0.5670260147171842,0.765237171823995,0.6956617752744149,0.5836791337908012,0.8060809264911394,0.025085288674017065,-0.055501766029633595,0.09583664646550458,0.6646284658543786,0.5340564085000755,0.7958192404779361,0.5635148722785814,0.43387694662389215,0.70617209316868,0.584835071756421,0.686855516738741,,1,3,true,false,false,false,true,false,true,false,2,low_headroom negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
controlled-exposure,federation-wide,airpush,0.08412510690178553,0.05265603704063107,0.11643245307556974,10,10,0.030459662134851424,-0.008361708772285155,0.07678926324313272,0.6687575746696975,0.5963918853870306,0.7390264115126761,0.855014661936317,0.7969679880398479,0.907456141018747,0.1862570872666196,0.1431584423047037,0.23135942237387724,0.7833423437063345,0.7201035798923237,0.8497377018550072,0.6992172368045491,0.6318255257908275,0.765727111338403,0.8591188531420529,0.6783435971475749,,0,3,false,true,false,true,false,true,false,false,2,exposure_limited pooling_responsive,C-post-confirmatory-evidence-preserving
controlled-exposure,federation-wide,dowgin,0.0031534969522572843,-0.013535079906361689,0.018024097138835102,10,7,0.10995239473156149,0.0002864029219040471,0.22056905941395066,0.6581931303677816,0.5880720120358718,0.7325204831493088,0.761818585154667,0.68083121375975,0.8463992020242688,0.10362545478688545,-0.00035292884796069934,0.21511170791901102,0.7712990220516003,0.6896044691811838,0.8507664416349031,0.7681455250993431,0.689664257405558,0.8479561940717072,0.8642153018316373,0.7249743491458212,,0,3,false,false,false,true,false,false,false,true,1,pooling_responsive,C-post-confirmatory-evidence-preserving
controlled-exposure,federation-wide,gappusin,0.028790209397913703,0.009815058553234075,0.04744887031212058,10,8,-0.03963398362528085,-0.10414553424956878,0.0349340682398443,0.3205176965951385,0.2750504759355106,0.37366047044479606,0.35878424298051753,0.2745935018834491,0.4511203241076247,0.038266546385378984,-0.03627872038592883,0.1169297655157294,0.30967392236777136,0.23714037531378848,0.4096856160053046,0.28088371296985765,0.2139771909645543,0.37778998845333034,0.45328727208805236,0.36320548342137815,,3,3,false,false,true,false,false,false,false,false,1,representation_limited,C-post-confirmatory-evidence-preserving
controlled-exposure,federation-wide,hiddad,0.0292301117035615,0.013735823901979024,0.04536515648638063,10,9,-0.06153538871199306,-0.1769984665324164,0.02862198069762037,0.29777874331702675,0.20906214609400672,0.40056722630358255,0.31935426972207903,0.23043085936081312,0.44218526644364897,0.021575526405052305,-0.12011418814936531,0.1743923154762335,0.26547346630859525,0.22001620741668212,0.31253457463988127,0.23624335460503368,0.20137223683656183,0.26986593022343447,0.2827013015798694,0.1878556027878694,,3,3,true,false,true,false,false,false,false,false,2,representation_limited low_headroom,C-post-confirmatory-evidence-preserving
controlled-exposure,federation-wide,leadbolt,0.2765368777414715,0.2227549939307315,0.3258411638749822,10,10,0.004537894997214957,-0.05570857483749687,0.07562005715466141,0.30421078403953816,0.19408374813731802,0.4153191680639508,0.6452579664889423,0.5042810237605568,0.7752943584516357,0.3410471824494041,0.2827353888030532,0.4125254264324439,0.5852855567782247,0.4468758199798195,0.7165354528571679,0.3087486790367532,0.21210544695830374,0.40874154897312887,0.6483979855048654,0.4240349830792575,,1,3,false,true,false,false,false,true,false,false,1,exposure_limited,C-post-confirmatory-evidence-preserving
controlled-exposure,federation-wide,revmob,0.3426517165061308,0.24688633821913472,0.45572758632119026,10,10,-0.07709291163891906,-0.14578633225067647,-0.027000261621781648,0.2597512004745667,0.14378913764343798,0.391511649134471,0.5574376074356526,0.38725571315124807,0.713402922243335,0.29768640696108606,0.2059654096607901,0.39774806623683745,0.5253100053417785,0.3818820480641545,0.6707482848139612,0.18265828883564758,0.10440509394832113,0.2688653847356088,0.5392157172046417,0.400400855766319,,3,3,false,false,true,false,true,false,true,false,2,representation_limited negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
controlled-exposure,own-domain,adwo,0.06956954190388746,0.03848702737378942,0.09586950403868912,10,8,-0.06157364804174896,-0.11593429971633273,-0.008044336903804036,0.652488824137252,0.5375053206406489,0.7762329288167865,0.6914826247956206,0.5763434044000815,0.8085253636938647,0.03899380065836879,-0.01943370782302963,0.0921368788714315,0.6604847179993905,0.5292721168726192,0.7967653063837525,0.590915176095503,0.46890842994753856,0.7283955320793164,0.635169096828433,0.6676555793926071,,0,3,false,true,false,false,true,false,true,false,2,exposure_limited negative_transfer_sensitive,C-post-confirmatory-evidence-preserving
controlled-exposure,own-domain,airpush,0.11011483788809047,0.03648410603907562,0.22096751972194462,10,9,-0.025535518846411687,-0.1152689822660744,0.0490098699114261,0.6611729476079645,0.5500282848730899,0.7601713878874603,0.8708739207222369,0.8243460761970354,0.9211833861984956,0.2097009731142725,0.14139570690297995,0.29838590862400777,0.7457522666496434,0.6346743091865411,0.8492405924370017,0.6356374287615528,0.47380377911011373,0.792146528412753,0.8752215524868442,0.6367332316456901,,0,3,false,true,false,false,false,true,false,false,1,exposure_limited,C-post-confirmatory-evidence-preserving
controlled-exposure,own-domain,dowgin,-0.03479757651368558,-0.0972767071721714,0.013195605432156176,10,2,-0.0036086204841391132,-0.08718756593994825,0.0917733046528151,0.6586682209714125,0.576343783676184,0.7439595221873085,0.6007026103110006,0.491324905687037,0.7137504507682462,-0.05796561066041188,-0.1268913645329551,0.01182594222143514,0.6202620239735878,0.5299062740729643,0.714180594030654,0.6550596004872733,0.5653676037203339,0.7489501515018837,0.7042156300239324,0.6261407486800065,,0,3,true,false,false,false,false,false,false,false,1,low_headroom,C-post-confirmatory-evidence-preserving
