family,ctk_gain,ctk_gain_lo,ctk_gain_hi,ctk_gain_seeds,ctk_gain_pos,evidence_class
gappusin,0.1071262357530629,0.07095851607095391,0.1541576062325964,10,10,D-post-hoc-diagnostic
datacollector,0.015539889365042461,-0.02872444572556817,0.06534578721441554,10,4,D-post-hoc-diagnostic
leadbolt,0.24048741830231912,0.2062542324713252,0.27686918302404184,10,10,D-post-hoc-diagnostic
hiddad,0.07408465880959966,0.02403640022849826,0.15476571055884855,10,9,D-post-hoc-diagnostic
dowgin,0.020114950254434306,0.008751209631702072,0.031943014650310866,10,8,D-post-hoc-diagnostic
admogo,0.03023236085499399,0.010822884465903043,0.055502686600147184,10,8,D-post-hoc-diagnostic
ginmaster,0.024339974112179884,0.004242907293426583,0.03981331812244857,10,9,D-post-hoc-diagnostic
anydown,0.1536201235072737,0.06584700892204177,0.2555675784672492,6,6,D-post-hoc-diagnostic
autoins,0.030329966849886803,0.01240447887204217,0.050019876252142985,10,8,D-post-hoc-diagnostic
smsreg,0.0767720823722899,0.05947896421641751,0.09445500659214257,10,10,D-post-hoc-diagnostic
youmi,0.026799457637744127,-0.00024984122968676114,0.056856506637207385,10,7,D-post-hoc-diagnostic
kuguo,0.04712812242572158,0.020340075066885302,0.0705754202909574,10,8,D-post-hoc-diagnostic
feiwo,-0.0372175542876515,-0.08703331835676682,0.028304129968501603,8,2,D-post-hoc-diagnostic
igexin,0.14496411277475657,0.09145365229208414,0.19535568555320212,10,9,D-post-hoc-diagnostic
utilcode,0.07768025711297302,0.043841972624758745,0.11526477713943953,10,10,D-post-hoc-diagnostic
utchi,0.1740681704413943,0.033020615531345145,0.39307683652987346,8,5,D-post-hoc-diagnostic
adwo,0.12101363927147908,0.08959584428261405,0.15363803712072727,10,10,D-post-hoc-diagnostic
ewind,0.03052347194363648,-0.014150128322544872,0.09204136115967028,10,7,D-post-hoc-diagnostic
baiduprotect,-0.04415096624386119,-0.07637334105396429,-0.017023963247315803,10,2,D-post-hoc-diagnostic
mobwin,0.08246294901480977,0.04589628370455071,0.11940971476739601,10,9,D-post-hoc-diagnostic
airpush,0.1039587534486927,0.06707454472286348,0.13682904412354233,10,10,D-post-hoc-diagnostic
revmob,0.2845868555724275,0.207937973832391,0.3584909599844536,10,10,D-post-hoc-diagnostic
plankton,0.06212467484716524,0.03954786114720063,0.08671646725413285,10,9,D-post-hoc-diagnostic
umpay,-0.0077868852459016535,-0.0655737704918033,0.04999999999999999,2,1,D-post-hoc-diagnostic
fakeapp,0.033685287450486295,-0.018255669664110057,0.10585629210640334,10,7,D-post-hoc-diagnostic
domob,0.0773974584293899,0.026219004365661207,0.14309157988207144,10,8,D-post-hoc-diagnostic
wooboo,0.0009646757749334045,-0.019698264801165197,0.021785222135048108,10,5,D-post-hoc-diagnostic
kyview,0.0036162144981627233,-0.038440324784140834,0.04104055453839851,10,7,D-post-hoc-diagnostic
smspay,-0.0008511609538264797,-0.014524257143381292,0.012805111997261394,10,3,D-post-hoc-diagnostic
dnotua,-0.009286428621597526,-0.020583863006462692,0.00042353567320066124,10,2,D-post-hoc-diagnostic
inmobi,0.1657711510822196,0.14235682958254298,0.1903314565167857,10,10,D-post-hoc-diagnostic
gumen,0.052733546354236,0.0107142857142857,0.09681752477318982,7,4,D-post-hoc-diagnostic
