family,ctk,local_recall,full_recall,absent_recall,peer_recall,trials,cells,seeds,novelty,min_trials,meets_threshold,rows,family_set,headroom,pooling,log_rows,low_headroom,exposure_limited,poor_full_single_class,pooling_responsive,negative_transfer_sensitive,n_labels,labels,evidence_class
admogo,0.03023236085499399,0.6320629895904906,0.7603945432131767,0.7229733805641192,0.7532057414191132,206.5,10,10,1.8601673280083877,140,true,1013,large-1,0.1283315536226861,0.09091039097362863,6.920671504248683,false,true,false,true,false,2,exposure_limited pooling_responsive,D-post-hoc-diagnostic
adwo,0.12101363927147908,0.5577928396683938,0.6398192334871362,0.5078045303948127,0.6288181696662918,1024.0,10,10,2.1125833019974465,780,true,4823,large-3,0.08202639381874244,-0.04998830927358111,8.481151420068972,false,true,false,false,true,2,exposure_limited negative_transfer_sensitive,D-post-hoc-diagnostic
airpush,0.1039587534486927,0.606660440977916,0.8179367632763384,0.6846450949459585,0.7886038483946511,2606.6,10,10,2.5540352875937486,1897,true,11836,large-3,0.2112763222984223,0.07798465396804244,9.3789010135201,false,true,false,true,false,2,exposure_limited pooling_responsive,D-post-hoc-diagnostic
anydown,0.1536201235072737,0.7435241217036886,0.5738166759861055,0.49556050792074186,0.6491806314280155,151.66666666666666,6,6,2.6048588521005778,125,true,860,large-1,-0.16970744571758312,-0.2479636137829468,6.756932389247553,true,false,true,false,true,3,poor_full_single_class low_headroom negative_transfer_sensitive,D-post-hoc-diagnostic
autoins,0.030329966849886803,0.23915871198241803,0.24030602583794666,0.207617708340548,0.2379476751904348,111.8,10,10,3.2618790134811255,79,true,615,large-2,0.001147313855528631,-0.03154100364187004,6.421622267806518,true,false,true,false,true,3,poor_full_single_class low_headroom negative_transfer_sensitive,D-post-hoc-diagnostic
baiduprotect,-0.04415096624386119,0.6231310925119132,0.7525184105991513,0.7996251774335923,0.7554742111897311,164.5,10,10,1.9972334171440214,132,true,736,large-3,0.12938731808723802,0.17649408492167906,6.601230118728877,false,false,false,true,false,1,pooling_responsive,D-post-hoc-diagnostic
datacollector,0.015539889365042461,0.2934675513903329,0.5287277181924879,0.4926367705439388,0.5081766599089812,104.6,10,10,4.167694149758107,72,false,500,large-1,0.23526016680215495,0.19916921915360586,6.214608098422191,false,false,true,true,false,2,poor_full_single_class pooling_responsive,D-post-hoc-diagnostic
dnotua,-0.009286428621597526,0.4773675245611345,0.47776717257586715,0.4785819313073085,0.46929550268571096,276.5,10,10,2.3325478872513905,51,false,9392,large-4,0.0003996480147326342,0.0012144067461739572,9.147613542067878,true,false,true,false,false,2,poor_full_single_class low_headroom,D-post-hoc-diagnostic
domob,0.0773974584293899,0.4567135182892736,0.5452613014546204,0.4473750103969601,0.52477246882635,377.6,10,10,1.894133268213308,314,true,1870,large-4,0.08854778316534678,-0.009338507892313497,7.533693709848633,false,false,true,false,false,1,poor_full_single_class,D-post-hoc-diagnostic
dowgin,0.020114950254434306,0.615318040759078,0.8110297333766834,0.7760806413135493,0.7961955915679836,6082.0,10,10,1.8519219580109667,5278,false,29296,large-1,0.19571169261760535,0.16076260055447122,10.285206266914292,false,false,false,true,false,1,pooling_responsive,D-post-hoc-diagnostic
ewind,0.03052347194363648,0.4090897630861381,0.3761630995911641,0.3427401953218688,0.3732636672655053,227.1,10,10,2.2939396827022804,135,true,949,large-3,-0.03292666349497397,-0.06634956776426931,6.855408798609928,true,false,true,false,true,3,poor_full_single_class low_headroom negative_transfer_sensitive,D-post-hoc-diagnostic
fakeapp,0.0336852874504863,0.43652577807111903,0.5371007578797837,0.47714592010613066,0.5108312075566169,266.6,10,10,4.149885262103897,95,true,1077,large-4,0.1005749798086647,0.04062014203501163,6.981934677156389,false,false,true,true,false,2,poor_full_single_class pooling_responsive,D-post-hoc-diagnostic
feiwo,-0.0372175542876515,0.3262596032287567,0.29276785465138927,0.36903176729682996,0.33181421300917846,206.75,8,8,1.609450193647335,180,true,974,large-2,-0.03349174857736742,0.04277216406807327,6.881411303642535,true,false,true,true,false,3,poor_full_single_class low_headroom pooling_responsive,D-post-hoc-diagnostic
gappusin,0.1071262357530629,0.3642027872383191,0.45217936458341257,0.34233783386297983,0.44946406961604274,1441.8,10,10,1.578250601147695,1139,true,7096,large-1,0.08797657734509345,-0.02186495337533928,8.867286523989415,false,false,true,false,false,1,poor_full_single_class,D-post-hoc-diagnostic
