experiment,measure,level,checked,mismatched,rows
exact-effective-dose-primary,realised-effective-dose-equals-level,0,70,0,0
exact-effective-dose-primary,target-holds-no-hidden-family-rows,0,70,0,0
exact-effective-dose-primary,realised-effective-dose-equals-level,10,70,0,700
exact-effective-dose-primary,target-holds-no-hidden-family-rows,10,70,0,0
exact-effective-dose-primary,realised-effective-dose-equals-level,25,70,0,1750
exact-effective-dose-primary,target-holds-no-hidden-family-rows,25,70,0,0
exact-effective-dose-primary,realised-effective-dose-equals-level,50,70,0,3500
exact-effective-dose-primary,target-holds-no-hidden-family-rows,50,70,0,0
exact-effective-dose-primary,realised-effective-dose-equals-level,100,70,0,7000
exact-effective-dose-primary,target-holds-no-hidden-family-rows,100,70,0,0
exact-effective-dose-primary,realised-effective-dose-equals-level,200,70,0,14000
exact-effective-dose-primary,target-holds-no-hidden-family-rows,200,70,0,0
exact-effective-dose-primary,training-volume-identical-across-levels,,280,0,0
exact-effective-dose-replication,realised-effective-dose-equals-level,0,77,0,0
exact-effective-dose-replication,target-holds-no-hidden-family-rows,0,77,0,0
exact-effective-dose-replication,realised-effective-dose-equals-level,10,77,0,770
exact-effective-dose-replication,target-holds-no-hidden-family-rows,10,77,0,0
exact-effective-dose-replication,realised-effective-dose-equals-level,25,77,0,1925
exact-effective-dose-replication,target-holds-no-hidden-family-rows,25,77,0,0
exact-effective-dose-replication,realised-effective-dose-equals-level,50,77,0,3850
exact-effective-dose-replication,target-holds-no-hidden-family-rows,50,77,0,0
exact-effective-dose-replication,realised-effective-dose-equals-level,100,77,0,7700
exact-effective-dose-replication,target-holds-no-hidden-family-rows,100,77,0,0
exact-effective-dose-replication,realised-effective-dose-equals-level,200,77,0,15400
exact-effective-dose-replication,target-holds-no-hidden-family-rows,200,77,0,0
exact-effective-dose-replication,training-volume-identical-across-levels,,308,0,0
