hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
H-DOSE-1,pooled-family-sets,central,own-domain,0.01,ctk-at-dose,10,10,0.03802891678830245,0.027975269520666673,9,0.014653679766553736,0.09613714420858743,greater,0.0,0.009765625,0.009765625,0.03,false,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.01,ctk-at-dose,10,10,0.029823184643642597,0.022435512032404986,9,0.014755527121670258,0.048941892657699174,greater,0.0,0.0029296875,0.005859375,0.03,false,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.05,ctk-at-dose,10,10,0.03545566080863325,0.028302175446803773,10,0.02620684702926667,0.05172311848465917,greater,0.0,0.0009765625,0.005859375,0.03,false,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.05,ctk-at-dose,10,10,0.0395679094065835,0.04174502352229076,10,0.028996823417734005,0.046143653786731915,greater,0.0,0.0009765625,0.005859375,0.03,false,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.1,ctk-at-dose,10,10,0.04553063514406796,0.036506652516412,10,0.028953179906619643,0.06777806297011721,greater,0.0,0.0009765625,0.005859375,0.03,false,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.1,ctk-at-dose,10,10,0.0477514180503842,0.034019965670445296,10,0.03250892020644522,0.0796304090412282,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.01,ctk-at-dose,10,10,0.05127328434865708,0.04489144136268895,7,0.016471400435507454,0.1069076660672775,greater,0.0,0.0244140625,0.0244140625,0.03,false,false,true
H-DOSE-1,primary-set,central,federation-wide,0.01,ctk-at-dose,10,10,0.04512526849464325,0.05487253034785284,9,0.015148808195934779,0.06547693068880346,greater,0.0,0.0068359375,0.0068359375,0.03,false,false,true
H-DOSE-1,primary-set,central,own-domain,0.05,ctk-at-dose,10,10,0.045893363200840774,0.030693551105496653,10,0.030109563883575205,0.08192843684040514,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.05,ctk-at-dose,10,10,0.054437948247804346,0.05674287595473862,10,0.038026341718191324,0.07092225000302278,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.1,ctk-at-dose,10,10,0.05027069188016181,0.05565866577285472,8,0.022074700449429663,0.0857382706178077,greater,0.0,0.009765625,0.009765625,0.03,false,false,true
H-DOSE-1,primary-set,central,federation-wide,0.1,ctk-at-dose,10,10,0.05568843169780309,0.06190821975577229,9,0.033963034373865934,0.0717335207423124,greater,0.0,0.001953125,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.01,ctk-at-dose,10,10,0.01617545982608664,0.019875034289656056,7,-0.003547377127627185,0.03382487256462441,greater,0.0,0.0966796875,0.0966796875,0.03,false,false,true
H-DOSE-1,replication-set,central,federation-wide,0.05,ctk-at-dose,10,10,0.025885926222043117,0.022590310451052198,10,0.01421884352578184,0.038251626606071815,greater,0.0,0.0009765625,0.005859375,0.03,false,false,true
H-DOSE-1,replication-set,central,federation-wide,0.1,ctk-at-dose,10,10,0.03964760851969026,0.011357814486477713,7,0.010218257684273197,0.0892086780725915,greater,0.0,0.0322265625,0.0322265625,0.03,false,false,true
H-DOSE-1,replication-set,central,own-domain,0.01,ctk-at-dose,10,10,0.021501924073225955,0.005511399450247787,5,0.001016014247780934,0.07928413081991319,greater,0.0,0.1875,0.1875,0.03,false,false,true
H-DOSE-1,replication-set,central,own-domain,0.05,ctk-at-dose,10,10,0.022478109701531197,0.02196637103117785,8,0.00678726271610139,0.037719348467373834,greater,0.0,0.009765625,0.009765625,0.03,false,false,true
H-DOSE-1,replication-set,central,own-domain,0.1,ctk-at-dose,10,10,0.04166594521580776,0.01660990892141684,5,0.0024607852181210126,0.10200301457213654,greater,0.0,0.1611328125,0.1611328125,0.03,false,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.01,ctk-at-dose,25,10,0.046983853622336244,0.04658853520936068,9,0.026997000668558434,0.08731455201278303,greater,0.0,0.0029296875,0.005859375,0.03,false,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.01,ctk-at-dose,25,10,0.04569906381200137,0.04316984222768938,10,0.03271979200902177,0.06583127137087999,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.05,ctk-at-dose,25,10,0.0625945024411535,0.07558048589214966,10,0.040828840761109556,0.07997081388876898,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
