experiment,family,learner,population,alpha,dose,mean_ctk,seed_count
exact-effective-dose-primary,adwo,central,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,adwo,central,federation-wide,0.01,10,-0.0057907470725563105,10
exact-effective-dose-primary,adwo,central,federation-wide,0.01,25,0.0019066077984606084,10
exact-effective-dose-primary,adwo,central,federation-wide,0.01,50,0.0008774198716391013,10
exact-effective-dose-primary,adwo,central,federation-wide,0.01,100,0.013171909457355158,10
exact-effective-dose-primary,adwo,central,federation-wide,0.01,200,0.0187941021821346,10
exact-effective-dose-primary,adwo,central,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,adwo,central,federation-wide,0.05,10,0.0024916628102987113,10
exact-effective-dose-primary,adwo,central,federation-wide,0.05,25,-0.003422639201716349,10
exact-effective-dose-primary,adwo,central,federation-wide,0.05,50,0.005001736589730877,10
exact-effective-dose-primary,adwo,central,federation-wide,0.05,100,0.05771214643900981,10
exact-effective-dose-primary,adwo,central,federation-wide,0.05,200,0.0637472216808573,10
exact-effective-dose-primary,adwo,central,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,adwo,central,federation-wide,0.1,10,0.016313857015171622,10
exact-effective-dose-primary,adwo,central,federation-wide,0.1,25,0.014051176168671992,10
exact-effective-dose-primary,adwo,central,federation-wide,0.1,50,0.01779446538211496,10
exact-effective-dose-primary,adwo,central,federation-wide,0.1,100,0.07952189967598086,10
exact-effective-dose-primary,adwo,central,federation-wide,0.1,200,0.09697721445256909,10
exact-effective-dose-primary,adwo,central,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,adwo,central,own-domain,0.01,10,0.01738351488041689,10
exact-effective-dose-primary,adwo,central,own-domain,0.01,25,-0.005096838354362853,10
exact-effective-dose-primary,adwo,central,own-domain,0.01,50,-0.006933499855187285,10
exact-effective-dose-primary,adwo,central,own-domain,0.01,100,0.02269412888584681,10
exact-effective-dose-primary,adwo,central,own-domain,0.01,200,0.016595512529736366,10
exact-effective-dose-primary,adwo,central,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,adwo,central,own-domain,0.05,10,-0.018559470395303646,10
exact-effective-dose-primary,adwo,central,own-domain,0.05,25,-0.03182072797188695,10
exact-effective-dose-primary,adwo,central,own-domain,0.05,50,-0.010244365149030737,10
exact-effective-dose-primary,adwo,central,own-domain,0.05,100,0.03025874477599087,10
exact-effective-dose-primary,adwo,central,own-domain,0.05,200,0.022368560662462778,10
exact-effective-dose-primary,adwo,central,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,adwo,central,own-domain,0.1,10,0.008821325945671189,10
exact-effective-dose-primary,adwo,central,own-domain,0.1,25,-0.018796654410055985,10
exact-effective-dose-primary,adwo,central,own-domain,0.1,50,0.012434171852814513,10
exact-effective-dose-primary,adwo,central,own-domain,0.1,100,0.031397225262031356,10
exact-effective-dose-primary,adwo,central,own-domain,0.1,200,0.035071180824314915,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.01,10,-0.0065413006527871315,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.01,25,0.00952847775365986,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.01,50,0.0068869678312527965,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.01,100,0.025438797800456714,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.01,200,0.06313281374475269,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.05,10,0.0008371176220747789,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.05,25,0.021453889540070836,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.05,50,0.04169258367399843,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.05,100,0.07142843811104822,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.05,200,0.1101473575769967,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.1,10,-0.008799750473329893,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.1,25,0.023320443120239398,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.1,50,0.04193865049108192,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.1,100,0.06106758317047173,10
exact-effective-dose-primary,adwo,fedavg,federation-wide,0.1,200,0.08826120956178027,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.01,10,-0.005189883851211086,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.01,25,0.008141093287744035,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.01,50,0.014167571740307925,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.01,100,0.031529587588567186,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.01,200,0.07047469960285366,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.05,10,0.017257921402876845,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.05,25,0.030639441431461932,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.05,50,0.05453718027480544,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.05,100,0.0687296486066034,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.05,200,0.09052066618618235,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,10,-0.012218145271696734,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,25,0.00041507019250923704,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,50,0.01841420961486039,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,100,0.022982974618217945,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,200,0.04041420877014666,10
