status,reason,experiment,seed,salt
completed,,exact-effective-dose-primary,310,0
completed,,exact-effective-dose-primary,311,0
completed,,exact-effective-dose-primary,312,0
completed,,exact-effective-dose-primary,313,0
completed,,exact-effective-dose-primary,314,0
completed,,exact-effective-dose-primary,315,0
completed,,exact-effective-dose-primary,316,0
completed,,exact-effective-dose-primary,317,0
completed,,exact-effective-dose-primary,318,0
completed,,exact-effective-dose-primary,319,0
completed,,exact-effective-dose-replication,310,0
completed,,exact-effective-dose-replication,311,0
completed,,exact-effective-dose-replication,312,0
completed,,exact-effective-dose-replication,313,0
completed,,exact-effective-dose-replication,314,0
completed,,exact-effective-dose-replication,315,0
completed,,exact-effective-dose-replication,316,0
completed,,exact-effective-dose-replication,317,0
completed,,exact-effective-dose-replication,318,0
completed,,exact-effective-dose-replication,319,0
