hypothesis,scope,learner,population,alpha,met,onset_level
H-DOSE-1,pooled-family-sets,central,federation-wide,0.01,true,25
H-DOSE-2,pooled-family-sets,central,federation-wide,0.01,true,
H-DOSE-1,pooled-family-sets,central,federation-wide,0.05,true,25
H-DOSE-2,pooled-family-sets,central,federation-wide,0.05,false,
H-DOSE-1,pooled-family-sets,central,federation-wide,0.1,true,10
H-DOSE-2,pooled-family-sets,central,federation-wide,0.1,true,
H-DOSE-1,pooled-family-sets,central,own-domain,0.01,true,50
H-DOSE-2,pooled-family-sets,central,own-domain,0.01,false,
H-DOSE-1,pooled-family-sets,central,own-domain,0.05,true,25
H-DOSE-2,pooled-family-sets,central,own-domain,0.05,false,
H-DOSE-1,pooled-family-sets,central,own-domain,0.1,true,25
H-DOSE-2,pooled-family-sets,central,own-domain,0.1,true,
H-DOSE-1,pooled-family-sets,fedavg,federation-wide,0.01,true,50
H-DOSE-2,pooled-family-sets,fedavg,federation-wide,0.01,true,
H-DOSE-1,pooled-family-sets,fedavg,federation-wide,0.05,true,25
H-DOSE-2,pooled-family-sets,fedavg,federation-wide,0.05,false,
H-DOSE-1,pooled-family-sets,fedavg,federation-wide,0.1,true,10
H-DOSE-2,pooled-family-sets,fedavg,federation-wide,0.1,false,
H-DOSE-1,pooled-family-sets,fedavg,own-domain,0.01,true,50
H-DOSE-2,pooled-family-sets,fedavg,own-domain,0.01,true,
H-DOSE-1,pooled-family-sets,fedavg,own-domain,0.05,true,25
H-DOSE-2,pooled-family-sets,fedavg,own-domain,0.05,false,
H-DOSE-1,pooled-family-sets,fedavg,own-domain,0.1,true,25
H-DOSE-2,pooled-family-sets,fedavg,own-domain,0.1,true,
H-DOSE-1,primary-set,central,federation-wide,0.01,true,25
H-DOSE-2,primary-set,central,federation-wide,0.01,false,
H-DOSE-1,primary-set,central,federation-wide,0.05,true,10
H-DOSE-2,primary-set,central,federation-wide,0.05,false,
H-DOSE-1,primary-set,central,federation-wide,0.1,true,10
H-DOSE-2,primary-set,central,federation-wide,0.1,false,
H-DOSE-1,primary-set,central,own-domain,0.01,true,25
H-DOSE-2,primary-set,central,own-domain,0.01,false,
H-DOSE-1,primary-set,central,own-domain,0.05,true,10
H-DOSE-2,primary-set,central,own-domain,0.05,false,
H-DOSE-1,primary-set,central,own-domain,0.1,true,25
H-DOSE-2,primary-set,central,own-domain,0.1,false,
H-DOSE-1,primary-set,fedavg,federation-wide,0.01,true,50
H-DOSE-2,primary-set,fedavg,federation-wide,0.01,false,
H-DOSE-1,primary-set,fedavg,federation-wide,0.05,true,10
H-DOSE-2,primary-set,fedavg,federation-wide,0.05,false,
H-DOSE-1,primary-set,fedavg,federation-wide,0.1,true,10
H-DOSE-2,primary-set,fedavg,federation-wide,0.1,false,
H-DOSE-1,primary-set,fedavg,own-domain,0.01,true,25
H-DOSE-2,primary-set,fedavg,own-domain,0.01,false,
H-DOSE-1,primary-set,fedavg,own-domain,0.05,true,25
H-DOSE-2,primary-set,fedavg,own-domain,0.05,false,
H-DOSE-1,primary-set,fedavg,own-domain,0.1,true,25
H-DOSE-2,primary-set,fedavg,own-domain,0.1,false,
H-DOSE-1,replication-set,central,federation-wide,0.01,true,100
H-DOSE-2,replication-set,central,federation-wide,0.01,true,
H-DOSE-1,replication-set,central,federation-wide,0.05,true,25
H-DOSE-2,replication-set,central,federation-wide,0.05,false,
H-DOSE-1,replication-set,central,federation-wide,0.1,false,25
H-DOSE-2,replication-set,central,federation-wide,0.1,true,
H-DOSE-1,replication-set,central,own-domain,0.01,true,100
H-DOSE-2,replication-set,central,own-domain,0.01,true,
H-DOSE-1,replication-set,central,own-domain,0.05,true,25
H-DOSE-2,replication-set,central,own-domain,0.05,false,
H-DOSE-1,replication-set,central,own-domain,0.1,false,25
H-DOSE-2,replication-set,central,own-domain,0.1,false,
H-DOSE-1,replication-set,fedavg,federation-wide,0.01,true,200
H-DOSE-2,replication-set,fedavg,federation-wide,0.01,true,
H-DOSE-1,replication-set,fedavg,federation-wide,0.05,true,100
H-DOSE-2,replication-set,fedavg,federation-wide,0.05,false,
H-DOSE-1,replication-set,fedavg,federation-wide,0.1,true,25
H-DOSE-2,replication-set,fedavg,federation-wide,0.1,true,
H-DOSE-1,replication-set,fedavg,own-domain,0.01,false,
H-DOSE-2,replication-set,fedavg,own-domain,0.01,true,
H-DOSE-1,replication-set,fedavg,own-domain,0.05,true,100
H-DOSE-2,replication-set,fedavg,own-domain,0.05,false,
H-DOSE-1,replication-set,fedavg,own-domain,0.1,true,25
H-DOSE-2,replication-set,fedavg,own-domain,0.1,false,
