experiment,family,seed_count,ctk_gain,ctk_sd,local_recall,absent_recall,peer_recall,trials,min_trials,novelty,meets_threshold
large-family-set-1,admogo,10,0.03023236085499399,0.0381383468680858,0.6320629895904906,0.7229733805641192,0.7532057414191132,206.5,140,1.8601673280083877,true
large-family-set-1,anydown,6,0.1536201235072737,0.12773531203072142,0.7435241217036886,0.49556050792074186,0.6491806314280155,151.66666666666666,125,2.6048588521005778,true
large-family-set-1,datacollector,10,0.015539889365042461,0.08124697394388261,0.2934675513903329,0.4926367705439388,0.5081766599089812,104.6,72,4.167694149758107,false
large-family-set-1,dowgin,10,0.020114950254434306,0.020234240394012656,0.615318040759078,0.7760806413135493,0.7961955915679836,6082.0,5278,1.8519219580109667,false
large-family-set-1,gappusin,10,0.1071262357530629,0.07117129875564908,0.3642027872383191,0.34233783386297983,0.44946406961604274,1441.8,1139,1.578250601147695,true
large-family-set-1,ginmaster,10,0.024339974112179884,0.03087328300852159,0.3590230696563729,0.215785004192833,0.24012497830501286,140.9,119,1.640884849967415,false
large-family-set-1,hiddad,10,0.07408465880959966,0.1227245140863594,0.35146504782597965,0.3083298164446494,0.38241447525424904,392.6,269,3.8213984638230025,true
large-family-set-1,leadbolt,10,0.24048741830231912,0.06198963398726456,0.2867704870599975,0.3649046040041213,0.6053920223064404,799.1,722,2.548219130907952,true
large-family-set-2,autoins,10,0.030329966849886803,0.03181475567751236,0.23915871198241803,0.207617708340548,0.2379476751904348,111.8,79,3.2618790134811255,true
large-family-set-2,feiwo,8,-0.0372175542876515,0.09223025054167883,0.3262596032287567,0.36903176729682996,0.33181421300917846,206.75,180,1.609450193647335,true
large-family-set-2,igexin,10,0.14496411277475657,0.09038933989361189,0.24322673214110285,0.2812228545427466,0.4261869673175031,160.2,126,2.3747388885525162,true
large-family-set-2,kuguo,10,0.04712812242572158,0.04318139280586588,0.6210824379987026,0.627209278985163,0.6743374014108846,3788.8,3480,1.7995863567728159,true
large-family-set-2,smsreg,10,0.0767720823722899,0.029783129266453896,0.48034933971446386,0.503011942349407,0.5797840247216969,1313.0,1243,2.4139416968903804,true
large-family-set-2,utchi,8,0.1740681704413943,0.2985067057385665,0.0036313911938598634,0.017709109341345453,0.19177727978273976,435.25,233,3.1937605805164937,true
large-family-set-2,utilcode,10,0.07768025711297302,0.0600322557184234,0.4323122609950417,0.4645375546683371,0.5422178117813102,102.9,83,5.13401245218008,true
large-family-set-2,youmi,10,0.026799457637744127,0.048525622328755014,0.4037773523604849,0.397151153830403,0.42395061146814716,700.1,620,1.533335415019837,false
large-family-set-3,adwo,10,0.12101363927147908,0.05375682403675066,0.5577928396683938,0.5078045303948127,0.6288181696662918,1024.0,780,2.1125833019974465,true
large-family-set-3,airpush,10,0.1039587534486927,0.059280742899794986,0.606660440977916,0.6846450949459585,0.7886038483946511,2606.6,1897,2.5540352875937486,true
large-family-set-3,baiduprotect,10,-0.04415096624386119,0.05056326083316464,0.6231310925119132,0.7996251774335923,0.7554742111897311,164.5,132,1.9972334171440214,true
large-family-set-3,ewind,10,0.03052347194363648,0.08957336902651197,0.4090897630861381,0.3427401953218688,0.3732636672655053,227.1,135,2.2939396827022804,true
large-family-set-3,mobwin,10,0.08246294901480979,0.060702144938941764,0.33592436282590865,0.20135796345508897,0.28382091246989877,112.2,78,1.7073098259750807,true
large-family-set-3,plankton,10,0.06212467484716524,0.0403630891849397,0.4912703510882642,0.6230525169040098,0.685177191751175,238.4,182,2.1649364120189465,true
large-family-set-3,revmob,10,0.2845868555724275,0.131743662192789,0.24088768105222047,0.20906779177309193,0.4936546473455194,629.8,449,3.083869284940873,true
large-family-set-3,umpay,2,-0.0077868852459016535,0.08172299684205181,0.40491803278688526,0.3221311475409836,0.31434426229508194,70.5,61,1.906638566024467,false
large-family-set-4,dnotua,10,-0.009286428621597526,0.0181305402523934,0.4773675245611345,0.4785819313073085,0.46929550268571096,276.5,51,2.3325478872513905,false
large-family-set-4,domob,10,0.0773974584293899,0.10308747988662618,0.4567135182892736,0.4473750103969601,0.52477246882635,377.6,314,1.894133268213308,true
large-family-set-4,fakeapp,10,0.0336852874504863,0.10909901214166713,0.43652577807111903,0.47714592010613066,0.5108312075566169,266.6,95,4.149885262103897,true
large-family-set-4,gumen,7,0.052733546354236,0.06366421883083044,0.3774663437620032,0.4782531741705457,0.5309867205247817,58.142857142857146,50,2.3066266259833976,true
large-family-set-4,inmobi,10,0.1657711510822196,0.04120953175119364,0.50517733684011,0.7262435366209391,0.8920146877031587,482.4,364,6.061382409421004,true
large-family-set-4,kyview,10,0.0036162144981627233,0.06730270837838391,0.56797379470806,0.5840185930868707,0.5876348075850333,149.6,122,1.8099823374531823,false
large-family-set-4,smspay,10,-0.0008511609538264797,0.0238434629139511,0.49910725162185515,0.5147734344604317,0.5139222735066051,105.3,86,2.540952652814099,false
large-family-set-4,wooboo,10,0.0009646757749334045,0.03480252178299994,0.1672740503964048,0.10833933145340062,0.10930400722833403,217.3,110,1.844845989625338,false
