family,seed,eligible_pairs,eligible_target_test_rows,eligible
admogo,300,3,160,true
admogo,301,3,184,true
admogo,302,3,183,true
admogo,303,3,319,true
admogo,304,3,203,true
admogo,305,3,272,true
admogo,306,3,139,true
admogo,307,3,218,true
admogo,308,3,186,true
admogo,309,3,198,true
adwo,300,3,922,true
adwo,301,3,1159,true
adwo,302,3,1105,true
adwo,303,3,1212,true
adwo,304,3,927,true
adwo,305,3,994,true
adwo,306,3,872,true
adwo,307,3,1221,true
adwo,308,3,1048,true
adwo,309,3,780,true
airpush,300,4,3233,true
airpush,301,4,2628,true
airpush,302,4,2764,true
airpush,303,4,2168,true
airpush,304,4,1897,true
airpush,305,4,2522,true
airpush,306,4,2158,true
airpush,307,4,3646,true
airpush,308,4,2599,true
airpush,309,4,2451,true
anydown,300,0,0,false
anydown,301,1,8,true
anydown,302,1,0,true
anydown,303,0,0,false
anydown,304,1,1,true
anydown,305,1,1,true
anydown,306,1,1,true
anydown,307,0,0,false
anydown,308,0,0,false
anydown,309,1,1,true
autoins,300,4,128,true
autoins,301,4,112,true
autoins,302,4,117,true
autoins,303,4,151,true
autoins,304,4,104,true
autoins,305,4,81,true
autoins,306,4,125,true
autoins,307,4,117,true
autoins,308,4,104,true
autoins,309,4,79,true
baiduprotect,300,3,132,true
baiduprotect,301,3,160,true
baiduprotect,302,3,186,true
baiduprotect,303,3,151,true
baiduprotect,304,3,146,true
baiduprotect,305,3,216,true
baiduprotect,306,3,134,true
baiduprotect,307,3,146,true
baiduprotect,308,3,158,true
baiduprotect,309,3,216,true
datacollector,300,4,125,true
datacollector,301,4,97,true
datacollector,302,4,112,true
datacollector,303,4,95,true
datacollector,304,4,133,true
datacollector,305,4,121,true
datacollector,306,4,98,true
datacollector,307,4,97,true
datacollector,308,4,96,true
datacollector,309,4,72,true
dnotua,300,4,126,true
dnotua,301,4,113,true
dnotua,302,4,95,true
dnotua,303,4,59,true
dnotua,304,4,707,true
dnotua,305,4,695,true
dnotua,306,4,132,true
dnotua,307,4,112,true
dnotua,308,4,51,true
dnotua,309,4,675,true
domob,300,3,357,true
domob,301,3,392,true
domob,302,3,393,true
domob,303,3,447,true
domob,304,3,399,true
domob,305,3,346,true
domob,306,3,326,true
domob,307,3,413,true
domob,308,3,383,true
domob,309,3,314,true
dowgin,300,3,6054,true
dowgin,301,3,6594,true
dowgin,302,3,6196,true
dowgin,303,3,6509,true
dowgin,304,3,5276,true
dowgin,305,3,5353,true
dowgin,306,3,5824,true
dowgin,307,3,7473,true
dowgin,308,3,5446,true
dowgin,309,3,6079,true
ewind,300,3,135,true
ewind,301,3,256,true
ewind,302,3,172,true
ewind,303,3,277,true
ewind,304,3,336,true
ewind,305,3,175,true
ewind,306,3,276,true
ewind,307,3,150,true
ewind,308,3,283,true
ewind,309,3,204,true
fakeapp,300,1,24,true
fakeapp,301,2,99,true
fakeapp,302,2,165,true
fakeapp,303,2,108,true
fakeapp,304,1,454,true
fakeapp,305,1,451,true
fakeapp,306,2,116,true
fakeapp,307,2,202,true
fakeapp,308,1,25,true
fakeapp,309,1,459,true
feiwo,300,1,8,true
feiwo,301,1,7,true
feiwo,302,1,10,true
feiwo,303,0,0,false
feiwo,304,1,10,true
feiwo,305,1,5,true
feiwo,306,1,7,true
feiwo,307,0,0,false
feiwo,308,1,9,true
feiwo,309,1,9,true
gappusin,300,3,1260,true
gappusin,301,3,1601,true
gappusin,302,3,1425,true
gappusin,303,3,1530,true
gappusin,304,3,1582,true
gappusin,305,3,1352,true
gappusin,306,3,1620,true
gappusin,307,3,1338,true
gappusin,308,3,1569,true
gappusin,309,3,1138,true
ginmaster,300,2,148,true
ginmaster,301,1,60,true
ginmaster,302,1,49,true
ginmaster,303,1,58,true
ginmaster,304,1,51,true
ginmaster,305,1,45,true
ginmaster,306,1,51,true
ginmaster,307,1,56,true
ginmaster,308,2,130,true
ginmaster,309,2,141,true
gumen,300,1,8,true
gumen,301,1,5,true
gumen,302,0,0,false
gumen,303,1,5,true
gumen,304,0,0,false
gumen,305,1,5,true
gumen,306,1,7,true
gumen,307,1,5,true
gumen,308,0,0,false
gumen,309,1,9,true
hiddad,300,4,323,true
hiddad,301,4,339,true
hiddad,302,4,503,true
hiddad,303,4,292,true
hiddad,304,4,284,true
hiddad,305,4,333,true
hiddad,306,4,530,true
hiddad,307,4,269,true
hiddad,308,4,541,true
hiddad,309,4,512,true
igexin,300,2,119,true
igexin,301,3,128,true
igexin,302,2,172,true
igexin,303,3,151,true
igexin,304,3,174,true
igexin,305,3,158,true
igexin,306,3,181,true
igexin,307,3,193,true
igexin,308,3,185,true
