family,family_set,rank,seed_count,eligible_seeds,eligible_seed_fraction,eligible_in_every_seed,measured_seeds,min_eligible_pairs,mean_eligible_pairs,max_eligible_pairs,min_eligible_target_test_rows,mean_eligible_target_test_rows
dowgin,large-1,0,10,10,1.0,true,10,3,3.0,3,5276,6080.4
kuguo,large-2,1,10,10,1.0,true,10,3,3.0,3,3479,3787.9
airpush,large-3,2,10,10,1.0,true,10,4,4.0,4,1897,2606.6
dnotua,large-4,3,10,10,1.0,true,10,4,4.0,4,51,276.5
gappusin,large-1,4,10,10,1.0,true,10,3,3.0,3,1138,1441.5
smsreg,large-2,5,10,10,1.0,true,10,4,4.0,4,1243,1313.0
adwo,large-3,6,10,10,1.0,true,10,3,3.0,3,780,1024.0
inmobi,large-4,7,10,10,1.0,true,10,2,2.9,3,38,449.8
leadbolt,large-1,8,10,10,1.0,true,10,4,4.0,4,722,799.1
youmi,large-2,9,10,10,1.0,true,10,3,3.0,3,618,697.2
revmob,large-3,10,10,10,1.0,true,10,2,2.0,2,29,33.8
domob,large-4,11,10,10,1.0,true,10,3,3.0,3,314,377.0
hiddad,large-1,12,10,10,1.0,true,10,4,4.0,4,269,392.6
utchi,large-2,13,10,8,0.8,false,8,0,1.5,2,0,328.3
plankton,large-3,14,10,10,1.0,true,10,1,1.0,1,33,42.6
fakeapp,large-4,15,10,10,1.0,true,10,1,1.5,2,24,210.3
admogo,large-1,16,10,10,1.0,true,10,3,3.0,3,139,206.2
feiwo,large-2,17,10,8,0.8,false,8,0,0.8,1,0,6.5
ewind,large-3,18,10,10,1.0,true,10,3,3.0,3,135,226.4
wooboo,large-4,19,10,10,1.0,true,10,1,1.0,1,10,15.5
anydown,large-1,20,10,6,0.6,false,6,0,0.6,1,0,1.2
igexin,large-2,21,10,10,1.0,true,10,2,2.7,3,119,158.9
baiduprotect,large-3,22,10,10,1.0,true,10,3,3.0,3,132,164.5
kyview,large-4,23,10,10,1.0,true,10,3,3.0,3,120,146.4
ginmaster,large-1,24,10,10,1.0,true,10,1,1.3,2,45,78.9
autoins,large-2,25,10,10,1.0,true,10,4,4.0,4,79,111.8
mobwin,large-3,26,10,10,1.0,true,10,1,1.0,1,12,19.5
smspay,large-4,27,10,10,1.0,true,10,1,1.0,1,31,41.1
datacollector,large-1,28,10,10,1.0,true,10,4,4.0,4,72,104.6
utilcode,large-2,29,10,10,1.0,true,10,2,2.7,3,63,88.0
umpay,large-3,30,10,2,0.2,false,2,0,0.2,1,0,3.8
gumen,large-4,31,10,7,0.7,false,7,0,0.7,1,0,4.4
