experiment,seed,salt,client,family,peer_recall,trials,absent_recall,full_recall,local_recall,learner,ctk_gain
large-family-set-1,300,0,play-early,gappusin,0.8388888888888889,1260,0.7714285714285715,0.8412698412698413,0.5587301587301587,fedavg,0.06746031746031744
large-family-set-1,300,0,play-late,datacollector,0.728,125,0.736,0.712,0.424,fedavg,-0.008000000000000007
large-family-set-1,300,0,anzhi,leadbolt,0.5239327296248383,773,0.19534282018111254,0.4683053040103493,0.35446313065976714,fedavg,0.32858990944372574
large-family-set-1,300,0,anzhi,hiddad,0.33436532507739936,323,0.26006191950464397,0.35294117647058826,0.5356037151702786,fedavg,0.07430340557275539
large-family-set-1,300,0,appchina,dowgin,0.7061446977205154,6054,0.688800792864222,0.7431450280806079,0.5896927651139743,fedavg,0.017343904856293335
large-family-set-1,300,0,appchina,admogo,0.4,160,0.4,0.46875,0.64375,fedavg,0.0
large-family-set-1,300,0,appchina,ginmaster,0.27439024390243905,164,0.23170731707317074,0.3048780487804878,0.3719512195121951,fedavg,0.0426829268292683
large-family-set-1,301,0,play-early,gappusin,0.7727840199750312,1602,0.5074906367041199,0.7459425717852685,0.398876404494382,fedavg,0.26529338327091134
large-family-set-1,301,0,play-late,leadbolt,0.8738255033557047,745,0.6590604026845638,0.876510067114094,0.31543624161073824,fedavg,0.21476510067114096
large-family-set-1,301,0,play-late,hiddad,0.5073746312684366,339,0.45132743362831856,0.5929203539823009,0.45427728613569324,fedavg,0.05604719764011806
large-family-set-1,301,0,play-late,anydown,0.7044025157232704,159,0.4968553459119497,0.5031446540880503,0.6918238993710691,fedavg,0.2075471698113207
large-family-set-1,301,0,anzhi,admogo,0.4945652173913043,184,0.5,0.5597826086956522,0.3967391304347826,fedavg,-0.005434782608695676
large-family-set-1,301,0,anzhi,ginmaster,0.2,140,0.25,0.2785714285714286,0.32857142857142857,fedavg,-0.04999999999999999
large-family-set-1,301,0,appchina,dowgin,0.664695177434031,6594,0.6710646041856233,0.7245981195025781,0.42690324537458296,fedavg,-0.006369426751592355
large-family-set-1,301,0,appchina,datacollector,0.32989690721649484,97,0.21649484536082475,0.3917525773195876,0.21649484536082475,fedavg,0.11340206185567009
large-family-set-1,302,0,play-early,dowgin,0.8368005160457991,6201,0.8438961457829383,0.8871149814546041,0.7142396387679406,fedavg,-0.007095629737139175
large-family-set-1,302,0,play-early,gappusin,0.7171929824561404,1425,0.623859649122807,0.7782456140350877,0.7228070175438597,fedavg,0.09333333333333338
large-family-set-1,302,0,play-late,hiddad,0.27634194831013914,503,0.24453280318091453,0.6998011928429424,0.3081510934393638,fedavg,0.031809145129224614
large-family-set-1,302,0,play-late,anydown,0.6359223300970874,206,0.28640776699029125,0.48058252427184467,0.7475728155339806,fedavg,0.3495145631067962
large-family-set-1,302,0,anzhi,leadbolt,0.48098159509202454,815,0.21595092024539878,0.46134969325153374,0.22208588957055214,fedavg,0.2650306748466258
large-family-set-1,302,0,anzhi,admogo,0.5355191256830601,183,0.4207650273224044,0.5300546448087432,0.5901639344262295,fedavg,0.11475409836065575
large-family-set-1,302,0,anzhi,ginmaster,0.1865671641791045,134,0.17164179104477612,0.16417910447761194,0.34328358208955223,fedavg,0.014925373134328374
large-family-set-1,302,0,appchina,datacollector,0.35714285714285715,112,0.41964285714285715,0.3392857142857143,0.14285714285714285,fedavg,-0.0625
large-family-set-1,303,0,play-early,dowgin,0.9594407743124904,6509,0.9277922876017821,0.9402365954831772,0.5390997080964818,fedavg,0.0316484867107083
large-family-set-1,303,0,play-late,datacollector,0.6842105263157895,95,0.7052631578947368,0.7473684210526316,0.47368421052631576,fedavg,-0.021052631578947323
large-family-set-1,303,0,anzhi,gappusin,0.2647058823529412,1530,0.1830065359477124,0.2169934640522876,0.2522875816993464,fedavg,0.08169934640522877
large-family-set-1,303,0,anzhi,leadbolt,0.36625,800,0.11375,0.28375,0.10625,fedavg,0.2525
large-family-set-1,303,0,anzhi,hiddad,0.136986301369863,292,0.1404109589041096,0.23972602739726026,0.273972602739726,fedavg,-0.003424657534246589
large-family-set-1,303,0,anzhi,ginmaster,0.15789473684210525,152,0.125,0.13815789473684212,0.19736842105263158,fedavg,0.032894736842105254
large-family-set-1,303,0,appchina,admogo,0.7774294670846394,319,0.7554858934169278,0.7711598746081505,0.8714733542319749,fedavg,0.021943573667711602
large-family-set-1,304,0,play-early,dowgin,0.9391815081470254,5278,0.9268662372110648,0.9560439560439561,0.603637741568776,fedavg,0.012315270935960632
large-family-set-1,304,0,play-early,leadbolt,0.7271468144044322,722,0.5650969529085873,0.8573407202216067,0.5443213296398892,fedavg,0.16204986149584488
large-family-set-1,304,0,play-early,admogo,0.9802955665024631,203,0.9753694581280788,0.9802955665024631,0.9408866995073891,fedavg,0.0049261083743842304
large-family-set-1,304,0,play-late,hiddad,0.5140845070422535,284,0.45774647887323944,0.5563380281690141,0.5880281690140845,fedavg,0.056338028169014065
large-family-set-1,304,0,play-late,anydown,0.5658914728682171,129,0.49612403100775193,0.5348837209302325,0.7751937984496124,fedavg,0.06976744186046513
large-family-set-1,304,0,anzhi,gappusin,0.22123893805309736,1582,0.14854614412136535,0.1997471554993679,0.20417193426042984,fedavg,0.072692793931732
large-family-set-1,304,0,anzhi,ginmaster,0.21232876712328766,146,0.18493150684931506,0.19863013698630136,0.4246575342465753,fedavg,0.0273972602739726
large-family-set-1,304,0,appchina,datacollector,0.37593984962406013,133,0.19548872180451127,0.49624060150375937,0.09022556390977443,fedavg,0.18045112781954886
large-family-set-1,305,0,play-early,leadbolt,0.6973224679860303,859,0.49941792782305006,0.7857974388824214,0.5052386495925495,fedavg,0.1979045401629802
large-family-set-1,305,0,play-early,admogo,0.9227941176470589,272,0.9154411764705882,0.9632352941176471,0.3639705882352941,fedavg,0.007352941176470673
large-family-set-1,305,0,play-early,datacollector,0.7024793388429752,121,0.7024793388429752,0.7107438016528925,0.49586776859504134,fedavg,0.0
large-family-set-1,305,0,play-late,anydown,0.688,125,0.672,0.728,0.816,fedavg,0.015999999999999903
large-family-set-1,305,0,anzhi,dowgin,0.7440687464972913,5353,0.720904165888287,0.7861012516345974,0.8722211843825892,fedavg,0.02316458060900428
large-family-set-1,305,0,anzhi,gappusin,0.4519230769230769,1352,0.2455621301775148,0.47485207100591714,0.3927514792899408,fedavg,0.20636094674556213
large-family-set-1,305,0,anzhi,hiddad,0.43543543543543545,333,0.37537537537537535,0.4594594594594595,0.24624624624624625,fedavg,0.060060060060060094
large-family-set-1,305,0,anzhi,ginmaster,0.35384615384615387,130,0.3076923076923077,0.3769230769230769,0.49230769230769234,fedavg,0.046153846153846156
large-family-set-1,306,0,play-early,admogo,0.8785714285714286,140,0.85,0.8857142857142857,0.7285714285714285,fedavg,0.02857142857142858
large-family-set-1,306,0,play-late,hiddad,0.3169811320754717,530,0.30566037735849055,0.35471698113207545,0.2811320754716981,fedavg,0.01132075471698113
large-family-set-1,306,0,play-late,anydown,0.7168674698795181,166,0.4939759036144578,0.572289156626506,0.6385542168674698,fedavg,0.2228915662650603
large-family-set-1,306,0,anzhi,gappusin,0.2938271604938272,1620,0.25123456790123455,0.29259259259259257,0.23765432098765432,fedavg,0.042592592592592626
large-family-set-1,306,0,anzhi,ginmaster,0.226890756302521,119,0.2184873949579832,0.226890756302521,0.2689075630252101,fedavg,0.008403361344537813
large-family-set-1,306,0,anzhi,datacollector,0.14285714285714285,98,0.1836734693877551,0.14285714285714285,0.07142857142857142,fedavg,-0.04081632653061226
large-family-set-1,306,0,appchina,dowgin,0.7646351931330472,5825,0.7414592274678111,0.7570815450643776,0.6547639484978541,fedavg,0.023175965665236054
large-family-set-1,306,0,appchina,leadbolt,0.42705882352941177,850,0.1588235294117647,0.3776470588235294,0.12588235294117647,fedavg,0.26823529411764707
large-family-set-1,307,0,play-early,datacollector,0.5876288659793815,97,0.6701030927835051,0.6185567010309279,0.4020618556701031,fedavg,-0.08247422680412364
large-family-set-1,307,0,play-late,hiddad,0.5130111524163569,269,0.5018587360594795,0.5539033457249071,0.5427509293680297,fedavg,0.01115241635687736
large-family-set-1,307,0,anzhi,gappusin,0.36771300448430494,1338,0.29970104633781763,0.3721973094170404,0.30568011958146485,fedavg,0.0680119581464873
large-family-set-1,307,0,anzhi,leadbolt,0.522867737948084,809,0.18788627935723115,0.49443757725587145,0.1619283065512979,fedavg,0.33498145859085293
large-family-set-1,307,0,anzhi,admogo,0.5844748858447488,219,0.5068493150684932,0.589041095890411,0.2785388127853881,fedavg,0.07762557077625565
large-family-set-1,307,0,anzhi,ginmaster,0.3263888888888889,144,0.3125,0.3125,0.3819444444444444,fedavg,0.013888888888888895
large-family-set-1,307,0,appchina,dowgin,0.7553860564699585,7473,0.7207279539676168,0.7745216111334137,0.4890940719925064,fedavg,0.03465810250234169
large-family-set-1,308,0,play-early,admogo,0.9786096256684492,187,0.9411764705882353,0.9518716577540107,0.8449197860962567,fedavg,0.03743315508021394
large-family-set-1,308,0,play-late,datacollector,0.8125,96,0.7916666666666666,0.8229166666666666,0.4375,fedavg,0.02083333333333337
large-family-set-1,308,0,anzhi,dowgin,0.6554190353933614,5453,0.5938015771135154,0.6125068769484687,0.7803044195855492,fedavg,0.061617458279845994
large-family-set-1,308,0,anzhi,gappusin,0.32229299363057323,1570,0.2178343949044586,0.3286624203821656,0.3592356687898089,fedavg,0.10445859872611463
large-family-set-1,308,0,anzhi,hiddad,0.6118299445471349,541,0.19593345656192238,0.6173752310536045,0.14972273567467653,fedavg,0.4158964879852125
large-family-set-1,308,0,anzhi,ginmaster,0.21804511278195488,133,0.16541353383458646,0.21052631578947367,0.3458646616541353,fedavg,0.05263157894736842
large-family-set-1,308,0,appchina,leadbolt,0.5046403712296984,862,0.27726218097447797,0.5266821345707656,0.22389791183294663,fedavg,0.22737819025522044
large-family-set-1,309,0,play-early,dowgin,0.9361842105263158,6080,0.9254934210526315,0.9289473684210526,0.4832236842105263,fedavg,0.010690789473684292
large-family-set-1,309,0,play-early,admogo,0.9797979797979798,198,0.9646464646464646,0.9040404040404041,0.6616161616161617,fedavg,0.015151515151515138
large-family-set-1,309,0,play-late,leadbolt,0.9298941798941799,756,0.7764550264550265,0.951058201058201,0.3082010582010582,fedavg,0.15343915343915338
large-family-set-1,309,0,play-late,anydown,0.584,125,0.528,0.624,0.792,fedavg,0.05599999999999994
large-family-set-1,309,0,anzhi,gappusin,0.2440737489025461,1139,0.17471466198419666,0.2712906057945566,0.20983318700614575,fedavg,0.06935908691834944
large-family-set-1,309,0,appchina,hiddad,0.177734375,512,0.150390625,0.17578125,0.134765625,fedavg,0.02734375
large-family-set-1,309,0,appchina,ginmaster,0.24489795918367346,147,0.19047619047619047,0.272108843537415,0.43537414965986393,fedavg,0.054421768707483
large-family-set-1,309,0,appchina,datacollector,0.3611111111111111,72,0.3055555555555556,0.3055555555555556,0.18055555555555555,fedavg,0.055555555555555525
large-family-set-2,300,0,play-early,autoins,0.234375,128,0.203125,0.25,0.2734375,fedavg,0.03125
large-family-set-2,300,0,play-late,smsreg,0.8615506329113924,1264,0.7903481012658228,0.8560126582278481,0.6859177215189873,fedavg,0.07120253164556967
large-family-set-2,300,0,anzhi,youmi,0.28115015974440893,626,0.3019169329073482,0.2955271565495208,0.31309904153354634,fedavg,-0.02076677316293929
