rank,family,rows,eligible_pairs,own_domain_pairs,family_set
0,dowgin,29296,3,3,large-1
1,kuguo,18077,3,3,large-2
2,airpush,11836,4,4,large-3
3,dnotua,9392,4,1,large-4
4,gappusin,7096,3,3,large-1
5,smsreg,6367,4,4,large-2
6,adwo,4823,3,3,large-3
7,inmobi,4433,3,3,large-4
8,leadbolt,3879,4,4,large-1
9,youmi,3254,3,3,large-2
10,revmob,3039,2,2,large-3
11,domob,1870,3,2,large-4
12,hiddad,1722,3,3,large-1
13,utchi,1379,1,1,large-2
14,plankton,1206,1,1,large-3
15,fakeapp,1077,2,2,large-4
16,admogo,1013,3,3,large-1
17,feiwo,974,1,0,large-2
18,ewind,949,3,3,large-3
19,wooboo,935,1,1,large-4
20,anydown,860,1,0,large-1
21,igexin,789,2,2,large-2
22,baiduprotect,736,3,2,large-3
23,kyview,735,3,2,large-4
24,ginmaster,647,2,2,large-1
25,autoins,615,4,3,large-2
26,mobwin,578,1,1,large-3
27,smspay,508,1,1,large-4
28,datacollector,500,4,2,large-1
29,utilcode,486,2,2,large-2
30,umpay,349,1,1,large-3
31,gumen,307,1,0,large-4
