measure,assumed_rho,value
families-planned,,32.0
families-with-defined-ctk,,32.0
families-with-descriptor,,32.0
mean-federation-test-support,,723.2659226190476
min-federation-test-support,,50.0
families-with-abs-ctk-at-least-threshold,,23.0
family-ctk-mean,,0.06758854571588976
family-ctk-sd,,0.0762813271049039
family-ctk-within-family-seed-sd,,0.031134470103222872
family-ctk-noise-corrected-signal-sd,,0.06963824837168772
family-ctk-reliability,,0.8334109402341286
descriptor-sd,,1.0728394522768812
descriptor-iqr,,0.8744584943960922
descriptor-distinct-values,,32.0
spearman-rho,,0.3918621700879765
spearman-p-value,,0.026549933132871975
spearman-rho-ci-low,,0.062144789045946794
spearman-rho-ci-high,,0.6541045106028262
spearman-rho-ci-width,,0.5919597215568794
spearman-permutation-p-value,,0.0262
seed-level-rho-seeds,,10.0
seed-level-rho-min,,-0.06059113300492609
seed-level-rho-median,,0.21953758143969487
seed-level-rho-max,,0.43207291866101144
seed-level-rho-positive-seeds,,9.0
expected-rho-ci-width,0.0,0.6973879401958913
expected-rho-ci-width,0.3,0.6549962339340074
expected-rho-ci-width,0.5,0.5712370613598057
expected-rho-ci-width,0.7,0.4236552445431154
min-detectable-abs-rho,,0.47788623788698553
