measure,representation,group,family,population,alpha,seed_count,mean_level,mean_baseline,mean,median,positive_seeds,ci_low,ci_high,p_value,p_margin,p_holm,margin,above_margin,below_margin,within_band
central-full-exposure-recall,call-graph,contrast-macro,,federation-wide,0.05,10,0.7538570643881038,0.7181963019586666,0.03566076242943737,0.033180253988124415,5,-0.014665162547771234,0.08033602094871461,0.322265625,0.384765625,,0.03,false,false,false
central-full-exposure-recall,call-graph,contrast-macro,,own-domain,0.05,10,0.7334332448866122,0.7949962712107288,-0.0615630263241166,-0.05699021208634558,1,-0.09515173040063053,-0.018131819730848958,0.01953125,0.9990234375,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,adwo,federation-wide,0.05,10,0.5078660227863246,0.43473452656205336,0.07313149622427127,0.0678050099116958,6,-0.01681465360315928,0.17072621589149037,0.193359375,0.2158203125,,0.03,false,false,false
central-full-exposure-recall,call-graph,family,adwo,own-domain,0.05,8,0.43270547320414965,0.32091857427417386,0.11178689892997583,0.08344632768361582,6,0.012141724695293205,0.21722276790473144,0.1484375,0.125,,0.03,false,false,false
central-full-exposure-recall,call-graph,family,airpush,federation-wide,0.05,10,0.7877853562752122,0.6578809974384559,0.12990435883675616,0.09725950997367497,9,0.055552415143542616,0.22414921034586188,0.009765625,0.0654296875,,0.03,true,false,false
central-full-exposure-recall,call-graph,family,airpush,own-domain,0.05,10,0.840520975372808,0.9218795639957837,-0.08135858862297579,-0.10607940446650121,3,-0.14149249372091788,-0.016475681489574196,0.037109375,0.990234375,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,dowgin,federation-wide,0.05,10,0.7200133715784446,0.862592426055312,-0.1425790544768673,-0.16232683146679083,0,-0.18255961784544364,-0.10282772014410578,0.001953125,1.0,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,dowgin,own-domain,0.05,9,0.574925712890727,0.7151575680899418,-0.1402318551992148,-0.15479494295405483,0,-0.1977399101478474,-0.08298865137979401,0.0078125,1.0,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,gappusin,federation-wide,0.05,10,0.7259509223056216,0.698741474018804,0.027209448286817713,-0.005818473931099577,4,-0.019371040798395606,0.11768843464524867,0.845703125,0.7841796875,1.0,0.03,false,false,false
central-full-exposure-recall,call-graph,family,gappusin,own-domain,0.05,6,0.6435723441046389,0.5686453931885397,0.07492695091609926,0.044303797468354444,3,0.009559599156118148,0.16027056849886517,0.25,0.28125,,0.03,false,false,false
central-full-exposure-recall,call-graph,family,hiddad,federation-wide,0.05,10,0.35403812917549765,0.40861135417033195,-0.05457322499483443,-0.03587326525268397,2,-0.10294148454889825,-0.02303204523374829,0.01953125,1.0,0.1171875,0.03,false,true,false
central-full-exposure-recall,call-graph,family,hiddad,own-domain,0.05,8,0.4195441505816284,0.53481534503532,-0.1152711944536916,-0.10172413793103448,0,-0.17115011352281925,-0.059747573448130795,0.015625,1.0,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,leadbolt,federation-wide,0.05,10,0.7537724653106549,0.6341154823822316,0.11965698292842326,0.11400121157049825,8,0.03615016113531595,0.20276068426827265,0.037109375,0.052734375,,0.03,true,false,false
central-full-exposure-recall,call-graph,family,leadbolt,own-domain,0.05,7,0.7427519365245642,0.6829609819189105,0.05979095460565364,0.0535714285714286,6,-0.022512609460237747,0.12850592402492572,0.15625,0.234375,,0.03,false,false,false
central-full-exposure-recall,call-graph,family,revmob,federation-wide,0.05,10,0.36296216450142693,0.31747084707645895,0.04549131742496802,0.053240740740740755,6,-0.01563061238106804,0.11955715471224165,0.375,0.4609375,1.0,0.03,false,false,false
central-full-exposure-recall,call-graph,family,revmob,own-domain,0.05,8,0.3132679738562092,0.2987254901960784,0.014542483660130723,-0.027777777777777776,3,-0.13055555555555556,0.15964052287581698,0.8125,0.6796875,,0.03,false,false,false
central-full-exposure-recall,call-graph,priority-macro,,federation-wide,0.05,10,0.48098373866084876,0.47494122508853165,0.006042513572317102,0.017195417561767165,6,-0.03540277735218401,0.03564448463215143,0.6953125,0.8837890625,,0.03,false,false,false
central-full-exposure-recall,call-graph,priority-macro,,own-domain,0.05,9,0.41385951732156706,0.44132390526940246,-0.027464387947835414,-0.048995983935742976,3,-0.07329632632488202,0.0403221482877149,0.42578125,0.951171875,,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,contrast-macro,,federation-wide,0.05,10,0.6890382675165474,0.7181963019586666,-0.029158034442119042,-0.029253276496293064,3,-0.05035828089101973,-0.00950351602943828,0.037109375,1.0,,0.03,false,true,false
central-full-exposure-recall,mcndroid-static,contrast-macro,,own-domain,0.05,10,0.8161313580461961,0.7949962712107288,0.021135086835467255,0.0070386128983814245,5,-0.010429339622444127,0.06973219821131799,0.42578125,0.8125,,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,adwo,federation-wide,0.05,10,0.7629787303790756,0.43473452656205336,0.32824420381702224,0.3059814068973482,9,0.19627403673325203,0.44778855584709615,0.00390625,0.0048828125,,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,family,adwo,own-domain,0.05,8,0.7205753435040763,0.32091857427417386,0.39965676922990245,0.36438697924916835,8,0.3276434935227425,0.5015932759116952,0.0078125,0.00390625,,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,family,airpush,federation-wide,0.05,10,0.6147336387774487,0.6578809974384559,-0.043147358661007426,-0.02276642007778465,4,-0.09058408225342261,-0.00823347088922074,0.16015625,0.9990234375,,0.03,false,true,false
central-full-exposure-recall,mcndroid-static,family,airpush,own-domain,0.05,10,0.9052676337747195,0.9218795639957837,-0.016611930221064265,-0.014973178480287452,3,-0.07664532930431371,0.016270536069258275,0.8203125,0.9814453125,,0.03,false,true,false
central-full-exposure-recall,mcndroid-static,family,dowgin,federation-wide,0.05,10,0.8582170617991489,0.862592426055312,-0.004375364256162961,-0.005311473271030376,3,-0.017129442926078778,0.013839938610679324,0.375,0.998046875,,0.03,false,true,true
central-full-exposure-recall,mcndroid-static,family,dowgin,own-domain,0.05,9,0.7813043404896067,0.7151575680899418,0.06614677239966492,0.03761948812827631,5,0.011748382117394734,0.12813835286000672,0.1484375,0.248046875,,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,gappusin,federation-wide,0.05,10,0.844343268533704,0.698741474018804,0.1456017945149,0.018439975521028107,9,0.05140225382098128,0.2816215492980293,0.00390625,0.2783203125,0.03125,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,family,gappusin,own-domain,0.05,6,0.7552949667869792,0.5686453931885397,0.18664957359843945,0.20878450510904384,5,0.07792816836968129,0.2764693920880843,0.0625,0.046875,,0.03,true,false,false
central-full-exposure-recall,mcndroid-static,family,hiddad,federation-wide,0.05,10,0.42188144757654616,0.40861135417033195,0.013270093406214097,-0.027267237305046488,3,-0.045840143843392814,0.15869830169073987,0.65234375,0.9033203125,1.0,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,hiddad,own-domain,0.05,8,0.5556625957335182,0.53481534503532,0.02084725069819815,-0.0625,2,-0.07461899824032175,0.25589246770611357,0.640625,0.875,,0.03,false,false,false
central-full-exposure-recall,mcndroid-static,family,leadbolt,federation-wide,0.05,10,0.5941641019730448,0.6341154823822316,-0.03995138040918673,-0.023334762721555158,3,-0.0806910879382768,-0.008416270852607212,0.10546875,0.9990234375,,0.03,false,true,false
