measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
central-full-exposure-recall,call-graph,contrast-macro,,federation-wide,0.05,10,0.7538570643881038,0.675484493369325,0.8176968276773982
central-full-exposure-recall,call-graph,contrast-macro,,own-domain,0.05,10,0.7334332448866122,0.6778687605276199,0.8153968537015812
central-full-exposure-recall,call-graph,family,adwo,federation-wide,0.05,10,0.5078660227863246,0.4061464116325184,0.6587477198590801
central-full-exposure-recall,call-graph,family,adwo,own-domain,0.05,8,0.43270547320414965,0.35413633231803576,0.5115116996021748
central-full-exposure-recall,call-graph,family,airpush,federation-wide,0.05,10,0.7877853562752122,0.7046381878610928,0.8640811420822789
central-full-exposure-recall,call-graph,family,airpush,own-domain,0.05,10,0.840520975372808,0.7850610752645596,0.888567358641906
central-full-exposure-recall,call-graph,family,dowgin,federation-wide,0.05,10,0.7200133715784446,0.6255996997931906,0.822673397748946
central-full-exposure-recall,call-graph,family,dowgin,own-domain,0.05,9,0.574925712890727,0.5068598381907371,0.6894255847573816
central-full-exposure-recall,call-graph,family,gappusin,federation-wide,0.05,10,0.7259509223056216,0.5365850458089202,0.8597437542140195
central-full-exposure-recall,call-graph,family,gappusin,own-domain,0.05,6,0.6435723441046389,0.4512269666902906,0.8289277362615017
central-full-exposure-recall,call-graph,family,hiddad,federation-wide,0.05,10,0.35403812917549765,0.24981913186232377,0.45695508104645843
central-full-exposure-recall,call-graph,family,hiddad,own-domain,0.05,8,0.4195441505816284,0.3141304598295813,0.5021598017842104
central-full-exposure-recall,call-graph,family,leadbolt,federation-wide,0.05,10,0.7537724653106549,0.6277190465786103,0.826385893768209
central-full-exposure-recall,call-graph,family,leadbolt,own-domain,0.05,7,0.7427519365245642,0.6300308067450268,0.8558416346370166
central-full-exposure-recall,call-graph,family,revmob,federation-wide,0.05,10,0.36296216450142693,0.27440100611370244,0.5775266379240547
central-full-exposure-recall,call-graph,family,revmob,own-domain,0.05,8,0.3132679738562092,0.17353938073227232,0.5440170158069405
central-full-exposure-recall,call-graph,priority-macro,,federation-wide,0.05,10,0.48098373866084876,0.39645969595496905,0.5847535320033695
central-full-exposure-recall,call-graph,priority-macro,,own-domain,0.05,9,0.41385951732156706,0.3246786306567366,0.554173713835149
central-full-exposure-recall,lamda-static,contrast-macro,,federation-wide,0.05,10,0.7181963019586666,0.6527202581359327,0.7951314704169139
