representation,group,family,population,seed,value,baseline,difference,measure
call-graph,contrast-macro,,federation-wide,330,0.7770066172499878,0.6989545283446165,0.0780520889053713,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,331,0.9305192256481228,0.9513848939951363,-0.02086566834701346,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,332,0.7420645270491519,0.7474238070804677,-0.005359280031315842,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,333,0.8121848176285181,0.822482036339406,-0.010297218710887809,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,334,0.6718072899113047,0.6000875019037399,0.07171978800756468,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,335,0.5203459307503076,0.6279318157712125,-0.10758588502090495,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,336,0.832288276382732,0.7025461384799282,0.12974213790280364,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,337,0.7513414627957206,0.7744456114589183,-0.023104148663197804,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,338,0.8667947034331621,0.7369237767098021,0.12987092672336004,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,339,0.634217793032031,0.519782909503437,0.11443488352859399,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,330,0.7249816172110344,0.7639175502265234,-0.03893593301548892,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,331,0.7021757224510354,0.825312583501488,-0.12313686105045253,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,332,0.7867788320204934,0.8769346212372607,-0.09015578921676733,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,333,0.6952380952380953,0.817857142857143,-0.12261904761904763,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,334,0.5866283719251104,0.600568708900557,-0.013940336975446629,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,335,0.6522769420976715,0.8020697392220162,-0.14979279712434462,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,336,0.9017857142857143,0.96875,-0.0669642857142857,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,337,0.6940726631860828,0.7230798641667469,-0.029007200980663932,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,338,0.9451483475873719,0.8792102206736353,0.06593812691373663,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,339,0.6452461428635121,0.6922622813219176,-0.047016138458405465,central-full-exposure-recall
call-graph,family,adwo,federation-wide,330,0.9024390243902439,0.9847560975609756,-0.08231707317073167,central-full-exposure-recall
call-graph,family,adwo,federation-wide,331,0.3471337579617834,0.15286624203821655,0.19426751592356686,central-full-exposure-recall
call-graph,family,adwo,federation-wide,332,0.42258064516129035,0.3903225806451613,0.03225806451612906,central-full-exposure-recall
call-graph,family,adwo,federation-wide,333,0.314540059347181,0.3827893175074184,-0.06824925816023741,central-full-exposure-recall
call-graph,family,adwo,federation-wide,334,0.3547486033519553,0.25139664804469275,0.10335195530726254,central-full-exposure-recall
call-graph,family,adwo,federation-wide,335,0.3488372093023256,0.3798449612403101,-0.031007751937984496,central-full-exposure-recall
call-graph,family,adwo,federation-wide,336,0.6875,0.515625,0.171875,central-full-exposure-recall
call-graph,family,adwo,federation-wide,337,0.5076335877862596,0.17938931297709923,0.3282442748091603,central-full-exposure-recall
call-graph,family,adwo,federation-wide,338,0.40327868852459015,0.15737704918032788,0.24590163934426226,central-full-exposure-recall
call-graph,family,adwo,federation-wide,339,0.7899686520376176,0.9529780564263323,-0.1630094043887147,central-full-exposure-recall
call-graph,family,adwo,own-domain,331,0.4714285714285714,0.21428571428571427,0.2571428571428571,central-full-exposure-recall
call-graph,family,adwo,own-domain,332,0.4152542372881356,0.3516949152542373,0.0635593220338983,central-full-exposure-recall
call-graph,family,adwo,own-domain,333,0.26501766784452296,0.3745583038869258,-0.10954063604240283,central-full-exposure-recall
call-graph,family,adwo,own-domain,334,0.32666666666666666,0.22333333333333333,0.10333333333333333,central-full-exposure-recall
call-graph,family,adwo,own-domain,335,0.3115264797507788,0.367601246105919,-0.05607476635514019,central-full-exposure-recall
call-graph,family,adwo,own-domain,336,0.603448275862069,0.5517241379310345,0.051724137931034475,central-full-exposure-recall
call-graph,family,adwo,own-domain,337,0.5283018867924528,0.2641509433962264,0.2641509433962264,central-full-exposure-recall
call-graph,family,adwo,own-domain,338,0.54,0.22,0.32000000000000006,central-full-exposure-recall
call-graph,family,airpush,federation-wide,330,0.9768835616438356,0.9460616438356164,0.03082191780821919,central-full-exposure-recall
call-graph,family,airpush,federation-wide,331,0.9471114727420668,0.9462978030919447,0.0008136696501220841,central-full-exposure-recall
