status,reason,experiment,seed,salt
completed,,large-family-set-1,300,0
completed,,large-family-set-1,301,0
completed,,large-family-set-1,302,0
completed,,large-family-set-1,303,0
completed,,large-family-set-1,304,0
completed,,large-family-set-1,305,0
completed,,large-family-set-1,306,0
completed,,large-family-set-1,307,0
completed,,large-family-set-1,308,0
completed,,large-family-set-1,309,0
completed,,large-family-set-2,300,0
completed,,large-family-set-2,301,0
completed,,large-family-set-2,302,0
completed,,large-family-set-2,303,0
completed,,large-family-set-2,304,0
completed,,large-family-set-2,305,0
completed,,large-family-set-2,306,0
completed,,large-family-set-2,307,0
completed,,large-family-set-2,308,0
completed,,large-family-set-2,309,0
completed,,large-family-set-3,300,0
completed,,large-family-set-3,301,0
completed,,large-family-set-3,302,0
completed,,large-family-set-3,303,0
completed,,large-family-set-3,304,0
completed,,large-family-set-3,305,0
completed,,large-family-set-3,306,0
completed,,large-family-set-3,307,0
completed,,large-family-set-3,308,0
completed,,large-family-set-3,309,0
completed,,large-family-set-4,300,0
completed,,large-family-set-4,301,0
completed,,large-family-set-4,302,0
completed,,large-family-set-4,303,0
completed,,large-family-set-4,304,0
completed,,large-family-set-4,305,0
completed,,large-family-set-4,306,0
completed,,large-family-set-4,307,0
completed,,large-family-set-4,308,0
completed,,large-family-set-4,309,0
