measure,representation,group,family,population,alpha,seed_count,mean_level,mean_baseline,mean,median,positive_seeds,ci_low,ci_high,p_value,p_margin,p_holm,margin,above_margin,below_margin,within_band
central-full-exposure-recall,call-graph,contrast-macro,,federation-wide,0.05,10,0.7619353955619069,0.7181963019586666,0.043739093603240436,0.030344290844759404,8,0.0087724198441191,0.08239600268425355,0.048828125,0.3125,,0.03,false,false,false
central-full-exposure-recall,call-graph,contrast-macro,,own-domain,0.05,10,0.7304531893502701,0.7949962712107288,-0.06454308186045857,-0.06745969509780636,1,-0.08857768729270304,-0.01877827899327905,0.01953125,0.9990234375,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,adwo,federation-wide,0.05,10,0.5277200063744467,0.43473452656205336,0.09298547981239319,0.10393764642277886,7,0.010660437145404798,0.17726092339920257,0.083984375,0.1162109375,,0.03,false,false,false
central-full-exposure-recall,call-graph,family,adwo,own-domain,0.05,8,0.4430549690974615,0.32091857427417386,0.12213639482328767,0.15351089588377725,7,0.046372024101251574,0.17828763515816218,0.0234375,0.02734375,,0.03,true,false,false
central-full-exposure-recall,call-graph,family,airpush,federation-wide,0.05,10,0.7890687177644902,0.6578809974384559,0.13118772032603424,0.12529225629284182,9,0.04924423019486995,0.2129044807108522,0.01953125,0.0322265625,,0.03,true,false,false
central-full-exposure-recall,call-graph,family,airpush,own-domain,0.05,10,0.8412523836477079,0.9218795639957837,-0.08062718034807592,-0.11043956043956038,3,-0.1448373543569742,-0.011859395069569116,0.064453125,0.990234375,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,dowgin,federation-wide,0.05,10,0.7099687216527445,0.862592426055312,-0.15262370440256728,-0.14857463729452225,0,-0.21145542811785314,-0.11248892842374052,0.001953125,1.0,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,dowgin,own-domain,0.05,9,0.5741983914172117,0.7151575680899418,-0.14095917667273014,-0.1633911368015415,0,-0.18744790353725135,-0.08848165411674636,0.00390625,1.0,,0.03,false,true,false
central-full-exposure-recall,call-graph,family,gappusin,federation-wide,0.05,10,0.7439197460383176,0.698741474018804,0.04517827201951345,0.005759515360550027,6,-0.004612649802642945,0.126907605128278,0.322265625,0.615234375,1.0,0.03,false,false,false
central-full-exposure-recall,call-graph,family,gappusin,own-domain,0.05,6,0.6722070585643642,0.5686453931885397,0.1035616653758245,0.14702004219409284,4,-0.004861111111111094,0.18801811863986106,0.15625,0.15625,,0.03,false,false,false
central-full-exposure-recall,call-graph,family,hiddad,federation-wide,0.05,10,0.3549183533006554,0.40861135417033195,-0.05369300086967669,-0.048632885990216985,3,-0.10420727793540847,-0.009441211880682145,0.130859375,0.9951171875,0.78515625,0.03,false,true,false
