seed,family_set,family,eligible,client
330,primary,dowgin,true,anzhi
330,primary,airpush,true,play-late
330,primary,gappusin,true,anzhi
330,primary,adwo,true,play-early
330,primary,leadbolt,true,anzhi
330,primary,revmob,true,appchina
330,primary,frmy,false,
330,primary,hiddad,true,anzhi
331,primary,dowgin,true,play-early
331,primary,airpush,true,play-late
331,primary,gappusin,true,anzhi
331,primary,adwo,true,anzhi
331,primary,leadbolt,true,play-early
331,primary,revmob,true,appchina
331,primary,frmy,false,
331,primary,hiddad,true,anzhi
332,primary,dowgin,true,anzhi
332,primary,airpush,true,anzhi
332,primary,gappusin,true,anzhi
332,primary,adwo,true,appchina
332,primary,leadbolt,true,play-early
332,primary,revmob,true,appchina
332,primary,frmy,false,
332,primary,hiddad,true,play-late
333,primary,dowgin,true,play-early
333,primary,airpush,true,appchina
333,primary,gappusin,true,play-early
333,primary,adwo,true,appchina
333,primary,leadbolt,true,play-early
333,primary,revmob,true,appchina
333,primary,frmy,false,
333,primary,hiddad,true,appchina
334,primary,dowgin,true,appchina
334,primary,airpush,true,appchina
334,primary,gappusin,true,play-early
334,primary,adwo,true,appchina
334,primary,leadbolt,true,appchina
334,primary,revmob,true,play-late
334,primary,frmy,false,
334,primary,hiddad,true,play-early
335,primary,dowgin,true,appchina
335,primary,airpush,true,appchina
335,primary,gappusin,true,anzhi
335,primary,adwo,true,appchina
335,primary,leadbolt,true,anzhi
335,primary,revmob,true,appchina
335,primary,frmy,false,
335,primary,hiddad,true,play-late
336,primary,dowgin,true,play-early
336,primary,airpush,true,anzhi
336,primary,gappusin,true,play-early
336,primary,adwo,true,anzhi
336,primary,leadbolt,true,anzhi
336,primary,revmob,true,appchina
336,primary,frmy,false,
336,primary,hiddad,true,play-early
337,primary,dowgin,true,appchina
337,primary,airpush,true,play-early
337,primary,gappusin,true,play-early
337,primary,adwo,true,anzhi
337,primary,leadbolt,true,appchina
337,primary,revmob,true,appchina
337,primary,frmy,false,
337,primary,hiddad,true,play-early
338,primary,dowgin,true,play-early
338,primary,airpush,true,anzhi
338,primary,gappusin,true,play-early
338,primary,adwo,true,anzhi
338,primary,leadbolt,true,play-early
338,primary,revmob,true,appchina
338,primary,frmy,false,
338,primary,hiddad,true,appchina
339,primary,dowgin,true,anzhi
339,primary,airpush,true,appchina
339,primary,gappusin,true,play-early
339,primary,adwo,true,play-early
339,primary,leadbolt,true,appchina
339,primary,revmob,true,appchina
339,primary,frmy,false,
339,primary,hiddad,true,play-late
