measure,representation,group,family,population,alpha,seed_count,mean,ci_low,ci_high
central-full-exposure-recall,call-graph,contrast-macro,,federation-wide,0.05,10,0.7619353955619069,0.7000418899249585,0.8154295559210246
central-full-exposure-recall,call-graph,contrast-macro,,own-domain,0.05,10,0.7304531893502701,0.6600633725065169,0.8136009056868478
central-full-exposure-recall,call-graph,family,adwo,federation-wide,0.05,10,0.5277200063744467,0.41075152417999683,0.682068252057983
central-full-exposure-recall,call-graph,family,adwo,own-domain,0.05,8,0.4430549690974615,0.37665403962453886,0.561472810166432
central-full-exposure-recall,call-graph,family,airpush,federation-wide,0.05,10,0.7890687177644902,0.7250330571744166,0.855837681277744
central-full-exposure-recall,call-graph,family,airpush,own-domain,0.05,10,0.8412523836477079,0.75872313851976,0.8962808082507029
central-full-exposure-recall,call-graph,family,dowgin,federation-wide,0.05,10,0.7099687216527445,0.6103960863481981,0.8151135639941252
central-full-exposure-recall,call-graph,family,dowgin,own-domain,0.05,9,0.5741983914172117,0.4992051996607818,0.6944209171845186
central-full-exposure-recall,call-graph,family,gappusin,federation-wide,0.05,10,0.7439197460383176,0.5730757383313815,0.864593321135633
central-full-exposure-recall,call-graph,family,gappusin,own-domain,0.05,6,0.6722070585643642,0.5293897107417009,0.8123214376493314
central-full-exposure-recall,call-graph,family,hiddad,federation-wide,0.05,10,0.3549183533006554,0.25879151542536394,0.4527186724402218
central-full-exposure-recall,call-graph,family,hiddad,own-domain,0.05,8,0.36950525706626036,0.22904411764705881,0.5118612999797036
central-full-exposure-recall,call-graph,family,leadbolt,federation-wide,0.05,10,0.7867687472684859,0.7123408878232342,0.845783245529101
central-full-exposure-recall,call-graph,family,leadbolt,own-domain,0.05,7,0.7246244582791466,0.5993969215322182,0.8568985103136881
central-full-exposure-recall,call-graph,family,revmob,federation-wide,0.05,10,0.36499300559584313,0.2696523782498871,0.5923123693089396
central-full-exposure-recall,call-graph,family,revmob,own-domain,0.05,8,0.3843790849673202,0.2816666666666667,0.6368776758698017
central-full-exposure-recall,call-graph,priority-macro,,federation-wide,0.05,10,0.4879437016449387,0.4004124655009702,0.5821579341186899
central-full-exposure-recall,call-graph,priority-macro,,own-domain,0.05,9,0.4304577830454095,0.33539657205001516,0.5627403378435135
central-full-exposure-recall,lamda-static,contrast-macro,,federation-wide,0.05,10,0.7181963019586666,0.6527202581359327,0.7951314704169139
central-full-exposure-recall,lamda-static,contrast-macro,,own-domain,0.05,10,0.7949962712107288,0.7283172918517695,0.8544014677262342
central-full-exposure-recall,lamda-static,family,adwo,federation-wide,0.05,10,0.43473452656205336,0.28844383237538734,0.6619938378665189
central-full-exposure-recall,lamda-static,family,adwo,own-domain,0.05,8,0.32091857427417386,0.2609666023802621,0.4164858814325818
central-full-exposure-recall,lamda-static,family,airpush,federation-wide,0.05,10,0.6578809974384559,0.5440013011963843,0.7852608786614625
central-full-exposure-recall,lamda-static,family,airpush,own-domain,0.05,10,0.9218795639957837,0.8747460999108914,0.9612555212811708
central-full-exposure-recall,lamda-static,family,dowgin,federation-wide,0.05,10,0.862592426055312,0.7935607780438894,0.9254269391649461
central-full-exposure-recall,lamda-static,family,dowgin,own-domain,0.05,9,0.7151575680899418,0.6422045765807751,0.8058680031547923
central-full-exposure-recall,lamda-static,family,gappusin,federation-wide,0.05,10,0.698741474018804,0.5026063591006903,0.8718501805541543
central-full-exposure-recall,lamda-static,family,gappusin,own-domain,0.05,6,0.5686453931885397,0.37441848555801754,0.8325980392156863
central-full-exposure-recall,lamda-static,family,hiddad,federation-wide,0.05,10,0.40861135417033195,0.27931725501358706,0.5524815778696357
central-full-exposure-recall,lamda-static,family,hiddad,own-domain,0.05,8,0.53481534503532,0.4221873399109426,0.637183990884794
central-full-exposure-recall,lamda-static,family,leadbolt,federation-wide,0.05,10,0.6341154823822316,0.5293166603561128,0.7493086116325156
central-full-exposure-recall,lamda-static,family,leadbolt,own-domain,0.05,7,0.6829609819189105,0.4931912164490561,0.8171118379962709
central-full-exposure-recall,lamda-static,family,revmob,federation-wide,0.05,10,0.31747084707645895,0.2286204612289314,0.5203960741160234
central-full-exposure-recall,lamda-static,family,revmob,own-domain,0.05,8,0.2987254901960784,0.1753921568627451,0.5470588235294118
central-full-exposure-recall,lamda-static,priority-macro,,federation-wide,0.05,10,0.47494122508853165,0.36939269997455215,0.5761070884827548
central-full-exposure-recall,lamda-static,priority-macro,,own-domain,0.05,9,0.44132390526940246,0.35919204464893406,0.5945092226466043
central-full-exposure-recall,mcndroid-static,contrast-macro,,federation-wide,0.05,10,0.6890382675165474,0.6306954783910463,0.7523616882622349
central-full-exposure-recall,mcndroid-static,contrast-macro,,own-domain,0.05,10,0.8161313580461961,0.7849214135850111,0.8691889437209439
central-full-exposure-recall,mcndroid-static,family,adwo,federation-wide,0.05,10,0.7629787303790756,0.6891933981393936,0.8465211059524514
