representation,group,family,population,seed,value,baseline,difference,measure
call-graph,contrast-macro,,federation-wide,330,0.7841796570610736,0.6989545283446165,0.0852251287164572,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,331,0.8935571996619546,0.9513848939951363,-0.057827694333181655,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,332,0.7620406899661826,0.7474238070804677,0.014616882885714721,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,333,0.8237429625881311,0.822482036339406,0.0012609262487250545,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,334,0.643646585807263,0.6000875019037399,0.04355908390352292,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,335,0.6450613135572084,0.6279318157712125,0.01712949778599589,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,336,0.8558003770050928,0.7025461384799282,0.15325423852516462,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,337,0.7634652443767133,0.7744456114589183,-0.010980367082205103,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,338,0.8335516020097192,0.7369237767098022,0.096627825299917,central-full-exposure-recall
call-graph,contrast-macro,,federation-wide,339,0.6143083235857306,0.519782909503437,0.09452541408229369,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,330,0.7186603097796438,0.7639175502265234,-0.04525724044687962,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,331,0.7043302528002752,0.825312583501488,-0.12098233070121282,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,332,0.8001866177482103,0.8769346212372607,-0.07674800348905049,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,333,0.7119047619047619,0.817857142857143,-0.10595238095238095,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,334,0.5145433192127186,0.600568708900557,-0.08602538968783847,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,335,0.6785722462623349,0.8020697392220162,-0.12349749295968127,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,336,0.9196428571428572,0.96875,-0.04910714285714285,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,337,0.6785609338992838,0.7230798641667469,-0.0445189302674629,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,338,0.9440397001372611,0.8792102206736353,0.06482947946362577,central-full-exposure-recall
call-graph,contrast-macro,,own-domain,339,0.6340908946153553,0.6922622813219176,-0.058171386706562224,central-full-exposure-recall
call-graph,family,adwo,federation-wide,330,0.8689024390243902,0.9847560975609756,-0.11585365853658536,central-full-exposure-recall
call-graph,family,adwo,federation-wide,331,0.28343949044585987,0.15286624203821655,0.1305732484076433,central-full-exposure-recall
call-graph,family,adwo,federation-wide,332,0.5032258064516129,0.3903225806451613,0.11290322580645157,central-full-exposure-recall
call-graph,family,adwo,federation-wide,333,0.3649851632047478,0.3827893175074184,-0.017804154302670627,central-full-exposure-recall
call-graph,family,adwo,federation-wide,334,0.3463687150837989,0.25139664804469275,0.09497206703910616,central-full-exposure-recall
