mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,experiment,alpha,metric,learner,outcome
-0.00497339972828349,-0.00858573746050098,-0.01479228969040242,0.007293030837733153,3,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,family-macro-unseen-recall,central,equivalent
0.00016640873204702976,0.003718523728298062,-0.011421206936270573,0.010921465433213408,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.05,family-macro-unseen-recall,central,equivalent
0.005932954039368388,0.010621012483350734,-0.0041760077263443265,0.017960248251117264,7,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,family-macro-unseen-recall,central,equivalent
-0.006783700097766821,-0.007909802050940135,-0.01531487365910392,0.0010082837435949755,4,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,federation-unseen-recall,central,equivalent
-0.003232781601628665,0.003939749235199852,-0.015374929940333517,0.005843886032392482,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.05,federation-unseen-recall,central,equivalent
0.0038594082730267544,0.008885875788697928,-0.006801820093253674,0.014758507805209976,7,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,federation-unseen-recall,central,equivalent
0.0020367021584499767,0.001764274088964235,-0.011102012909911677,0.01599422679766478,5,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,own-domain-unseen-recall,central,equivalent
-0.0008120027548514763,0.008252377076152534,-0.01943904544625125,0.013222502748691979,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.05,own-domain-unseen-recall,central,equivalent
0.008244503294659967,0.014360977428957311,-0.005509510509814844,0.022381932207908867,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,own-domain-unseen-recall,central,equivalent
-0.024518610628285836,-0.02994686013396336,-0.038096011273152236,0.0030702171701525753,1,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,worst-client-unseen-recall,central,unresolved
-0.01775651873261372,-0.009514426558235367,-0.05187587115713721,0.006535651860202102,3,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.05,worst-client-unseen-recall,central,unresolved
-0.0002754281052284202,0.0021379020167371088,-0.0240031438740821,0.027469669789202168,5,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,worst-client-unseen-recall,central,equivalent
-0.01463881555490192,-0.0027490665705380696,-0.038994824918107934,0.005690824383775437,5,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,family-macro-unseen-recall,fedavg,unresolved
0.003509516116108902,0.004843353109461268,-0.00025347329690319115,0.009062187161203123,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.05,family-macro-unseen-recall,fedavg,equivalent
0.008042282580310135,0.009172821595266,-0.0017644496598741262,0.014745350700902377,8,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,family-macro-unseen-recall,fedavg,equivalent
-0.01002575634474584,-0.0015841636059018838,-0.027494924527611958,0.006867913847383041,4,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,federation-unseen-recall,fedavg,equivalent
0.002633705413182602,0.0022955299948798358,-0.002106538666610861,0.0076393076455477,6,10,A-original-confirmatory,family-permutation-control,0.05,federation-unseen-recall,fedavg,equivalent
0.0037675527962760746,0.009523518549746812,-0.015082913066897631,0.010648034005247182,8,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,federation-unseen-recall,fedavg,equivalent
-0.0024215953003683373,0.0037785989199669023,-0.015722656115441207,0.01100637333391403,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,own-domain-unseen-recall,fedavg,equivalent
0.005613370262294975,0.004502644220735097,-0.003633166136163601,0.013980231422812416,7,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.05,own-domain-unseen-recall,fedavg,equivalent
0.009258835003617438,0.014703767253638367,-0.01602131390307179,0.0246200855769152,8,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,own-domain-unseen-recall,fedavg,equivalent
-0.002414168460950279,0.0005011693952555879,-0.0175478205326428,0.007377508688746967,5,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.01,worst-client-unseen-recall,fedavg,equivalent
-0.0048329089719393705,0.002464428282313108,-0.022447116093121926,0.0070234436121221966,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.05,worst-client-unseen-recall,fedavg,equivalent
0.010802511295801986,0.009055870807655575,-0.001942445566498155,0.02556498412093857,6,10,C-post-confirmatory-evidence-preserving,family-permutation-control,0.1,worst-client-unseen-recall,fedavg,equivalent
