status,reason,experiment,seed,salt
completed,,controlled-exposure,100,0
completed,,controlled-exposure,101,0
completed,,controlled-exposure,102,0
completed,,controlled-exposure,103,0
completed,,controlled-exposure,104,0
completed,,controlled-exposure,105,0
completed,,controlled-exposure,106,0
completed,,controlled-exposure,107,0
completed,,controlled-exposure,108,0
completed,,controlled-exposure,109,0
completed,,peer-dose-response,100,0
completed,,peer-dose-response,101,0
completed,,peer-dose-response,102,0
completed,,peer-dose-response,103,0
completed,,peer-dose-response,104,0
completed,,peer-dose-response,105,0
completed,,peer-dose-response,106,0
completed,,peer-dose-response,107,0
completed,,peer-dose-response,108,0
completed,,peer-dose-response,109,0
completed,,natural-scarcity,100,0
completed,,natural-scarcity,101,0
completed,,natural-scarcity,102,0
completed,,natural-scarcity,103,0
completed,,natural-scarcity,104,0
completed,,natural-scarcity,105,0
completed,,natural-scarcity,106,0
completed,,natural-scarcity,107,0
completed,,natural-scarcity,108,0
completed,,natural-scarcity,109,0
completed,,family-permutation-control,100,0
completed,,family-permutation-control,101,0
completed,,family-permutation-control,102,0
completed,,family-permutation-control,103,0
completed,,family-permutation-control,104,0
completed,,family-permutation-control,105,0
completed,,family-permutation-control,106,0
completed,,family-permutation-control,107,0
completed,,family-permutation-control,108,0
completed,,family-permutation-control,109,0
completed,,replication-family-set,100,0
completed,,replication-family-set,101,0
completed,,replication-family-set,102,0
completed,,replication-family-set,103,0
completed,,replication-family-set,104,0
completed,,replication-family-set,105,0
completed,,replication-family-set,106,0
completed,,replication-family-set,107,0
completed,,replication-family-set,108,0
completed,,replication-family-set,109,0
completed,,model-family-replication-linear,100,0
completed,,model-family-replication-linear,101,0
completed,,model-family-replication-linear,102,0
completed,,model-family-replication-linear,103,0
completed,,model-family-replication-linear,104,0
completed,,model-family-replication-linear,105,0
completed,,model-family-replication-linear,106,0
completed,,model-family-replication-linear,107,0
completed,,model-family-replication-linear,108,0
completed,,model-family-replication-linear,109,0
completed,,model-family-replication-trees,100,0
completed,,model-family-replication-trees,101,0
completed,,model-family-replication-trees,102,0
completed,,model-family-replication-trees,103,0
completed,,model-family-replication-trees,104,0
completed,,model-family-replication-trees,105,0
completed,,model-family-replication-trees,106,0
completed,,model-family-replication-trees,107,0
completed,,model-family-replication-trees,108,0
completed,,model-family-replication-trees,109,0
completed,,training-support-sensitivity,100,0
completed,,training-support-sensitivity,101,0
completed,,training-support-sensitivity,102,0
completed,,training-support-sensitivity,103,0
completed,,training-support-sensitivity,104,0
completed,,training-support-sensitivity,105,0
completed,,training-support-sensitivity,106,0
completed,,training-support-sensitivity,107,0
completed,,training-support-sensitivity,108,0
completed,,training-support-sensitivity,109,0
completed,,partition-salt-sensitivity,100,1
completed,,partition-salt-sensitivity,100,2
completed,,partition-salt-sensitivity,100,3
completed,,partition-salt-sensitivity,101,1
completed,,partition-salt-sensitivity,101,2
completed,,partition-salt-sensitivity,101,3
completed,,partition-salt-sensitivity,102,1
completed,,partition-salt-sensitivity,102,2
completed,,partition-salt-sensitivity,102,3
completed,,partition-salt-sensitivity,103,1
completed,,partition-salt-sensitivity,103,2
completed,,partition-salt-sensitivity,103,3
completed,,partition-salt-sensitivity,104,1
completed,,partition-salt-sensitivity,104,2
completed,,partition-salt-sensitivity,104,3
completed,,partition-salt-sensitivity,105,1
completed,,partition-salt-sensitivity,105,2
completed,,partition-salt-sensitivity,105,3
completed,,partition-salt-sensitivity,106,1
completed,,partition-salt-sensitivity,106,2
completed,,partition-salt-sensitivity,106,3
completed,,partition-salt-sensitivity,107,1
completed,,partition-salt-sensitivity,107,2
completed,,partition-salt-sensitivity,107,3
completed,,partition-salt-sensitivity,108,1
completed,,partition-salt-sensitivity,108,2
completed,,partition-salt-sensitivity,108,3
completed,,partition-salt-sensitivity,109,1
completed,,partition-salt-sensitivity,109,2
completed,,partition-salt-sensitivity,109,3
completed,,family-support-sensitivity-low,100,0
completed,,family-support-sensitivity-low,101,0
completed,,family-support-sensitivity-low,102,0
completed,,family-support-sensitivity-low,103,0
completed,,family-support-sensitivity-low,104,0
completed,,family-support-sensitivity-low,105,0
completed,,family-support-sensitivity-low,106,0
completed,,family-support-sensitivity-low,107,0
completed,,family-support-sensitivity-low,108,0
completed,,family-support-sensitivity-low,109,0
completed,,family-support-sensitivity-high,100,0
completed,,family-support-sensitivity-high,101,0
completed,,family-support-sensitivity-high,102,0
completed,,family-support-sensitivity-high,103,0
completed,,family-support-sensitivity-high,104,0
completed,,family-support-sensitivity-high,105,0
completed,,family-support-sensitivity-high,106,0
completed,,family-support-sensitivity-high,107,0
completed,,family-support-sensitivity-high,108,0
completed,,family-support-sensitivity-high,109,0
completed,,package-only-grouping,100,0
completed,,package-only-grouping,101,0
completed,,package-only-grouping,102,0
completed,,package-only-grouping,103,0
completed,,package-only-grouping,104,0
completed,,package-only-grouping,105,0
completed,,package-only-grouping,106,0
completed,,package-only-grouping,107,0
completed,,package-only-grouping,108,0
completed,,package-only-grouping,109,0
