evidence_class,experiment,learner,contrast,aggregate_metric,recall_metric,seed_count,aggregate_mean,aggregate_ci_low,aggregate_ci_high,aggregate_verdict,recall_mean,recall_ci_low,recall_ci_high,recall_verdict,material_gain_threshold,verdicts_opposed,masked_gain,masked_loss,sign_disagreement_seeds,gain_missed_seeds,false_reassurance_seeds,opposite_conclusion_seeds,seed_correlation
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-local,auroc,own-domain-unseen-recall,10,-0.011908556623142353,-0.015906810312456873,-0.009262218264046027,interval-below-reference,0.0377081048869347,0.015336226615382207,0.06200165995775968,interval-above-reference,0.03,true,false,false,8,4,0,4,-0.33804222360540714
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-local,auroc,federation-unseen-recall,10,-0.011908556623142353,-0.015906810312456873,-0.009262218264046027,interval-below-reference,0.13155558585968402,0.0902208116227931,0.16680697580253884,interval-above-reference,0.03,true,true,false,10,9,0,9,-0.22966564648958424
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-local,auprc,own-domain-unseen-recall,10,-0.020232485498407372,-0.02552064611153781,-0.01572309197306825,interval-below-reference,0.0377081048869347,0.015336226615382207,0.06200165995775968,interval-above-reference,0.03,true,false,false,8,4,0,4,0.3697986552304969
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-local,auprc,federation-unseen-recall,10,-0.020232485498407372,-0.02552064611153781,-0.01572309197306825,interval-below-reference,0.13155558585968402,0.0902208116227931,0.16680697580253884,interval-above-reference,0.03,true,true,false,10,9,0,9,0.9199620423990241
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-family-absent,auroc,own-domain-unseen-recall,10,0.015152160873093411,0.01147487148707359,0.02363048577496009,interval-above-reference,0.10667267274729068,0.06757101685032989,0.14413091376681314,interval-above-reference,0.03,false,false,false,0,0,0,0,0.43292538280245735
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-family-absent,auroc,federation-unseen-recall,10,0.015152160873093411,0.01147487148707359,0.02363048577496009,interval-above-reference,0.11708372096375852,0.08953459531112512,0.14508851970147368,interval-above-reference,0.03,false,false,false,0,0,0,0,0.45663136644700475
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-family-absent,auprc,own-domain-unseen-recall,10,0.01337470341393745,0.0072733494689715215,0.021490038242738117,interval-above-reference,0.10667267274729068,0.06757101685032989,0.14413091376681314,interval-above-reference,0.03,false,false,false,1,0,0,0,0.3529616059524035
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg,peer-versus-family-absent,auprc,federation-unseen-recall,10,0.01337470341393745,0.0072733494689715215,0.021490038242738117,interval-above-reference,0.11708372096375852,0.08953459531112512,0.14508851970147368,interval-above-reference,0.03,false,false,false,1,1,0,1,0.2921220226758853
C-post-confirmatory-evidence-preserving,controlled-exposure,fedprox,peer-versus-local,auroc,own-domain-unseen-recall,10,-0.0004975577401600262,-0.0025109222626182284,0.0010712308915860236,interval-includes-reference,0.05934620012018095,0.021177438972121293,0.10277928150315407,interval-above-reference,0.03,false,false,false,5,4,1,5,-0.39817227756493057
C-post-confirmatory-evidence-preserving,controlled-exposure,fedprox,peer-versus-local,auroc,federation-unseen-recall,10,-0.0004975577401600262,-0.0025109222626182284,0.0010712308915860236,interval-includes-reference,0.13927188168346402,0.0893699272463192,0.18837238914324922,interval-above-reference,0.03,false,true,false,5,5,0,5,-0.2028035389010034
