experiment,alpha,learner,metric,estimand,contrast_family,mean_difference,median_difference,ci_low,ci_high,p_value,p_holm,positive_seeds,seed_count,effect_size,claim_status
controlled-exposure,0.01,central,family-macro-unseen-recall,ctk-gain,exploratory,0.09835656988965592,0.10702962396849236,0.05931111038344189,0.13534457779871434,0.001953125,,10,10,1.5260433127938773,promoted
controlled-exposure,0.01,central,family-macro-unseen-recall,ctk-share,exploratory,0.7141383569978429,,0.5014214729387857,1.0178590453089664,,,,10,,promoted
controlled-exposure,0.01,central,family-macro-unseen-recall,pooling-gain,exploratory,0.03937104118998954,0.03924157003781445,0.0005297830903745708,0.08510069935122194,0.130859375,,7,10,0.5531903046827191,promoted
controlled-exposure,0.01,central,family-macro-unseen-recall,total-gain,exploratory,0.13772761107964548,0.11147714349653826,0.09437761703744488,0.1969525862427025,0.001953125,,10,10,1.606274081462817,promoted
controlled-exposure,0.01,central,federation-unseen-recall,ctk-gain,exploratory,0.1054680098013332,0.10306801722483289,0.06204118019748635,0.15214798064448692,0.001953125,,10,10,1.3705574706440362,promoted
controlled-exposure,0.01,central,federation-unseen-recall,ctk-share,exploratory,0.5078137580449164,,0.33201238531037136,0.743649631298424,,,,10,,promoted
controlled-exposure,0.01,central,federation-unseen-recall,pooling-gain,exploratory,0.1022223257409435,0.0959370412776444,0.05231409994619274,0.14908897224932058,0.009765625,,9,10,1.239454056432535,promoted
controlled-exposure,0.01,central,federation-unseen-recall,total-gain,exploratory,0.2076903355422767,0.20051212608561597,0.16008052427195812,0.24728519879290928,0.001953125,,10,10,2.8525055417210043,promoted
controlled-exposure,0.01,central,own-domain-unseen-recall,ctk-gain,exploratory,0.11657894250408214,0.11018516484422283,0.06572904711015656,0.18216249967624157,0.001953125,,10,10,1.188373667186589,promoted
controlled-exposure,0.01,central,own-domain-unseen-recall,ctk-share,exploratory,1.2831494717763443,,1.04300781405154,1.765680296644291,,,,10,,promoted
controlled-exposure,0.01,central,own-domain-unseen-recall,pooling-gain,exploratory,-0.025725191582379636,-0.01807105202316843,-0.05124312327003816,-0.010687790544456392,0.01953125,,2,10,-0.7914212208527026,promoted
controlled-exposure,0.01,central,own-domain-unseen-recall,total-gain,exploratory,0.09085375092170252,0.08661967477242387,0.041475641864780505,0.16692569518881495,0.01953125,,8,10,0.8739249242722231,promoted
controlled-exposure,0.01,central,worst-client-unseen-recall,ctk-gain,exploratory,0.061991176404695134,0.038015792543352314,0.023769819530441258,0.12906351666644256,0.037109375,,7,10,0.7337854514394333,promoted
controlled-exposure,0.01,central,worst-client-unseen-recall,ctk-share,exploratory,0.9289368069641504,,-0.18259466249777231,1.5277177416391017,,,,10,,promoted
controlled-exposure,0.01,central,worst-client-unseen-recall,pooling-gain,exploratory,0.0047422934502543155,-0.002585231256134444,-0.014240511402128075,0.0493270680438368,0.76953125,,4,10,0.1011149907135853,promoted
controlled-exposure,0.01,central,worst-client-unseen-recall,total-gain,exploratory,0.06673346985494946,0.014620751512730379,0.014976555056574237,0.15925128014031248,0.064453125,,8,10,0.6001587625266492,promoted
controlled-exposure,0.01,fedavg,family-macro-unseen-recall,ctk-gain,exploratory,0.07179728294276037,0.06249659105334007,0.03843635484567748,0.12052888402639332,0.001953125,,10,10,1.0631928597956095,promoted
controlled-exposure,0.01,fedavg,family-macro-unseen-recall,ctk-share,exploratory,1.080213176564552,,0.41109484356671894,2.870658521448522,,,,10,,promoted
controlled-exposure,0.01,fedavg,family-macro-unseen-recall,pooling-gain,exploratory,-0.005331436663139613,-0.009741778625763392,-0.04880502317312096,0.05064452174437348,0.625,,3,10,-0.06370968168315844,promoted
controlled-exposure,0.01,fedavg,family-macro-unseen-recall,total-gain,exploratory,0.06646584627962078,0.06935758131782513,0.012102417913403328,0.12270135941816412,0.064453125,,8,10,0.714829421810357,promoted
controlled-exposure,0.01,fedavg,federation-unseen-recall,ctk-gain,exploratory,0.07591812804666025,0.06411162101468806,0.03733012339850807,0.12530009214924687,0.005859375,,9,10,1.0273763076146119,promoted
controlled-exposure,0.01,fedavg,federation-unseen-recall,ctk-share,exploratory,0.6823953323813605,,0.27343117396564715,1.3492608032652822,,,,10,,promoted
controlled-exposure,0.01,fedavg,federation-unseen-recall,pooling-gain,exploratory,0.035334285978107685,0.013609934541108329,-0.022571789164749004,0.10554043526523921,0.4921875,,5,10,0.3258734342644887,promoted
controlled-exposure,0.01,fedavg,federation-unseen-recall,total-gain,exploratory,0.11125241402476793,0.11710420206496609,0.04277885664859231,0.17148205235122665,0.01953125,,8,10,1.0268378996195686,promoted
controlled-exposure,0.01,fedavg,own-domain-unseen-recall,ctk-gain,exploratory,0.07104008589183987,0.06088495686650394,0.045910179249758216,0.10169681827073186,0.001953125,,10,10,1.4927914641725355,promoted
controlled-exposure,0.01,fedavg,own-domain-unseen-recall,ctk-share,exploratory,3.1506977572767965,,-3.1140893874210454,166.68309427782265,,,,10,,promoted
controlled-exposure,0.01,fedavg,own-domain-unseen-recall,pooling-gain,exploratory,-0.048492672155385164,-0.04771808108038805,-0.0877868185494949,-0.012981255497310402,0.037109375,,1,10,-0.7717912410372495,promoted
controlled-exposure,0.01,fedavg,own-domain-unseen-recall,total-gain,exploratory,0.022547413736454705,0.020631978830823378,-0.022154872243017303,0.05715274245649352,0.275390625,,7,10,0.34013529065696557,promoted
controlled-exposure,0.01,fedavg,worst-client-unseen-recall,ctk-gain,exploratory,0.048646971027221694,0.01749602363099296,0.014096435554453801,0.11273811479691538,0.001953125,,10,10,0.6637975672924503,promoted
controlled-exposure,0.01,fedavg,worst-client-unseen-recall,ctk-share,exploratory,0.9341262066043363,,-4.429619185678162,1.8936164631033852,,,,10,,promoted
controlled-exposure,0.01,fedavg,worst-client-unseen-recall,pooling-gain,exploratory,0.0034305434277676627,-0.010335428415132304,-0.01311739559964328,0.030068152757534126,0.845703125,,3,10,0.09927477401378206,promoted
controlled-exposure,0.01,fedavg,worst-client-unseen-recall,total-gain,exploratory,0.05207751445498935,0.007052174489525331,0.00797114067224255,0.13188559393380905,0.322265625,,6,10,0.5413871788357248,promoted
controlled-exposure,0.05,central,family-macro-unseen-recall,ctk-gain,exploratory,0.13095559709726942,0.10334477991268026,0.09478738679319423,0.1729196290066729,0.001953125,,10,10,1.9614086127076849,promoted
controlled-exposure,0.05,central,family-macro-unseen-recall,ctk-share,exploratory,1.1379723205285839,,0.733095261014684,1.8965999354142427,,,,10,,promoted
controlled-exposure,0.05,central,family-macro-unseen-recall,pooling-gain,exploratory,-0.015877580932130163,0.0007295172821112361,-0.07393854784357376,0.03723274816659667,0.76953125,,5,10,-0.16910702428143898,promoted
controlled-exposure,0.05,central,family-macro-unseen-recall,total-gain,exploratory,0.11507801616513927,0.1211051565968497,0.07106480341834123,0.15809732988549965,0.001953125,,10,10,1.5600069855572136,promoted
