evidence_class,experiment,population,component,variance,share,share_ci_low,share_ci_high,observations,cells,replicated_cells,seeds,families,clients,sampling_noise_reference,converged,bootstrap_resamples
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family,0.007278689030473649,0.15415665847797702,0.019143656160738005,0.4751855435189404,70,22,19,10,7,4,0.010686285527843712,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client,0.027644253261991818,0.5854825904975173,0.1492567209036532,0.8948125063963539,70,22,19,10,7,4,0.010686285527843712,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,family-by-client,0.001109699512685416,0.023502524709328218,0.0,0.3346066441529134,70,22,19,10,7,4,0.010686285527843712,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,seed,0.0,0.0,0.0,0.05087744446186199,70,22,19,10,7,4,0.010686285527843712,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,residual-family-client-seed,0.011183541409624046,0.23685822631517753,0.03846834909462808,0.2524324386594594,70,22,19,10,7,4,0.010686285527843712,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family,0.014106355096924574,0.6301679927062888,0.3640853475701963,0.7811406039713226,70,22,19,10,7,4,0.00041273146780547757,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,client,0.0015586546457050227,0.06962920348009709,0.0,0.3823191368875935,70,22,19,10,7,4,0.00041273146780547757,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,family-by-client,0.001587914125644703,0.07093630142386273,0.014593605883937572,0.24330717262440035,70,22,19,10,7,4,0.00041273146780547757,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,seed,0.00045142514043087064,0.020166348617191437,0.0,0.08364198808512237,70,22,19,10,7,4,0.00041273146780547757,true,2000
C-post-confirmatory-evidence-preserving,controlled-exposure,federation-wide,residual-family-client-seed,0.00468072173464393,0.20910015377255997,0.04918894463116399,0.2384305633277732,70,22,19,10,7,4,0.00041273146780547757,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,family,0.0012206671883862373,0.048226411454067794,0.0,0.38798572378102597,72,23,21,10,8,4,0.012820280995202799,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,client,0.0,0.0,0.0,0.025451493530894702,72,23,21,10,8,4,0.012820280995202799,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,family-by-client,0.003530289005802901,0.13947550304084358,0.017827440478499074,0.7282886020520545,72,23,21,10,8,4,0.012820280995202799,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,seed,0.0006966870672606958,0.027524879410300806,0.0,0.25608669784614474,72,23,21,10,8,4,0.012820280995202799,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,own-domain,residual-family-client-seed,0.019863532743193087,0.7847732060947877,0.09895534819199098,0.8688245425882749,72,23,21,10,8,4,0.012820280995202799,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,federation-wide,family,0.0009543207125718189,0.06095220479504667,0.0,0.3042789124010363,72,23,21,10,8,4,0.0009945160015471545,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,federation-wide,client,0.0019357132525459721,0.1236334798557448,0.0,0.3068364027369669,72,23,21,10,8,4,0.0009945160015471545,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,federation-wide,family-by-client,0.0039529684941659645,0.25247502441338726,0.1506166679668475,0.7175393939232281,72,23,21,10,8,4,0.0009945160015471545,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,federation-wide,seed,0.00062607474577158,0.03998722402077623,0.0,0.09711436291570986,72,23,21,10,8,4,0.0009945160015471545,true,2000
C-post-confirmatory-evidence-preserving,replication-family-set,federation-wide,residual-family-client-seed,0.008187792235201113,0.5229520669150449,0.11351800603539272,0.548668682481418,72,23,21,10,8,4,0.0009945160015471545,true,2000
