evidence_class,experiment,population,scope,client,family,seed_count,observations,cells,pooling_mean,pooling_ci_low,pooling_ci_high,hurt_seeds,hurts,hurts_interval_below_zero,ctk_mean,ctk_ci_low,ctk_ci_high,repair_mean,repair_ci_low,repair_ci_high,new_capability_mean,new_capability_ci_low,new_capability_ci_high,harm_mean,harm_ci_low,harm_ci_high,repair_share
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,anzhi,adwo,6,6,1,-0.09060366304948349,-0.1634828678946326,-0.0032249742002063986,4,true,true,0.09027192020226076,0.053912427441839196,0.10663524384112621,0.055465021734371574,0.018382352941176478,0.09162515245332582,0.03480689846788918,0.0010964912280701695,0.0826198698102723,0.0,,,0.6144216452923367
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,anzhi,dowgin,3,3,1,-0.09049118996560197,-0.17221324717285946,-0.040548250315930234,3,true,true,-0.001733550013437372,-0.04232263340830089,0.04571890145395796,0.015239633817985987,0.0,0.04571890145395796,0.0,,,-0.01697318383142336,-0.04232263340830089,-0.0028656393619897282,1.0
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,appchina,gappusin,6,6,1,-0.07471794893163121,-0.15563285900868007,-0.031317268590378484,5,true,true,0.04078921615387478,0.012621842760583443,0.06522537483401179,0.02923869373533385,0.004980563654033043,0.0594410569105691,0.011728395061728398,0.0,0.04691358024691359,-0.0001778726431874711,-0.0007114905727498844,0.0,0.7137117767916805
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,appchina,hiddad,4,4,1,-0.048529411764705876,-0.2205882352941176,0.04999999999999999,1,true,false,0.0,,,0.0,,,0.0,,,0.0,,,
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,appchina,leadbolt,2,2,1,-0.026210276210276218,,,1,true,false,0.14367389367389372,,,0.03296703296703296,,,0.11070686070686075,,,0.0,,,0.22945736434108516
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,play-early,airpush,6,6,1,-0.023785262776690814,-0.062360356524324846,0.01954800231168763,4,true,false,0.06546287343959611,0.03889390544288107,0.11870858750201302,0.03693837687761694,0.014310387367382181,0.06742214095979059,0.02852449656197918,0.015064421860303729,0.047686640581584075,0.0,,,0.5642645202811134
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,play-late,revmob,5,5,1,-0.2655555555555556,-0.5500000000000002,-0.11888888888888889,5,true,true,0.4966666666666667,0.39333333333333337,0.6033333333333334,0.25222222222222224,0.11444444444444443,0.49333333333333346,0.24444444444444446,0.06666666666666667,0.3111111111111112,0.0,,,0.5078299776286354
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,appchina,dowgin,4,4,1,-0.06507090765389523,-0.17694805194805194,0.00892857142857141,3,true,false,-0.01624933432969146,-0.08498086734693877,0.028619528619528628,0.014309764309764314,0.0,0.04292929292929294,0.0,,,-0.030559098639455773,-0.08498086734693877,-0.003348214285714274,1.0
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,play-early,adwo,3,3,1,-0.02628434886499405,-0.11111111111111116,0.021505376344086002,1,true,false,0.05854241338112309,0.0,0.11111111111111116,0.037037037037037056,0.0,0.11111111111111116,0.02150537634408604,0.0,0.06451612903225812,0.0,,,0.6326530612244897
C-post-confirmatory-evidence-preserving,controlled-exposure,own-domain,client-family-cell,play-late,hiddad,1,1,1,0.015957446808510634,,,0,false,false,0.005319148936170193,,,0.0,,,0.005319148936170193,,,0.0,,,0.0
