experiment,learner,condition,alpha,mean_realised_fpr,mean_worst_client_fpr,runs,valid_operating_runs,mean_fpr_deviation_from_target,evidence_class
controlled-exposure,blend,family-absent-everywhere,0.01,0.010509055771326692,0.01435641562033652,10,10,0.0005090557713266913,B-confirmatory-sensitivity
controlled-exposure,blend,family-absent-everywhere,0.05,0.050964122322096114,0.06500798207898928,10,10,0.0009641223220961115,B-confirmatory-sensitivity
controlled-exposure,blend,family-absent-everywhere,0.1,0.10312208714032997,0.12700918415533805,10,10,0.0031220871403299655,B-confirmatory-sensitivity
controlled-exposure,blend,full-exposure,0.01,0.010594640552016595,0.014551543828853037,10,10,0.0005946405520165943,B-confirmatory-sensitivity
controlled-exposure,blend,full-exposure,0.05,0.05114659939497061,0.0658833873049078,10,10,0.00114659939497061,B-confirmatory-sensitivity
controlled-exposure,blend,full-exposure,0.1,0.103047773117286,0.12714612650360152,10,10,0.00304777311728599,B-confirmatory-sensitivity
controlled-exposure,blend,peer-present,0.01,0.010391892835510732,0.014468390589444002,10,10,0.00039189283551073137,B-confirmatory-sensitivity
controlled-exposure,blend,peer-present,0.05,0.05110173846176628,0.06683872774071038,10,10,0.001101738461766276,B-confirmatory-sensitivity
controlled-exposure,blend,peer-present,0.1,0.10214973590074927,0.12577749281210907,10,10,0.0021497359007492667,B-confirmatory-sensitivity
controlled-exposure,central,family-absent-everywhere,0.01,0.01078800300139247,0.015135408939821612,10,10,0.0007880030013924701,B-confirmatory-sensitivity
controlled-exposure,central,family-absent-everywhere,0.05,0.05135721649202947,0.06512513231616204,10,10,0.0013572164920294671,B-confirmatory-sensitivity
controlled-exposure,central,family-absent-everywhere,0.1,0.10212479735837772,0.12264948441363463,10,10,0.002124797358377714,B-confirmatory-sensitivity
controlled-exposure,central,full-exposure,0.01,0.01090840092455792,0.01539070359894527,10,10,0.00090840092455792,B-confirmatory-sensitivity
controlled-exposure,central,full-exposure,0.05,0.051062135534394495,0.0644502405018244,10,10,0.0010621355343944927,B-confirmatory-sensitivity
controlled-exposure,central,full-exposure,0.1,0.10207805606810946,0.12583569477766993,10,10,0.0020780560681094573,B-confirmatory-sensitivity
