learner,condition,own-domain-unseen-recall,federation-unseen-recall,family-macro-unseen-recall,worst-client-unseen-recall,known-family-recall,realised-fpr,worst-client-fpr
blend,family-absent-everywhere,0.5060350570655257,0.5593856832925076,0.47046761942859094,0.29323688086974364,0.7422334704236044,0.050964122322096114,0.06500798207898928
blend,full-exposure,0.63565649435941,0.6543156246939985,0.5729682694545709,0.3920423586267751,0.7454747144395927,0.05114659939497061,0.0658833873049078
blend,peer-present,0.5714494065086237,0.6341589136436194,0.5483208699664414,0.37308104322155533,0.7456478064795419,0.05110173846176628,0.06683872774071038
central,family-absent-everywhere,0.43637545779791215,0.5283195432908976,0.4383775070770337,0.2246016159770043,0.7087491250290312,0.05135721649202947,0.06512513231616204
central,full-exposure,0.6632416560763371,0.7081252568058745,0.6045387861582199,0.4537421686952306,0.7278295122210184,0.051062135534394495,0.0644502405018244
central,peer-present,0.554589126448359,0.6590322408943747,0.5693331041743032,0.411447677100247,0.7286001547601083,0.050787275447335446,0.06350706932255402
fedavg,family-absent-everywhere,0.4300340485568384,0.5212199675626862,0.4342016670899665,0.25209326844279034,0.6872056957877478,0.05094217719733257,0.06412560022890076
fedavg,full-exposure,0.6187896873083458,0.6817382524616356,0.5990470155703701,0.4623533674567641,0.6921453692817439,0.0504066419531375,0.06523499414135746
fedavg,peer-present,0.5367067213041291,0.6383036885264447,0.5578589689155262,0.4249405923406561,0.6959648993871995,0.050765243377290256,0.06574474239329978
fedavg-finetune,family-absent-everywhere,0.4442312742708987,0.5368898419981907,0.45859189459275973,0.27325915950316193,0.6849999410157236,0.05020967340737007,0.06316937148789091
fedavg-finetune,full-exposure,0.6197204443177322,0.6684656755918654,0.5918754906789959,0.473863720545625,0.6818551252817631,0.049805799299464534,0.06190404283480052
fedavg-finetune,peer-present,0.5047477259062,0.6138324758808539,0.5427171822632938,0.4071364835793177,0.6908952804495856,0.050298105998094235,0.06355964123325479
fedprox,family-absent-everywhere,0.43551554177897944,0.5109373172553837,0.42715342126301675,0.21030981185575098,0.7003239625135015,0.051229108852688963,0.06488754007850393
fedprox,full-exposure,0.6525283066033476,0.6853910219545908,0.5863486010198741,0.41394807902196495,0.7232011774882701,0.05103040029422308,0.06543654931412946
fedprox,peer-present,0.5583448165373753,0.6460199843502248,0.5509829720984596,0.3799749162242745,0.7222052705627415,0.0509775032938205,0.06522253121905151
local,peer-present,0.49899861641719434,0.5067481026667607,0.4542550880091639,0.27855722128722354,0.7285103801549067,0.04987094356999769,0.06227743496685041
