experiment,sensitivity,mean_difference,ci_low,ci_high,seed_count
controlled-exposure,all-families,0.06561856702294763,0.04903139839747348,0.08294100869987335,10
controlled-exposure,deduplicated-test,0.0550869330503736,0.04165239288808743,0.06791861816074789,10
controlled-exposure,top-family-removal,0.1388335963868021,0.10928326681633081,0.17837931622708836,10
family-permutation-control,all-families,-0.0010682225237603538,-0.01758905928740483,0.006159253998929581,10
family-permutation-control,deduplicated-test,-0.001339216152066891,-0.018709356199964992,0.006222479809563423,10
family-permutation-control,top-family-removal,-0.0014773442266504011,-0.014318449579632908,0.009067904826514487,10
family-support-sensitivity-high,all-families,0.06517381545614073,0.05180895785483998,0.07437965267893536,10
family-support-sensitivity-high,deduplicated-test,0.0562755843492546,0.046015960841773756,0.06451231049745385,10
family-support-sensitivity-high,top-family-removal,0.13987837026092506,0.11110899376576369,0.16148996546372676,10
family-support-sensitivity-low,all-families,0.06642474507173571,0.0525871515325898,0.08092349181067947,10
family-support-sensitivity-low,deduplicated-test,0.05705277613827947,0.04523811998089575,0.06594779850208402,10
family-support-sensitivity-low,top-family-removal,0.14792222669359503,0.12127599366946443,0.18331424592085563,10
model-family-replication-linear,all-families,0.08004047054018501,0.06975656005811058,0.08796652727325935,10
model-family-replication-linear,deduplicated-test,0.0738308594579762,0.06152629417958648,0.08259033961479839,10
model-family-replication-linear,top-family-removal,0.08241182404829159,0.061043412482692946,0.10583070158911959,10
natural-scarcity,all-families,0.08448742712273208,0.0696755225300329,0.09860368612308267,10
natural-scarcity,deduplicated-test,0.07045629397748589,0.060318307245639205,0.08062759222919656,10
natural-scarcity,top-family-removal,0.19470703232444442,0.17805845937324694,0.22782047847546003,10
package-only-grouping,all-families,0.06714402298907766,0.04702605132548749,0.08361617521295106,10
package-only-grouping,deduplicated-test,0.050684283559293566,0.02978693230355564,0.06480124293514594,10
package-only-grouping,top-family-removal,0.15338053584103215,0.12802407774764632,0.1778695110061685,10
partition-salt-sensitivity,all-families,0.07481160428996766,0.06595926998480486,0.08539407685864997,30
partition-salt-sensitivity,deduplicated-test,0.06193673340013773,0.05430631660181138,0.07133814759829228,30
partition-salt-sensitivity,top-family-removal,0.1567709925571684,0.14058502827810698,0.17813486109741433,30
replication-family-set,all-families,0.051542910780698524,0.021044257990993003,0.07223002893699365,10
replication-family-set,deduplicated-test,0.043858463175597856,0.017707088162075425,0.06021352141984453,10
replication-family-set,top-family-removal,0.07475509545242845,0.048490924754430086,0.10629923250635213,10
training-support-sensitivity,all-families,0.06987057043014047,0.047901009141463655,0.08699492569096827,10
training-support-sensitivity,deduplicated-test,0.06282124376509199,0.04506774606250849,0.08155488189027466,10
training-support-sensitivity,top-family-removal,0.1037163704039058,0.07593937371346676,0.13161815680515335,10
